,Vox Collectibles_date,Vox Collectibles
0,2020-08-16,0
1,2020-08-23,0
2,2020-08-30,10
3,2020-09-06,0
4,2020-09-13,0
5,2020-09-20,0
6,2020-09-27,0
7,2020-10-04,0
8,2020-10-11,0
9,2020-10-18,0
10,2020-10-25,0
11,2020-11-01,0
12,2020-11-08,0
13,2020-11-15,0
14,2020-11-22,0
15,2020-11-29,10
16,2020-12-06,0
17,2020-12-13,0
18,2020-12-20,0
19,2020-12-27,0
20,2021-01-03,0
21,2021-01-10,0
22,2021-01-17,0
23,2021-01-24,0
24,2021-01-31,0
25,2021-02-07,11
26,2021-02-14,0
27,2021-02-21,0
28,2021-02-28,0
29,2021-03-07,0
30,2021-03-14,0
31,2021-03-21,0
32,2021-03-28,0
33,2021-04-04,0
34,2021-04-11,0
35,2021-04-18,0
36,2021-04-25,0
37,2021-05-02,0
38,2021-05-09,0
39,2021-05-16,0
40,2021-05-23,0
41,2021-05-30,0
42,2021-06-06,0
43,2021-06-13,0
44,2021-06-20,0
45,2021-06-27,0
46,2021-07-04,0
47,2021-07-11,0
48,2021-07-18,0
49,2021-07-25,0
50,2021-08-01,0
51,2021-08-08,100
52,2021-08-15,22
53,2021-08-22,0
54,2021-08-29,11
55,2021-09-05,12
56,2021-09-12,0
57,2021-09-19,0
58,2021-09-26,0
59,2021-10-03,0
60,2021-10-10,12
61,2021-10-17,35
