"DateTime","Sales (USD)"
"2021-08-15 00:00:00",249693.62
"2021-08-16 00:00:00",224980
"2021-08-17 00:00:00",181273.91
"2021-08-18 00:00:00",164495.35
"2021-08-19 00:00:00",4602612.03
"2021-08-20 00:00:00",1245550.82
"2021-08-21 00:00:00",11043081.54
"2021-08-22 00:00:00",26392666.2
"2021-08-23 00:00:00",25832819.78
"2021-08-24 00:00:00",22281591.62
"2021-08-25 00:00:00",6072139.41
"2021-08-26 00:00:00",4326407.95
"2021-08-27 00:00:00",3064068.6
"2021-08-28 00:00:00",5767893.7
"2021-08-29 00:00:00",3365404.44
"2021-08-30 00:00:00",2473431.82
"2021-08-31 00:00:00",2113270.8
"2021-09-01 00:00:00",1599914.68
"2021-09-02 00:00:00",1299831.03
"2021-09-03 00:00:00",1300856.01
"2021-09-04 00:00:00",789206.28
"2021-09-05 00:00:00",1283000.48
"2021-09-06 00:00:00",816376.99
"2021-09-07 00:00:00",741922.55
"2021-09-08 00:00:00",744221.7
"2021-09-09 00:00:00",406698.16
"2021-09-10 00:00:00",510912.31
"2021-09-11 00:00:00",287881.19
"2021-09-12 00:00:00",207244.46
"2021-09-13 00:00:00",391618.77
"2021-09-14 00:00:00",273656.25
"2021-09-15 00:00:00",726021.52
"2021-09-16 00:00:00",2854361.72
"2021-09-17 00:00:00",649202.96
"2021-09-18 00:00:00",329332.36
"2021-09-19 00:00:00",324966.57
"2021-09-20 00:00:00",167293.6
"2021-09-21 00:00:00",163928.81
"2021-09-22 00:00:00",285966.78
"2021-09-23 00:00:00",210580.25
"2021-09-24 00:00:00",584054.74
"2021-09-25 00:00:00",565322.64
"2021-09-26 00:00:00",573937.6
"2021-09-27 00:00:00",471230.34
"2021-09-28 00:00:00",288334.19
"2021-09-29 00:00:00",164543.59
"2021-09-30 00:00:00",356257.19
"2021-10-01 00:00:00",490621.27
"2021-10-02 00:00:00",205444.98
"2021-10-03 00:00:00",292755.39
"2021-10-04 00:00:00",271828.53
"2021-10-05 00:00:00",140263.94
"2021-10-06 00:00:00",274767.36
"2021-10-07 00:00:00",278621.38
"2021-10-08 00:00:00",187141.25
"2021-10-09 00:00:00",135023.39
"2021-10-10 00:00:00",134253.98
"2021-10-11 00:00:00",109088.58
"2021-10-12 00:00:00",116576.77
"2021-10-13 00:00:00",272981.92
"2021-10-14 00:00:00",133290.5
"2021-10-15 00:00:00",144003.8
"2021-10-16 00:00:00",124805.77
"2021-10-17 00:00:00",332907.1
"2021-10-18 00:00:00",208375.3
"2021-10-19 00:00:00",85876.93
"2021-10-20 00:00:00",137398.73
"2021-10-21 00:00:00",189252.96
"2021-10-22 00:00:00",93129.94
"2021-10-23 00:00:00",98831.3
"2021-10-24 00:00:00",135700.69
"2021-10-25 00:00:00",133678.79
"2021-10-26 00:00:00",101560.53
"2021-10-27 00:00:00",80834.39
"2021-10-28 00:00:00",103623.44
"2021-10-29 00:00:00",117566.56
"2021-10-30 00:00:00",73365.26
"2021-10-31 00:00:00",126098
"2021-11-01 00:00:00",200610.88
"2021-11-02 00:00:00",112568.99
"2021-11-03 00:00:00",65735.6
"2021-11-04 00:00:00",200119.19
"2021-11-05 00:00:00",187286.19
"2021-11-06 00:00:00",41114.01
"2021-11-07 00:00:00",83661.6
"2021-11-08 00:00:00",104217.75
"2021-11-09 00:00:00",77763.83
"2021-11-10 00:00:00",50400.21
"2021-11-11 00:00:00",45886.48
"2021-11-12 00:00:00",848089.23
"2021-11-13 00:00:00",216656.97
"2021-11-14 00:00:00",172427.27
"2021-11-15 00:00:00",75175.81
"2021-11-16 00:00:00",203980.74
"2021-11-17 00:00:00",162983.5
"2021-11-18 00:00:00",105073.26
"2021-11-19 00:00:00",20731.74
"2021-11-20 00:00:00",42213.02
"2021-11-21 00:00:00",158604.92
"2021-11-22 00:00:00",73444.5
"2021-11-23 00:00:00",43798.24
"2021-11-24 00:00:00",32697.07
"2021-11-25 00:00:00",47154.65
"2021-11-26 00:00:00",40110.84
"2021-11-27 00:00:00",83241.55
"2021-11-28 00:00:00",40187.69
"2021-11-29 00:00:00",35481.28
"2021-11-30 00:00:00",52706.05
"2021-12-01 00:00:00",52242.28
"2021-12-02 00:00:00",39162.64
"2021-12-03 00:00:00",16866.57
"2021-12-04 00:00:00",83927.76
"2021-12-05 00:00:00",54444.11
"2021-12-06 00:00:00",54862.53
"2021-12-07 00:00:00",30496.54
"2021-12-08 00:00:00",57300.42
"2021-12-09 00:00:00",56782.43
"2021-12-10 00:00:00",28811.88
"2021-12-11 00:00:00",102139.54
"2021-12-12 00:00:00",28052.25
"2021-12-13 00:00:00",35598.23
"2021-12-14 00:00:00",87690.39
"2021-12-15 00:00:00",245713.02
"2021-12-16 00:00:00",58623.57
"2021-12-17 00:00:00",54001.33
"2021-12-18 00:00:00",14366.32
"2021-12-19 00:00:00",32351.64
"2021-12-20 00:00:00",83618.34
"2021-12-21 00:00:00",29775.68
"2021-12-22 00:00:00",43569.37
"2021-12-23 00:00:00",61620.04
"2021-12-24 00:00:00",31699.34
"2021-12-25 00:00:00",81396.9
"2021-12-26 00:00:00",115652.95
"2021-12-27 00:00:00",185814.19
"2021-12-28 00:00:00",32156.3
"2021-12-29 00:00:00",101442.72
"2021-12-30 00:00:00",134477.35
"2021-12-31 00:00:00",164542.51
"2022-01-01 00:00:00",708898.98
"2022-01-02 00:00:00",153398.42
"2022-01-03 00:00:00",226279.7
"2022-01-04 00:00:00",142333.56
"2022-01-05 00:00:00",120627.42
"2022-01-06 00:00:00",87404.81
"2022-01-07 00:00:00",53719.88
"2022-01-08 00:00:00",63477.82
"2022-01-09 00:00:00",80378.56
"2022-01-10 00:00:00",51480.66
"2022-01-11 00:00:00",76463.3
"2022-01-12 00:00:00",91277.54
"2022-01-13 00:00:00",123128.39
"2022-01-14 00:00:00",423475.76
"2022-01-15 00:00:00",694920.68
"2022-01-16 00:00:00",226845.14
"2022-01-17 00:00:00",144566.36
"2022-01-18 00:00:00",95257.08
"2022-01-19 00:00:00",53546.42
"2022-01-20 00:00:00",63886.33
"2022-01-21 00:00:00",69899.1
"2022-01-22 00:00:00",96237.37
"2022-01-23 00:00:00",77667.15
"2022-01-24 00:00:00",46207.58
"2022-01-25 00:00:00",72768.34
"2022-01-26 00:00:00",40187.23
"2022-01-27 00:00:00",67167.28
"2022-01-28 00:00:00",104315.45
"2022-01-29 00:00:00",126083.13
"2022-01-30 00:00:00",113037.11
"2022-01-31 00:00:00",86523.85
"2022-02-01 00:00:00",113469.73
"2022-02-02 00:00:00",64203.88
"2022-02-03 00:00:00",109120.31
"2022-02-04 00:00:00",234703.38
"2022-02-05 00:00:00",103497.6
"2022-02-06 00:00:00",53025.15
"2022-02-07 00:00:00",61951.87
"2022-02-08 00:00:00",47058.64
"2022-02-09 00:00:00",20385.88
"2022-02-10 00:00:00",29590.86
