"DateTime","Sales (USD)"
"2021-09-15 00:00:00",1157002.34
"2021-09-16 00:00:00",494317.21
"2021-09-17 00:00:00",1564681.22
"2021-09-18 00:00:00",1695568.15
"2021-09-19 00:00:00",259581.01
"2021-09-20 00:00:00",120827.94
"2021-09-21 00:00:00",117084.69
"2021-09-22 00:00:00",288115.8
"2021-09-23 00:00:00",625935.61
"2021-09-24 00:00:00",83001.94
"2021-09-25 00:00:00",132672.98
"2021-09-26 00:00:00",69605.23
"2021-09-27 00:00:00",221542.95
"2021-09-28 00:00:00",393578.64
"2021-09-29 00:00:00",50283.01
"2021-09-30 00:00:00",49028.72
"2021-10-01 00:00:00",25975.48
"2021-10-02 00:00:00",116402.14
"2021-10-03 00:00:00",78284.06
"2021-10-04 00:00:00",66589.62
"2021-10-05 00:00:00",44859.73
"2021-10-06 00:00:00",33000.44
"2021-10-07 00:00:00",41656.99
"2021-10-08 00:00:00",47684.59
"2021-10-09 00:00:00",85043.08
"2021-10-10 00:00:00",77184.59
"2021-10-11 00:00:00",55200.36
"2021-10-12 00:00:00",24392.53
"2021-10-13 00:00:00",22416.6
"2021-10-14 00:00:00",14144.01
"2021-10-15 00:00:00",15046.86
"2021-10-16 00:00:00",19949.88
"2021-10-17 00:00:00",14557.2
"2021-10-18 00:00:00",30034.81
"2021-10-19 00:00:00",61147.68
"2021-10-20 00:00:00",29004.13
"2021-10-21 00:00:00",16591.94
"2021-10-22 00:00:00",12776.72
"2021-10-23 00:00:00",25325.17
"2021-10-24 00:00:00",11201.68
"2021-10-25 00:00:00",17228.25
"2021-10-26 00:00:00",6767.57
"2021-10-27 00:00:00",4059.14
"2021-10-28 00:00:00",3446.08
"2021-10-29 00:00:00",4350.71
"2021-10-30 00:00:00",1400.6
"2021-10-31 00:00:00",1901.73
"2021-11-01 00:00:00",8424.41
"2021-11-02 00:00:00",536.14
"2021-11-03 00:00:00",1413.1
"2021-11-04 00:00:00",906.65
"2021-11-05 00:00:00",843.68
"2021-11-06 00:00:00",2473.02
"2021-11-07 00:00:00",1379.16
"2021-11-08 00:00:00",917.47
"2021-11-09 00:00:00",521.19
"2021-11-10 00:00:00",187.28
"2021-11-11 00:00:00",472.17
"2021-11-12 00:00:00",46.3
"2021-11-13 00:00:00",184.87
"2021-11-14 00:00:00",1179.28
"2021-11-15 00:00:00",4970.82
"2021-11-16 00:00:00",658.85
"2021-11-17 00:00:00",611.95
"2021-11-18 00:00:00",814.61
"2021-11-19 00:00:00",4438.73
"2021-11-20 00:00:00",500.86
"2021-11-21 00:00:00",900.29
"2021-11-22 00:00:00",381.74
"2021-11-23 00:00:00",366.64
"2021-11-24 00:00:00",170.21
"2021-11-25 00:00:00",194.4
"2021-11-27 00:00:00",89.46
"2021-11-28 00:00:00",85.31
"2021-11-29 00:00:00",771.06
"2021-11-30 00:00:00",0
"2021-12-01 00:00:00",46.86
"2021-12-02 00:00:00",432.75
"2021-12-03 00:00:00",393.25
"2021-12-04 00:00:00",20.46
"2021-12-05 00:00:00",8398.52
"2021-12-06 00:00:00",153.12
"2021-12-07 00:00:00",52.15
"2021-12-08 00:00:00",36.31
"2021-12-09 00:00:00",170.9
"2021-12-10 00:00:00",1364.63
"2021-12-11 00:00:00",42.23
"2021-12-12 00:00:00",597.77
"2021-12-13 00:00:00",130.26
"2021-12-14 00:00:00",18.95
"2021-12-15 00:00:00",103.92
"2021-12-16 00:00:00",11.97
"2021-12-17 00:00:00",7.64
"2021-12-18 00:00:00",177.73
"2021-12-19 00:00:00",15.7
"2021-12-20 00:00:00",24.82
"2021-12-21 00:00:00",43.91
"2021-12-22 00:00:00",63.45
"2021-12-23 00:00:00",218.94
"2021-12-24 00:00:00",248.18
"2021-12-25 00:00:00",85.28
"2021-12-26 00:00:00",509.22
"2021-12-27 00:00:00",102.16
"2021-12-28 00:00:00",120.19
"2021-12-29 00:00:00",179.73
"2021-12-30 00:00:00",57.62
"2021-12-31 00:00:00",76.66
"2022-01-01 00:00:00",76.7
"2022-01-02 00:00:00",38.18
"2022-01-03 00:00:00",76.75
"2022-01-04 00:00:00",74.58
"2022-01-06 00:00:00",35.7
"2022-01-07 00:00:00",128.45
"2022-01-08 00:00:00",32.89
"2022-01-09 00:00:00",31.37
"2022-01-10 00:00:00",189.87
"2022-01-11 00:00:00",6.47
"2022-01-12 00:00:00",32.18
"2022-01-13 00:00:00",495.11
"2022-01-14 00:00:00",16.14
"2022-01-15 00:00:00",312.31
"2022-01-16 00:00:00",96.7
"2022-01-17 00:00:00",168.57
"2022-01-18 00:00:00",366.13
"2022-01-19 00:00:00",196.59
"2022-01-20 00:00:00",122.55
"2022-01-21 00:00:00",28.67
"2022-01-22 00:00:00",58.42
"2022-01-23 00:00:00",147.31
"2022-01-24 00:00:00",119.09
"2022-01-25 00:00:00",102.55
"2022-01-26 00:00:00",178.28
"2022-01-27 00:00:00",71.03
"2022-01-28 00:00:00",0.03
"2022-01-29 00:00:00",65.25
"2022-01-30 00:00:00",44.22
"2022-02-01 00:00:00",94.19
"2022-02-02 00:00:00",67.74
"2022-02-03 00:00:00",337.45
"2022-02-04 00:00:00",34.28
"2022-02-05 00:00:00",87.76
"2022-02-06 00:00:00",189.36
"2022-02-07 00:00:00",16.36
"2022-02-08 00:00:00",32.39
"2022-02-09 00:00:00",27.81
"2022-02-11 00:00:00",888.33
"2022-02-12 00:00:00",173.9
"2022-02-13 00:00:00",545.68
"2022-02-14 00:00:00",28.59
"2022-02-15 00:00:00",130.23
"2022-02-16 00:00:00",146.17
"2022-02-17 00:00:00",302.92
"2022-02-18 00:00:00",45.96
"2022-02-19 00:00:00",57.2
"2022-02-20 00:00:00",582.04
"2022-02-21 00:00:00",173.09
"2022-02-22 00:00:00",294.66
"2022-02-23 00:00:00",81.2
"2022-02-24 00:00:00",40.56
"2022-02-25 00:00:00",39.79
"2022-02-26 00:00:00",90.45
"2022-02-27 00:00:00",70.77
"2022-02-28 00:00:00",28.09
"2022-03-01 00:00:00",116.9
