"DateTime","Sales (USD)"
"2021-12-17 00:00:00",23326173.18
"2021-12-18 00:00:00",15015728.04
"2021-12-19 00:00:00",3964019.78
"2021-12-20 00:00:00",3009370.26
"2021-12-21 00:00:00",1868712.13
"2021-12-22 00:00:00",1590283.39
"2021-12-23 00:00:00",1356361.87
"2021-12-24 00:00:00",1002126.8
"2021-12-25 00:00:00",707459.94
"2021-12-26 00:00:00",697946.85
"2021-12-27 00:00:00",852817.13
"2021-12-28 00:00:00",768140.22
"2021-12-29 00:00:00",518421.92
"2021-12-30 00:00:00",558143.59
"2021-12-31 00:00:00",466895.39
"2022-01-01 00:00:00",448507.17
"2022-01-02 00:00:00",603426.2
"2022-01-03 00:00:00",622533.53
"2022-01-04 00:00:00",1194016.48
"2022-01-05 00:00:00",775694.6
"2022-01-06 00:00:00",452803.58
"2022-01-07 00:00:00",611352.72
"2022-01-08 00:00:00",711313.56
"2022-01-09 00:00:00",505339.92
"2022-01-10 00:00:00",396026.43
"2022-01-11 00:00:00",571439.59
"2022-01-12 00:00:00",346953.06
"2022-01-13 00:00:00",326065.16
"2022-01-14 00:00:00",370511.88
"2022-01-15 00:00:00",374200.98
"2022-01-16 00:00:00",334040.01
"2022-01-17 00:00:00",318954.51
"2022-01-18 00:00:00",312361.46
"2022-01-19 00:00:00",2876590.18
"2022-01-20 00:00:00",2402172.35
"2022-01-21 00:00:00",567392.64
"2022-01-22 00:00:00",566737.02
"2022-01-23 00:00:00",518433.39
"2022-01-24 00:00:00",482960.68
"2022-01-25 00:00:00",555580.01
"2022-01-26 00:00:00",421135.61
"2022-01-27 00:00:00",293733.64
"2022-01-28 00:00:00",360855.03
"2022-01-29 00:00:00",361366.93
"2022-01-30 00:00:00",275544.61
"2022-01-31 00:00:00",384421.57
"2022-02-01 00:00:00",457754.15
"2022-02-02 00:00:00",351795.09
"2022-02-03 00:00:00",211088.05
"2022-02-04 00:00:00",269051.95
"2022-02-05 00:00:00",343615.24
"2022-02-06 00:00:00",315017.69
"2022-02-07 00:00:00",428781.34
"2022-02-08 00:00:00",640736.41
"2022-02-09 00:00:00",703068.3
"2022-02-10 00:00:00",452488.18
"2022-02-11 00:00:00",451922.37
"2022-02-12 00:00:00",432361.83
"2022-02-13 00:00:00",949919.03
"2022-02-14 00:00:00",724927.39
"2022-02-15 00:00:00",475009.27
"2022-02-16 00:00:00",663194.06
"2022-02-17 00:00:00",703506.99
"2022-02-18 00:00:00",1027556.07
"2022-02-19 00:00:00",887386.44
"2022-02-20 00:00:00",770512.73
"2022-02-21 00:00:00",623458.33
"2022-02-22 00:00:00",847517.33
"2022-02-23 00:00:00",777731.63
"2022-02-24 00:00:00",608755.54
"2022-02-25 00:00:00",890676.57
"2022-02-26 00:00:00",227583.72
"2022-02-27 00:00:00",223052.67
"2022-02-28 00:00:00",299265.17
"2022-03-01 00:00:00",286089.01
"2022-03-02 00:00:00",195189.48
