"DateTime","Sales (USD)"
"2021-09-06 00:00:00",810986.01
"2021-09-07 00:00:00",313271.31
"2021-09-08 00:00:00",155105.59
"2021-09-09 00:00:00",90875.32
"2021-09-10 00:00:00",32511.26
"2021-09-11 00:00:00",24863.46
"2021-09-12 00:00:00",20665.33
"2021-09-13 00:00:00",22159.96
"2021-09-14 00:00:00",49656.05
"2021-09-15 00:00:00",2873980.23
"2021-09-16 00:00:00",1574334.43
"2021-09-17 00:00:00",409485.39
"2021-09-18 00:00:00",240530.45
"2021-09-19 00:00:00",139210.04
"2021-09-20 00:00:00",78816.43
"2021-09-21 00:00:00",71027.11
"2021-09-22 00:00:00",176690.14
"2021-09-23 00:00:00",73109.59
"2021-09-24 00:00:00",165440.06
"2021-09-25 00:00:00",358927.39
"2021-09-26 00:00:00",121324
"2021-09-27 00:00:00",251163.88
"2021-09-28 00:00:00",142056.53
"2021-09-29 00:00:00",73182.57
"2021-09-30 00:00:00",104305.57
"2021-10-01 00:00:00",90212.32
"2021-10-02 00:00:00",134478.44
"2021-10-03 00:00:00",49295.98
"2021-10-04 00:00:00",68140.98
"2021-10-05 00:00:00",64901.34
"2021-10-06 00:00:00",78277.01
"2021-10-07 00:00:00",49981.01
"2021-10-08 00:00:00",29342.65
"2021-10-09 00:00:00",66343.1
"2021-10-10 00:00:00",36820.51
"2021-10-11 00:00:00",17179.03
"2021-10-12 00:00:00",42290.66
"2021-10-13 00:00:00",26538.61
"2021-10-14 00:00:00",12807.51
"2021-10-15 00:00:00",13098.69
"2021-10-16 00:00:00",74920.85
"2021-10-17 00:00:00",26734.6
"2021-10-18 00:00:00",9514.61
"2021-10-19 00:00:00",10117.15
"2021-10-20 00:00:00",33082.85
"2021-10-21 00:00:00",23163.59
"2021-10-22 00:00:00",16198.75
"2021-10-23 00:00:00",10439.11
"2021-10-24 00:00:00",11838.55
"2021-10-25 00:00:00",12717.29
"2021-10-26 00:00:00",4228.11
"2021-10-27 00:00:00",7762.99
"2021-10-28 00:00:00",2735.94
"2021-10-29 00:00:00",2331.33
"2021-10-30 00:00:00",3682.55
"2021-10-31 00:00:00",2485.28
"2021-11-01 00:00:00",2796.01
"2021-11-02 00:00:00",2706.91
"2021-11-03 00:00:00",6195
"2021-11-04 00:00:00",10062.07
"2021-11-05 00:00:00",6343.6
"2021-11-06 00:00:00",6521.87
"2021-11-07 00:00:00",5234.26
"2021-11-08 00:00:00",7824.53
"2021-11-09 00:00:00",3239.25
"2021-11-10 00:00:00",823.76
"2021-11-11 00:00:00",1044.89
"2021-11-12 00:00:00",2536.19
"2021-11-13 00:00:00",6992.73
"2021-11-14 00:00:00",13794.66
