"DateTime","Sales (USD)"
"2021-03-07 00:00:00",154884.75
"2021-03-08 00:00:00",540163.78
"2021-03-09 00:00:00",462069.84
"2021-03-10 00:00:00",433584.63
"2021-03-11 00:00:00",334605.76
"2021-03-12 00:00:00",246680.57
"2021-03-13 00:00:00",203690.08
"2021-03-14 00:00:00",136325.2
"2021-03-15 00:00:00",69647.22
"2021-03-16 00:00:00",94019.73
"2021-03-17 00:00:00",105347.97
"2021-03-18 00:00:00",55091.72
"2021-03-19 00:00:00",20474.05
"2021-03-20 00:00:00",60486.17
"2021-03-21 00:00:00",43977.16
"2021-03-22 00:00:00",42872.65
"2021-03-23 00:00:00",36197.54
"2021-03-24 00:00:00",17919.94
"2021-03-25 00:00:00",14269.26
"2021-03-26 00:00:00",17884.93
"2021-03-27 00:00:00",22597.98
"2021-03-28 00:00:00",17456.4
"2021-03-29 00:00:00",12016.76
"2021-03-30 00:00:00",22531.41
"2021-03-31 00:00:00",5361.95
"2021-04-01 00:00:00",13893.63
"2021-04-02 00:00:00",9900.21
"2021-04-03 00:00:00",3720.32
"2021-04-04 00:00:00",5929.34
"2021-04-05 00:00:00",6996.47
"2021-04-06 00:00:00",8249.56
"2021-04-07 00:00:00",3577.15
"2021-04-08 00:00:00",10116.46
"2021-04-09 00:00:00",7047.12
"2021-04-10 00:00:00",8499.19
"2021-04-11 00:00:00",896.21
"2021-04-12 00:00:00",9524.66
"2021-04-13 00:00:00",3535.64
"2021-04-14 00:00:00",4710.03
"2021-04-15 00:00:00",3266.98
"2021-04-16 00:00:00",4182.24
"2021-04-17 00:00:00",6528.45
"2021-04-18 00:00:00",9866.1
"2021-04-19 00:00:00",4813.24
"2021-04-20 00:00:00",6530
"2021-04-21 00:00:00",3251.25
"2021-04-22 00:00:00",7974.07
"2021-04-23 00:00:00",2003.56
"2021-04-24 00:00:00",8385.86
"2021-04-25 00:00:00",690.17
"2021-04-26 00:00:00",2244.46
"2021-04-27 00:00:00",688.05
"2021-04-28 00:00:00",276.05
"2021-04-29 00:00:00",276.05
"2021-04-30 00:00:00",498.65
"2021-05-01 00:00:00",2879.48
"2021-05-02 00:00:00",1793.15
"2021-05-03 00:00:00",2424.42
"2021-05-04 00:00:00",2883.76
"2021-05-05 00:00:00",349.07
"2021-05-06 00:00:00",273.04
"2021-05-07 00:00:00",1288.57
"2021-05-09 00:00:00",1660.8
"2021-05-10 00:00:00",197.71
"2021-05-13 00:00:00",1329.55
"2021-05-14 00:00:00",2451.62
"2021-05-15 00:00:00",697.79
"2021-05-16 00:00:00",863.82
"2021-05-17 00:00:00",1430.78
"2021-05-18 00:00:00",3396.66
"2021-05-19 00:00:00",191.68
"2021-05-20 00:00:00",1119.5
"2021-05-22 00:00:00",331.24
"2021-05-23 00:00:00",741.17
"2021-05-24 00:00:00",2465.97
"2021-05-25 00:00:00",2669.35
"2021-05-26 00:00:00",430.31
"2021-05-27 00:00:00",274.31
"2021-05-28 00:00:00",319.59
"2021-05-29 00:00:00",114.44
"2021-05-30 00:00:00",539.16
"2021-05-31 00:00:00",4720.93
"2021-06-01 00:00:00",249.49
"2021-06-03 00:00:00",33015
"2021-06-04 00:00:00",806.78
"2021-06-07 00:00:00",828.83
"2021-06-08 00:00:00",501.29
"2021-06-09 00:00:00",469.01
