"DateTime","Sales (USD)"
"2021-11-06 00:00:00",10156.67
"2021-11-07 00:00:00",4251.62
"2021-11-08 00:00:00",264627.73
"2021-11-09 00:00:00",141538.51
"2021-11-10 00:00:00",253808.4
"2021-11-11 00:00:00",466737.4
"2021-11-12 00:00:00",188152.16
"2021-11-13 00:00:00",65354.36
"2021-11-14 00:00:00",73430.66
"2021-11-15 00:00:00",30078.49
"2021-11-16 00:00:00",54884.28
"2021-11-17 00:00:00",68904.06
"2021-11-18 00:00:00",103671.23
"2021-11-19 00:00:00",69700.93
"2021-11-20 00:00:00",3276619.52
"2021-11-21 00:00:00",7411724.52
"2021-11-22 00:00:00",10437410
"2021-11-23 00:00:00",2886557.19
"2021-11-24 00:00:00",1996694.79
"2021-11-25 00:00:00",1139096
"2021-11-26 00:00:00",688539.2
"2021-11-27 00:00:00",960056.3
"2021-11-28 00:00:00",610197.83
"2021-11-29 00:00:00",385741.58
"2021-11-30 00:00:00",235545.44
"2021-12-01 00:00:00",264784.36
"2021-12-02 00:00:00",222627.11
"2021-12-03 00:00:00",298403.81
"2021-12-04 00:00:00",449201.86
"2021-12-05 00:00:00",190711.14
"2021-12-06 00:00:00",156306.3
"2021-12-07 00:00:00",130456.82
"2021-12-08 00:00:00",148993.37
"2021-12-09 00:00:00",141575.49
"2021-12-10 00:00:00",68328.18
"2021-12-11 00:00:00",76648.57
"2021-12-12 00:00:00",178839.44
"2021-12-13 00:00:00",129258.21
"2021-12-14 00:00:00",115438.09
"2021-12-15 00:00:00",94719.84
"2021-12-16 00:00:00",82914.11
"2021-12-17 00:00:00",67698.58
"2021-12-18 00:00:00",52454.52
"2021-12-19 00:00:00",42803.71
"2021-12-20 00:00:00",27312.68
"2021-12-21 00:00:00",45366.94
"2021-12-22 00:00:00",676454.67
"2021-12-23 00:00:00",33953.98
"2021-12-24 00:00:00",34026.62
"2021-12-25 00:00:00",63277.99
"2021-12-26 00:00:00",200477.54
"2021-12-27 00:00:00",187255.82
"2021-12-28 00:00:00",65207.54
"2021-12-29 00:00:00",53158.52
"2021-12-30 00:00:00",49674.06
"2021-12-31 00:00:00",53517.13
"2022-01-01 00:00:00",130489.95
"2022-01-02 00:00:00",411258.79
"2022-01-03 00:00:00",111800.81
"2022-01-04 00:00:00",57650.47
"2022-01-05 00:00:00",110534.78
"2022-01-06 00:00:00",116288.44
"2022-01-07 00:00:00",224879.87
"2022-01-08 00:00:00",200497.51
"2022-01-09 00:00:00",349193.28
"2022-01-10 00:00:00",121675.73
"2022-01-11 00:00:00",218532.16
"2022-01-12 00:00:00",111547.17
"2022-01-13 00:00:00",37012.01
"2022-01-14 00:00:00",73959.39
"2022-01-15 00:00:00",43895.35
"2022-01-16 00:00:00",97371.54
"2022-01-17 00:00:00",132794.02
"2022-01-18 00:00:00",67125.13
"2022-01-19 00:00:00",65715.3
"2022-01-20 00:00:00",37971.68
"2022-01-21 00:00:00",55745.11
"2022-01-22 00:00:00",55491.34
"2022-01-23 00:00:00",31787.31
"2022-01-24 00:00:00",25658.24
"2022-01-25 00:00:00",892144.8
"2022-01-26 00:00:00",76379.26
"2022-01-27 00:00:00",41319.55
"2022-01-28 00:00:00",42476.99
"2022-01-29 00:00:00",96474.14
"2022-01-30 00:00:00",75719.37
"2022-01-31 00:00:00",48586.79
"2022-02-01 00:00:00",46478.38
"2022-02-02 00:00:00",23740.16
"2022-02-03 00:00:00",61290.24
"2022-02-04 00:00:00",65218.62
"2022-02-05 00:00:00",12929.47
"2022-02-06 00:00:00",17149.61
"2022-02-07 00:00:00",44752.05
"2022-02-08 00:00:00",36430.2
"2022-02-09 00:00:00",19289.66
"2022-02-10 00:00:00",49772.91
"2022-02-11 00:00:00",71560.66
"2022-02-12 00:00:00",123415.48
"2022-02-13 00:00:00",718153.5
"2022-02-14 00:00:00",152787.76
"2022-02-15 00:00:00",180159.04
"2022-02-16 00:00:00",76078.85
"2022-02-17 00:00:00",96647.04
"2022-02-18 00:00:00",135711.76
"2022-02-19 00:00:00",124131.06
"2022-02-20 00:00:00",393027.55
"2022-02-21 00:00:00",860846.79
"2022-02-22 00:00:00",150225.42
"2022-02-23 00:00:00",105131.16
"2022-02-24 00:00:00",99658.98
"2022-02-25 00:00:00",70462.08
"2022-02-26 00:00:00",37413.19
"2022-02-27 00:00:00",51397.04
"2022-02-28 00:00:00",61885.05
"2022-03-01 00:00:00",36986.41
