"DateTime","Sales (USD)"
"2021-08-23 00:00:00",166424.26
"2021-08-24 00:00:00",44320.26
"2021-08-25 00:00:00",18475.57
"2021-08-26 00:00:00",32708.76
"2021-08-27 00:00:00",51486.5
"2021-08-28 00:00:00",110166.71
"2021-08-29 00:00:00",25352.21
"2021-08-30 00:00:00",119605.69
"2021-08-31 00:00:00",62385.24
"2021-09-01 00:00:00",68616.35
"2021-09-02 00:00:00",72772.95
"2021-09-03 00:00:00",70651.89
"2021-09-04 00:00:00",285435.19
"2021-09-05 00:00:00",345560.28
"2021-09-06 00:00:00",121730.69
"2021-09-07 00:00:00",32131.69
"2021-09-08 00:00:00",21061.48
"2021-09-09 00:00:00",18939.72
"2021-09-10 00:00:00",2917.85
"2021-09-11 00:00:00",10957.12
"2021-09-12 00:00:00",5834.75
"2021-09-13 00:00:00",5396.8
"2021-09-14 00:00:00",4717.67
"2021-09-15 00:00:00",4509.46
"2021-09-16 00:00:00",5298.6
"2021-09-17 00:00:00",4547.32
"2021-09-18 00:00:00",2246.05
"2021-09-19 00:00:00",5814.05
"2021-09-20 00:00:00",3256.51
"2021-09-21 00:00:00",881.31
"2021-09-22 00:00:00",3614.58
"2021-09-23 00:00:00",2348
"2021-09-24 00:00:00",2045.95
"2021-09-25 00:00:00",1943.04
"2021-09-26 00:00:00",3048.29
"2021-09-27 00:00:00",2018.63
"2021-09-28 00:00:00",1486.24
"2021-09-29 00:00:00",9851.76
"2021-09-30 00:00:00",1729.44
"2021-10-01 00:00:00",4767.85
"2021-10-02 00:00:00",13782.41
"2021-10-03 00:00:00",177788.48
"2021-10-04 00:00:00",470392.18
"2021-10-05 00:00:00",1827445.07
"2021-10-06 00:00:00",353674.21
"2021-10-07 00:00:00",113074.08
"2021-10-08 00:00:00",89071.11
"2021-10-09 00:00:00",75597.28
"2021-10-10 00:00:00",97728.56
"2021-10-11 00:00:00",76212.84
"2021-10-12 00:00:00",516395.26
"2021-10-13 00:00:00",990993.94
"2021-10-14 00:00:00",703292.76
"2021-10-15 00:00:00",163402.45
"2021-10-16 00:00:00",208478.89
"2021-10-17 00:00:00",102970.03
"2021-10-18 00:00:00",90973.76
"2021-10-19 00:00:00",51077.23
"2021-10-20 00:00:00",32664.56
"2021-10-21 00:00:00",53330.57
"2021-10-22 00:00:00",34780.57
"2021-10-23 00:00:00",35174.63
"2021-10-24 00:00:00",36070.65
"2021-10-25 00:00:00",17637.06
"2021-10-26 00:00:00",19123.93
"2021-10-27 00:00:00",13760.05
"2021-10-28 00:00:00",20422.34
"2021-10-29 00:00:00",25122.75
"2021-10-30 00:00:00",13053.22
"2021-10-31 00:00:00",10164.66
"2021-11-01 00:00:00",10626.97
"2021-11-02 00:00:00",16274.05
"2021-11-03 00:00:00",6348.95
"2021-11-04 00:00:00",6313.17
"2021-11-05 00:00:00",23846.43
"2021-11-06 00:00:00",20255.21
"2021-11-07 00:00:00",8426.85
"2021-11-08 00:00:00",8204.94
"2021-11-09 00:00:00",3611.06
"2021-11-10 00:00:00",6593.45
"2021-11-11 00:00:00",4724.85
"2021-11-12 00:00:00",2357.92
"2021-11-13 00:00:00",4020.94
"2021-11-14 00:00:00",67953.63
"2021-11-15 00:00:00",17664.66
"2021-11-16 00:00:00",18635.78
"2021-11-17 00:00:00",56754.05
"2021-11-18 00:00:00",9438.93
"2021-11-19 00:00:00",10519.8
"2021-11-20 00:00:00",6526.17
"2021-11-21 00:00:00",3183.21
"2021-11-22 00:00:00",6644.96
"2021-11-23 00:00:00",17422.22
"2021-11-24 00:00:00",8663.72
"2021-11-25 00:00:00",4752.24
"2021-11-26 00:00:00",3047.7
"2021-11-27 00:00:00",7736.14
"2021-11-28 00:00:00",6207.57
"2021-11-29 00:00:00",4770.22
"2021-11-30 00:00:00",1839.77
"2021-12-01 00:00:00",8248.7
"2021-12-02 00:00:00",6996.23
"2021-12-03 00:00:00",22600.57
"2021-12-04 00:00:00",4514.44
"2021-12-05 00:00:00",7670.8
"2021-12-06 00:00:00",2721.73
"2021-12-07 00:00:00",6295.99
"2021-12-08 00:00:00",2882.91
"2021-12-09 00:00:00",1653.65
"2021-12-10 00:00:00",15998.63
"2021-12-11 00:00:00",2077.52
"2021-12-12 00:00:00",1434.2
"2021-12-13 00:00:00",5991.99
"2021-12-14 00:00:00",4421.17
"2021-12-15 00:00:00",6545.4
"2021-12-16 00:00:00",4838.81
"2021-12-17 00:00:00",6351.51
"2021-12-18 00:00:00",3491.34
"2021-12-19 00:00:00",2291.9
"2021-12-20 00:00:00",1333.9
"2021-12-21 00:00:00",2684.74
"2021-12-22 00:00:00",2423.31
"2021-12-23 00:00:00",246.22
"2021-12-24 00:00:00",7152.86
"2021-12-25 00:00:00",5977.73
"2021-12-26 00:00:00",3321.75
"2021-12-27 00:00:00",1243.78
"2021-12-28 00:00:00",1739.22
"2021-12-29 00:00:00",565.03
"2021-12-30 00:00:00",844.05
"2021-12-31 00:00:00",11222.18
"2022-01-01 00:00:00",1308.28
"2022-01-02 00:00:00",5328.6
"2022-01-03 00:00:00",4259.57
"2022-01-04 00:00:00",1471.05
"2022-01-05 00:00:00",4596.4
"2022-01-06 00:00:00",1877.77
"2022-01-07 00:00:00",15013.33
"2022-01-08 00:00:00",4743.31
"2022-01-09 00:00:00",14874.35
"2022-01-10 00:00:00",7816.78
"2022-01-11 00:00:00",4448.18
"2022-01-12 00:00:00",5541.33
"2022-01-13 00:00:00",7341.43
"2022-01-14 00:00:00",7248.01
"2022-01-15 00:00:00",1373.79
"2022-01-16 00:00:00",1998.33
"2022-01-17 00:00:00",3132.36
"2022-01-18 00:00:00",3171.33
"2022-01-19 00:00:00",1021.11
"2022-01-20 00:00:00",1398.12
"2022-01-21 00:00:00",706.36
"2022-01-22 00:00:00",2048.9
"2022-01-23 00:00:00",922.76
"2022-01-24 00:00:00",563.26
"2022-01-25 00:00:00",390.12
"2022-01-26 00:00:00",421.05
"2022-01-27 00:00:00",557.17
"2022-01-28 00:00:00",657.78
"2022-01-29 00:00:00",1461.8
"2022-01-30 00:00:00",759.26
"2022-01-31 00:00:00",418.97
"2022-02-01 00:00:00",722.43
"2022-02-02 00:00:00",567.44
"2022-02-03 00:00:00",528.62
"2022-02-04 00:00:00",119.9
"2022-02-05 00:00:00",580.59
"2022-02-06 00:00:00",161.92
"2022-02-07 00:00:00",849.18
"2022-02-08 00:00:00",588.15
"2022-02-09 00:00:00",153.94
"2022-02-10 00:00:00",735.88
"2022-02-11 00:00:00",336.72
"2022-02-12 00:00:00",2345.51
"2022-02-13 00:00:00",491.23
"2022-02-14 00:00:00",203.56
"2022-02-15 00:00:00",149.65
"2022-02-16 00:00:00",562.68
"2022-02-17 00:00:00",643.34
"2022-02-18 00:00:00",765.55
"2022-02-19 00:00:00",416.65
"2022-02-20 00:00:00",134.4
"2022-02-21 00:00:00",517.31
"2022-02-22 00:00:00",143.25
"2022-02-23 00:00:00",335.35
"2022-02-24 00:00:00",415.98
"2022-02-26 00:00:00",775.91
"2022-02-27 00:00:00",136
"2022-02-28 00:00:00",104.82
