"DateTime","Sales (USD)"
"2021-08-20 00:00:00",1787.92
"2021-08-22 00:00:00",199.42
"2021-08-24 00:00:00",3345.91
"2021-08-25 00:00:00",1218.75
"2021-08-26 00:00:00",1589.2
"2021-08-27 00:00:00",2482.29
"2021-08-28 00:00:00",1911.36
"2021-08-29 00:00:00",894.39
"2021-09-01 00:00:00",1547.74
"2021-09-02 00:00:00",538.17
"2021-09-03 00:00:00",233.14
"2021-09-04 00:00:00",252.57
"2021-09-05 00:00:00",300.56
"2021-09-06 00:00:00",941.83
"2021-09-10 00:00:00",192.17
"2021-09-11 00:00:00",170.77
"2021-09-14 00:00:00",89.59
"2021-09-15 00:00:00",215.01
"2021-09-16 00:00:00",746.87
"2021-09-21 00:00:00",81.96
"2021-09-27 00:00:00",58.85
"2021-09-28 00:00:00",1025.11
"2021-09-30 00:00:00",180.38
"2021-10-01 00:00:00",227.56
"2021-10-04 00:00:00",387.62
"2021-10-05 00:00:00",1067.87
"2021-10-06 00:00:00",17178.72
"2021-10-07 00:00:00",7244627.4
"2021-10-08 00:00:00",831986.11
"2021-10-09 00:00:00",363201.28
"2021-10-10 00:00:00",255974.43
"2021-10-11 00:00:00",373629.4
"2021-10-12 00:00:00",116973.58
"2021-10-13 00:00:00",385200.06
"2021-10-14 00:00:00",182619.99
"2021-10-15 00:00:00",73678.7
"2021-10-16 00:00:00",49327.98
"2021-10-17 00:00:00",29581.02
"2021-10-18 00:00:00",81903.22
"2021-10-19 00:00:00",48759.72
"2021-10-20 00:00:00",14559.43
"2021-10-21 00:00:00",34546.89
"2021-10-22 00:00:00",21828.34
"2021-10-23 00:00:00",27953.11
"2021-10-24 00:00:00",138959.66
"2021-10-25 00:00:00",56791.37
"2021-10-26 00:00:00",23935.85
"2021-10-27 00:00:00",29626.97
"2021-10-28 00:00:00",13662.3
"2021-10-29 00:00:00",4955.32
"2021-10-30 00:00:00",5684.15
"2021-10-31 00:00:00",7092.27
"2021-11-01 00:00:00",8149.02
"2021-11-02 00:00:00",20251.41
"2021-11-03 00:00:00",6314.78
"2021-11-04 00:00:00",4996.2
"2021-11-05 00:00:00",1960.42
"2021-11-06 00:00:00",27769.15
"2021-11-07 00:00:00",34028.6
"2021-11-08 00:00:00",13350.3
"2021-11-09 00:00:00",4049.75
"2021-11-10 00:00:00",696.5
"2021-11-11 00:00:00",0
"2021-11-12 00:00:00",1100.35
"2021-11-13 00:00:00",5083.76
"2021-11-14 00:00:00",1246.34
"2021-11-15 00:00:00",2176.59
"2021-11-16 00:00:00",508.68
"2021-11-17 00:00:00",1350.79
"2021-11-18 00:00:00",1363.94
"2021-11-19 00:00:00",2511.29
"2021-11-20 00:00:00",1602.17
"2021-11-21 00:00:00",690.41
"2021-11-22 00:00:00",1029.83
"2021-11-23 00:00:00",1181.67
"2021-11-25 00:00:00",2744.23
"2021-11-26 00:00:00",903.36
"2021-11-27 00:00:00",730.31
"2021-11-28 00:00:00",773.62
"2021-11-29 00:00:00",132.39
"2021-11-30 00:00:00",445.88
"2021-12-01 00:00:00",135.39
"2021-12-02 00:00:00",5733.42
"2021-12-04 00:00:00",162.03
"2021-12-05 00:00:00",41.65
"2021-12-06 00:00:00",478.52
"2021-12-08 00:00:00",3007.08
"2021-12-09 00:00:00",2510.6
"2021-12-10 00:00:00",1448.18
"2021-12-11 00:00:00",3860.65
"2021-12-12 00:00:00",1822.37
"2021-12-13 00:00:00",722.68
"2021-12-14 00:00:00",501.09
"2021-12-15 00:00:00",481.87
"2021-12-16 00:00:00",1092.01
"2021-12-17 00:00:00",3378.04
"2021-12-18 00:00:00",848.03
"2021-12-19 00:00:00",2003.83
"2021-12-20 00:00:00",367.65
"2021-12-21 00:00:00",215.51
"2021-12-22 00:00:00",120.23
"2021-12-23 00:00:00",39.34
"2021-12-24 00:00:00",957.01
"2021-12-25 00:00:00",427.29
"2021-12-26 00:00:00",259.28
"2021-12-27 00:00:00",48.79
"2021-12-28 00:00:00",381.4
"2021-12-29 00:00:00",119.81
"2021-12-30 00:00:00",247.75
"2021-12-31 00:00:00",709.54
"2022-01-01 00:00:00",6407.43
"2022-01-02 00:00:00",5534.73
"2022-01-03 00:00:00",152.73
"2022-01-04 00:00:00",303.14
"2022-01-05 00:00:00",511.01
"2022-01-06 00:00:00",377.54
"2022-01-08 00:00:00",1081.54
"2022-01-10 00:00:00",197.93
"2022-01-11 00:00:00",3341.58
"2022-01-12 00:00:00",64.69
"2022-01-13 00:00:00",33.39
"2022-01-14 00:00:00",346.4
"2022-01-15 00:00:00",543.36
"2022-01-17 00:00:00",128.57
"2022-01-18 00:00:00",93.73
"2022-01-19 00:00:00",1944.15
"2022-01-20 00:00:00",97.01
"2022-01-21 00:00:00",161.47
"2022-01-22 00:00:00",304.16
"2022-01-24 00:00:00",518.94
"2022-01-25 00:00:00",382.39
"2022-01-26 00:00:00",8426.01
"2022-01-27 00:00:00",385.06
"2022-01-28 00:00:00",842.28
"2022-01-29 00:00:00",4206.2
"2022-01-30 00:00:00",721.98
"2022-01-31 00:00:00",599.25
"2022-03-01 00:00:00",166.38
