"DateTime","Sales (USD)"
"2021-07-02 00:00:00",94564.03
"2021-07-03 00:00:00",48009.13
"2021-07-04 00:00:00",61001.52
"2021-07-05 00:00:00",166106.82
"2021-07-06 00:00:00",243774.07
"2021-07-07 00:00:00",167240.78
"2021-07-08 00:00:00",108486.61
"2021-07-09 00:00:00",273442.81
"2021-07-10 00:00:00",402636.31
"2021-07-11 00:00:00",117830.52
"2021-07-12 00:00:00",174598.88
"2021-07-13 00:00:00",72884.67
"2021-07-14 00:00:00",37085.53
"2021-07-15 00:00:00",58644.32
"2021-07-16 00:00:00",73068.09
"2021-07-17 00:00:00",489633.44
"2021-07-18 00:00:00",100340.04
"2021-07-19 00:00:00",75894.48
"2021-07-20 00:00:00",63451.18
"2021-07-21 00:00:00",41354.87
"2021-07-22 00:00:00",27790.99
"2021-07-23 00:00:00",49483.8
"2021-07-24 00:00:00",49418.07
"2021-07-25 00:00:00",38975.38
"2021-07-26 00:00:00",52354.69
"2021-07-27 00:00:00",65505.95
"2021-07-28 00:00:00",33681.04
"2021-07-29 00:00:00",41319.39
"2021-07-30 00:00:00",26919.68
"2021-07-31 00:00:00",145816.5
"2021-08-01 00:00:00",395059.64
"2021-08-02 00:00:00",134836.57
"2021-08-03 00:00:00",177094.9
"2021-08-04 00:00:00",1943929.44
"2021-08-05 00:00:00",685134.89
"2021-08-06 00:00:00",192225.13
"2021-08-07 00:00:00",191616.16
"2021-08-08 00:00:00",263479.57
"2021-08-09 00:00:00",785823.44
"2021-08-10 00:00:00",599016.82
"2021-08-11 00:00:00",341233.45
"2021-08-12 00:00:00",321968.26
"2021-08-13 00:00:00",337507.84
"2021-08-14 00:00:00",170532.85
"2021-08-15 00:00:00",130686.95
"2021-08-16 00:00:00",109724.52
"2021-08-17 00:00:00",179396.11
"2021-08-18 00:00:00",90292.04
"2021-08-19 00:00:00",130659
"2021-08-20 00:00:00",116964.27
"2021-08-21 00:00:00",3024145.78
"2021-08-22 00:00:00",1386892.54
"2021-08-23 00:00:00",2718483.77
"2021-08-24 00:00:00",941455
"2021-08-25 00:00:00",377499.74
"2021-08-26 00:00:00",341303.33
"2021-08-27 00:00:00",588981.29
"2021-08-28 00:00:00",1373701.97
"2021-08-29 00:00:00",739573.11
"2021-08-30 00:00:00",505210.83
"2021-08-31 00:00:00",276064.82
"2021-09-01 00:00:00",293169.85
"2021-09-02 00:00:00",484710.64
"2021-09-03 00:00:00",587791.86
"2021-09-04 00:00:00",790434.28
"2021-09-05 00:00:00",384404.77
"2021-09-06 00:00:00",600743.37
"2021-09-07 00:00:00",316960.77
"2021-09-08 00:00:00",244638.53
"2021-09-09 00:00:00",270106.08
"2021-09-10 00:00:00",215955.92
"2021-09-11 00:00:00",170769.8
"2021-09-12 00:00:00",34570.77
"2021-09-13 00:00:00",241238.63
"2021-09-14 00:00:00",163168.09
"2021-09-15 00:00:00",207466.63
"2021-09-16 00:00:00",362995.4
"2021-09-17 00:00:00",131303.76
"2021-09-18 00:00:00",114032.79
"2021-09-19 00:00:00",55191.74
"2021-09-20 00:00:00",71742.03
"2021-09-21 00:00:00",74611.7
"2021-09-22 00:00:00",26141.03
"2021-09-23 00:00:00",110366.34
"2021-09-24 00:00:00",78262.59
