"DateTime","Sales (USD)"
"2021-01-28 00:00:00",6294.51
"2021-01-29 00:00:00",3984.22
"2021-01-30 00:00:00",63320.99
"2021-01-31 00:00:00",1137930.51
"2021-02-01 00:00:00",2333921.79
"2021-02-02 00:00:00",4357530.71
"2021-02-03 00:00:00",2066315.25
"2021-02-04 00:00:00",2183853.84
"2021-02-05 00:00:00",1113673.19
"2021-02-06 00:00:00",1398357.59
"2021-02-07 00:00:00",1043178.78
"2021-02-08 00:00:00",662472.33
"2021-02-09 00:00:00",907755.17
"2021-02-10 00:00:00",723801.52
"2021-02-11 00:00:00",533035.47
"2021-02-12 00:00:00",679494.46
"2021-02-13 00:00:00",841625.29
"2021-02-14 00:00:00",1079521.06
"2021-02-15 00:00:00",2672737.48
"2021-02-16 00:00:00",2218134.2
"2021-02-17 00:00:00",1632421.86
"2021-02-18 00:00:00",822223.4
"2021-02-19 00:00:00",765468.4
"2021-02-20 00:00:00",1017680.86
"2021-02-21 00:00:00",929059.4
"2021-02-22 00:00:00",773953.78
"2021-02-23 00:00:00",530443.51
"2021-02-24 00:00:00",491762.9
"2021-02-25 00:00:00",356010.17
"2021-02-26 00:00:00",747731.09
"2021-02-27 00:00:00",492452.66
"2021-02-28 00:00:00",780652.2
"2021-03-01 00:00:00",1164334.41
"2021-03-02 00:00:00",407566.42
"2021-03-03 00:00:00",830154.82
"2021-03-04 00:00:00",437735.94
"2021-03-05 00:00:00",591696.34
"2021-03-06 00:00:00",507770.51
"2021-03-07 00:00:00",580325.55
"2021-03-08 00:00:00",635905.99
"2021-03-09 00:00:00",490819.5
"2021-03-10 00:00:00",277957.65
"2021-03-11 00:00:00",454544.73
"2021-03-12 00:00:00",266541.89
"2021-03-13 00:00:00",317517.02
"2021-03-14 00:00:00",379310.44
"2021-03-15 00:00:00",408955.98
"2021-03-16 00:00:00",399850.21
"2021-03-17 00:00:00",328264.57
"2021-03-18 00:00:00",328066.95
"2021-03-19 00:00:00",292455.83
"2021-03-20 00:00:00",246504.11
"2021-03-21 00:00:00",313547.66
"2021-03-22 00:00:00",275020.65
"2021-03-23 00:00:00",252605.34
"2021-03-24 00:00:00",323559.04
"2021-03-25 00:00:00",173598.94
"2021-03-26 00:00:00",131766.41
"2021-03-27 00:00:00",219790.48
"2021-03-28 00:00:00",176669.23
"2021-03-29 00:00:00",195978.39
"2021-03-30 00:00:00",172544.42
"2021-03-31 00:00:00",165992.77
"2021-04-01 00:00:00",133917.05
"2021-04-02 00:00:00",232063.9
"2021-04-03 00:00:00",202157.25
"2021-04-04 00:00:00",89693.21
"2021-04-05 00:00:00",81879.77
"2021-04-06 00:00:00",47281.62
"2021-04-07 00:00:00",44848.46
"2021-04-08 00:00:00",57503.44
"2021-04-09 00:00:00",46771.43
"2021-04-10 00:00:00",72447.77
"2021-04-11 00:00:00",71681.17
"2021-04-12 00:00:00",71770.87
"2021-04-13 00:00:00",166150.88
"2021-04-14 00:00:00",64781.7
"2021-04-15 00:00:00",94185.53
"2021-04-16 00:00:00",48097.57
"2021-04-17 00:00:00",62203.71
"2021-04-18 00:00:00",11999.02
"2021-04-19 00:00:00",69226.92
"2021-04-20 00:00:00",25435.8
"2021-04-21 00:00:00",38737.71
"2021-04-22 00:00:00",149763.59
"2021-04-23 00:00:00",24798.35
"2021-04-24 00:00:00",60838.34
"2021-04-25 00:00:00",69497.02
"2021-04-26 00:00:00",96847.38
"2021-04-27 00:00:00",34871.49
"2021-04-28 00:00:00",142220.73
"2021-04-29 00:00:00",40106.13
"2021-04-30 00:00:00",34552.99
"2021-05-01 00:00:00",50323.81
"2021-05-02 00:00:00",25527.25
"2021-05-03 00:00:00",142128.79
"2021-05-04 00:00:00",54802.55
"2021-05-05 00:00:00",22236.84
"2021-05-06 00:00:00",32997.51
"2021-05-07 00:00:00",35728.82
"2021-05-08 00:00:00",17482.47
"2021-05-09 00:00:00",67742.17
"2021-05-10 00:00:00",17180.32
"2021-05-11 00:00:00",41352.05
"2021-05-12 00:00:00",13090.68
"2021-05-13 00:00:00",38207.14
"2021-05-14 00:00:00",27137.49
"2021-05-15 00:00:00",184869.27
"2021-05-16 00:00:00",44615.24
"2021-05-17 00:00:00",25101.38
"2021-05-18 00:00:00",31422.82
"2021-05-19 00:00:00",26751.62
"2021-05-20 00:00:00",12737.25
"2021-05-21 00:00:00",16130.86
"2021-05-22 00:00:00",18200.69
"2021-05-23 00:00:00",8136.06
"2021-05-24 00:00:00",23024.82
"2021-05-25 00:00:00",24552.77
"2021-05-26 00:00:00",36310.96
