"DateTime","Sales (USD)"
"2021-08-15 00:00:00",9647.77
"2021-08-16 00:00:00",1108879.12
"2021-08-17 00:00:00",321945.42
"2021-08-18 00:00:00",231528.33
"2021-08-19 00:00:00",148195.41
"2021-08-20 00:00:00",263203.03
"2021-08-21 00:00:00",272856.26
"2021-08-22 00:00:00",173360.02
"2021-08-23 00:00:00",184743.25
"2021-08-24 00:00:00",2104172.33
"2021-08-25 00:00:00",410018.04
"2021-08-26 00:00:00",904676.94
"2021-08-27 00:00:00",210158.71
"2021-08-28 00:00:00",139976.7
"2021-08-29 00:00:00",194758.26
"2021-08-30 00:00:00",456870.38
"2021-08-31 00:00:00",136217.84
"2021-09-01 00:00:00",97906.72
"2021-09-02 00:00:00",51522.77
"2021-09-03 00:00:00",21862.42
"2021-09-04 00:00:00",18707.97
"2021-09-05 00:00:00",39263.21
"2021-09-06 00:00:00",40090.53
"2021-09-07 00:00:00",8604.33
"2021-09-08 00:00:00",14218.64
"2021-09-09 00:00:00",14247.86
"2021-09-10 00:00:00",9428.68
"2021-09-11 00:00:00",11353.05
"2021-09-12 00:00:00",9941.02
"2021-09-13 00:00:00",13616.7
"2021-09-14 00:00:00",14989.66
"2021-09-15 00:00:00",8056.57
"2021-09-16 00:00:00",4658.85
"2021-09-17 00:00:00",7568.33
"2021-09-18 00:00:00",5591.36
"2021-09-19 00:00:00",10120.88
"2021-09-20 00:00:00",3857.95
"2021-09-21 00:00:00",8600.97
"2021-09-22 00:00:00",11911.6
"2021-09-23 00:00:00",38502.59
"2021-09-24 00:00:00",21747.24
"2021-09-25 00:00:00",17498.6
"2021-09-26 00:00:00",20443.22
"2021-09-27 00:00:00",20273.77
"2021-09-28 00:00:00",7767.09
"2021-09-29 00:00:00",3268.43
"2021-09-30 00:00:00",6612.63
"2021-10-01 00:00:00",6412
"2021-10-02 00:00:00",5922.58
"2021-10-03 00:00:00",4445.83
"2021-10-04 00:00:00",6080.08
"2021-10-05 00:00:00",3969.06
"2021-10-06 00:00:00",4102.47
"2021-10-07 00:00:00",3033.94
"2021-10-08 00:00:00",44631.2
"2021-10-09 00:00:00",9048.37
"2021-10-10 00:00:00",3681.87
"2021-10-11 00:00:00",3295.3
"2021-10-12 00:00:00",2790.37
"2021-10-13 00:00:00",2292.94
"2021-10-14 00:00:00",1216.22
"2021-10-15 00:00:00",3005.03
"2021-10-16 00:00:00",6225.9
"2021-10-17 00:00:00",4432.71
"2021-10-18 00:00:00",3400.57
"2021-10-19 00:00:00",3341.02
"2021-10-20 00:00:00",2657.91
"2021-10-21 00:00:00",1855.75
"2021-10-22 00:00:00",2249.31
"2021-10-23 00:00:00",418.16
"2021-10-24 00:00:00",1935.23
"2021-10-25 00:00:00",1691.01
"2021-10-26 00:00:00",2678.98
"2021-10-27 00:00:00",917.56
"2021-10-28 00:00:00",334.62
"2021-10-30 00:00:00",620.56
"2021-10-31 00:00:00",282.18
"2021-11-01 00:00:00",299.47
"2021-11-03 00:00:00",343.65
"2021-11-04 00:00:00",902.02
"2021-11-05 00:00:00",2543.82
"2021-11-06 00:00:00",648.97
"2021-11-07 00:00:00",1613.51
"2021-11-08 00:00:00",279.51
"2021-11-09 00:00:00",10094.98
"2021-11-10 00:00:00",222.04
"2021-11-11 00:00:00",1216.41
"2021-11-12 00:00:00",950.42
"2021-11-13 00:00:00",831.92
"2021-11-14 00:00:00",185.59
"2021-11-16 00:00:00",3973.72
"2021-11-17 00:00:00",897.36
"2021-11-18 00:00:00",1173.41
"2021-11-19 00:00:00",1771.66
"2021-11-20 00:00:00",2951.23
"2021-11-23 00:00:00",1044.32
"2021-11-26 00:00:00",1400.7
"2021-11-27 00:00:00",1648.61
"2021-11-28 00:00:00",413.02
"2021-11-29 00:00:00",800.37
"2021-12-01 00:00:00",590.6
"2021-12-02 00:00:00",1105.93
"2021-12-03 00:00:00",542.86
"2021-12-04 00:00:00",866.81
"2021-12-05 00:00:00",257.47
"2021-12-06 00:00:00",1495.61
"2021-12-07 00:00:00",1146.37
"2021-12-08 00:00:00",436.37
"2021-12-09 00:00:00",4080.88
"2021-12-10 00:00:00",615.54
"2021-12-11 00:00:00",303.6
"2021-12-12 00:00:00",1199.04
