"DateTime","Sales (USD)"
"2021-10-14 00:00:00",85279.11
"2021-10-15 00:00:00",102423.85
"2021-10-16 00:00:00",20755.99
"2021-10-17 00:00:00",22918.36
"2021-10-18 00:00:00",21537.79
"2021-10-19 00:00:00",23067.2
"2021-10-20 00:00:00",12004.34
"2021-10-21 00:00:00",10884.49
"2021-10-22 00:00:00",15982.94
"2021-10-23 00:00:00",6015.17
"2021-10-24 00:00:00",7641.89
"2021-10-25 00:00:00",10439.56
"2021-10-26 00:00:00",2311.82
"2021-10-27 00:00:00",1465.11
"2021-10-28 00:00:00",7954.64
"2021-10-29 00:00:00",2321.34
"2021-10-30 00:00:00",1620.64
"2021-10-31 00:00:00",7998.77
"2021-11-01 00:00:00",1041.04
"2021-11-02 00:00:00",5729.95
"2021-11-03 00:00:00",4596.33
"2021-11-04 00:00:00",1804.93
"2021-11-05 00:00:00",823.7
"2021-11-06 00:00:00",3821.76
"2021-11-07 00:00:00",8378.33
"2021-11-08 00:00:00",4413.72
"2021-11-10 00:00:00",3052.79
"2021-11-11 00:00:00",4792.53
"2021-11-12 00:00:00",3940.31
"2021-11-13 00:00:00",7574.04
"2021-11-14 00:00:00",48740.5
"2021-11-15 00:00:00",44492.44
"2021-11-16 00:00:00",63376.01
"2021-11-17 00:00:00",229333.82
"2021-11-18 00:00:00",5130.28
"2021-11-19 00:00:00",2110.28
"2021-11-20 00:00:00",9413.33
"2021-11-21 00:00:00",3571
"2021-11-22 00:00:00",9017.76
"2021-11-23 00:00:00",3454.49
"2021-11-24 00:00:00",886.91
"2021-11-25 00:00:00",3737.08
"2021-11-26 00:00:00",1250.7
"2021-11-27 00:00:00",3522.6
"2021-11-28 00:00:00",2190.81
"2021-11-29 00:00:00",4062.24
"2021-11-30 00:00:00",1858.02
"2021-12-01 00:00:00",7062.6
"2021-12-02 00:00:00",51278.26
"2021-12-03 00:00:00",350207.22
"2021-12-04 00:00:00",151562.04
"2021-12-05 00:00:00",109706.29
"2021-12-06 00:00:00",64646
"2021-12-07 00:00:00",74653.82
"2021-12-08 00:00:00",54091.13
"2021-12-09 00:00:00",49576.05
"2021-12-10 00:00:00",7169.85
"2021-12-11 00:00:00",6710.04
"2021-12-12 00:00:00",1862.36
"2021-12-13 00:00:00",4465.58
"2021-12-14 00:00:00",43127.51
"2021-12-15 00:00:00",15871.26
"2021-12-16 00:00:00",15684.45
"2021-12-17 00:00:00",6513.95
"2021-12-18 00:00:00",11875.42
"2021-12-19 00:00:00",9367.58
"2021-12-20 00:00:00",10974.77
"2021-12-21 00:00:00",10471.8
"2021-12-22 00:00:00",14299.41
"2021-12-23 00:00:00",8151.45
"2021-12-24 00:00:00",8394.52
"2021-12-25 00:00:00",4307.17
"2021-12-26 00:00:00",8960.06
"2021-12-27 00:00:00",3007.1
"2021-12-28 00:00:00",9341.74
"2021-12-29 00:00:00",1977.31
"2021-12-30 00:00:00",3486.29
"2021-12-31 00:00:00",6132.2
"2022-01-01 00:00:00",7860.29
"2022-01-02 00:00:00",6901.48
"2022-01-03 00:00:00",10114.4
"2022-01-04 00:00:00",6121.02
"2022-01-05 00:00:00",2102.81
"2022-01-06 00:00:00",6631.5
"2022-01-07 00:00:00",9782.95
"2022-01-08 00:00:00",15809.19
"2022-01-09 00:00:00",9081.63
"2022-01-10 00:00:00",7826.38
"2022-01-11 00:00:00",6203.45
"2022-01-12 00:00:00",8008
"2022-01-13 00:00:00",5561.42
"2022-01-14 00:00:00",10892.02
"2022-01-15 00:00:00",12369.8
"2022-01-16 00:00:00",21169.8
"2022-01-17 00:00:00",11253.9
"2022-01-18 00:00:00",24939.29
"2022-01-19 00:00:00",17379.19
"2022-01-20 00:00:00",3811.98
"2022-01-21 00:00:00",2293.2
"2022-01-22 00:00:00",1333.29
"2022-01-23 00:00:00",4886.95
"2022-01-24 00:00:00",6538.84
"2022-01-25 00:00:00",15467.35
"2022-01-26 00:00:00",19228.33
"2022-01-27 00:00:00",10027.14
"2022-01-28 00:00:00",20911.6
"2022-01-29 00:00:00",17426.3
"2022-01-30 00:00:00",99650.85
"2022-01-31 00:00:00",60960.78
"2022-02-01 00:00:00",53307.71
"2022-02-02 00:00:00",31245.7
"2022-02-03 00:00:00",56914.78
"2022-02-04 00:00:00",57343.28
"2022-02-05 00:00:00",66976.27
"2022-02-06 00:00:00",67064.67
"2022-02-07 00:00:00",94370.22
"2022-02-08 00:00:00",93079.38
"2022-02-09 00:00:00",95720.25
"2022-02-10 00:00:00",56248.61
"2022-02-11 00:00:00",47717.96
"2022-02-12 00:00:00",375605.53
"2022-02-13 00:00:00",176044.79
"2022-02-14 00:00:00",117624.61
"2022-02-15 00:00:00",91684.09
"2022-02-16 00:00:00",673161.54
"2022-02-17 00:00:00",203586.93
"2022-02-18 00:00:00",139689.98
"2022-02-19 00:00:00",142489.77
"2022-02-20 00:00:00",75265.62
"2022-02-21 00:00:00",74424.56
"2022-02-22 00:00:00",137263.07
"2022-02-23 00:00:00",307995.4
"2022-02-24 00:00:00",306343.6
"2022-02-25 00:00:00",217107.73
"2022-02-26 00:00:00",274787.78
"2022-02-27 00:00:00",102357.78
"2022-02-28 00:00:00",1294993.78
"2022-03-01 00:00:00",518606.25
"2022-03-02 00:00:00",167939.93
