"DateTime","Sales (USD)"
"2021-12-25 00:00:00",79501.03
"2021-12-26 00:00:00",606471.87
"2021-12-27 00:00:00",2836072.28
"2021-12-28 00:00:00",1983777.44
"2021-12-29 00:00:00",4259424.79
"2021-12-30 00:00:00",1372828.71
"2021-12-31 00:00:00",2270241.42
"2022-01-01 00:00:00",922188.99
"2022-01-02 00:00:00",712760.78
"2022-01-03 00:00:00",818287.65
"2022-01-04 00:00:00",5480048.13
"2022-01-05 00:00:00",1781834.02
"2022-01-06 00:00:00",904797.81
"2022-01-07 00:00:00",1089751.55
"2022-01-08 00:00:00",1901051.22
"2022-01-09 00:00:00",957077.63
"2022-01-10 00:00:00",479482.03
"2022-01-11 00:00:00",592994.01
"2022-01-12 00:00:00",396941.37
"2022-01-13 00:00:00",422467.86
"2022-01-14 00:00:00",347968.66
"2022-01-15 00:00:00",327564.08
"2022-01-16 00:00:00",197393.55
"2022-01-17 00:00:00",283404.69
"2022-01-18 00:00:00",233171.65
"2022-01-19 00:00:00",346992.34
"2022-01-20 00:00:00",244027.45
"2022-01-21 00:00:00",236344.12
"2022-01-22 00:00:00",147738.16
"2022-01-23 00:00:00",82773.63
"2022-01-24 00:00:00",184188.75
"2022-01-25 00:00:00",107822.89
"2022-01-26 00:00:00",88930.9
"2022-01-27 00:00:00",68245
"2022-01-28 00:00:00",52256.16
"2022-01-29 00:00:00",365007.73
"2022-01-30 00:00:00",753740.35
"2022-01-31 00:00:00",235634.8
"2022-02-01 00:00:00",127075.18
"2022-02-02 00:00:00",136396.77
"2022-02-03 00:00:00",777739.59
"2022-02-04 00:00:00",277234.97
"2022-02-05 00:00:00",320712.16
"2022-02-06 00:00:00",117356.21
"2022-02-07 00:00:00",84427.05
"2022-02-08 00:00:00",153770.89
"2022-02-09 00:00:00",120274.34
"2022-02-10 00:00:00",153456.09
"2022-02-11 00:00:00",178891.08
"2022-02-12 00:00:00",44345.66
"2022-02-13 00:00:00",67563.03
"2022-02-14 00:00:00",39771.17
"2022-02-15 00:00:00",67141.28
"2022-02-16 00:00:00",55273.91
"2022-02-17 00:00:00",81400.75
"2022-02-18 00:00:00",32804
"2022-02-19 00:00:00",22395.26
"2022-02-20 00:00:00",28761.87
"2022-02-21 00:00:00",26250.63
"2022-02-22 00:00:00",68201.56
"2022-02-23 00:00:00",28612.14
"2022-02-24 00:00:00",66404.5
"2022-02-25 00:00:00",28778.43
"2022-02-26 00:00:00",25379.08
"2022-02-27 00:00:00",42858.55
"2022-02-28 00:00:00",24816.09
"2022-03-01 00:00:00",81220.89
"2022-03-02 00:00:00",2049.54
