"DateTime","Sales (USD)"
"2021-09-30 00:00:00",2880290.46
"2021-10-01 00:00:00",1133473.65
"2021-10-02 00:00:00",344826.41
"2021-10-03 00:00:00",309929.22
"2021-10-04 00:00:00",252578.06
"2021-10-05 00:00:00",146440.53
"2021-10-06 00:00:00",114940.83
"2021-10-07 00:00:00",166343
"2021-10-08 00:00:00",436229.29
"2021-10-09 00:00:00",232107.26
"2021-10-10 00:00:00",124800.97
"2021-10-11 00:00:00",42017.53
"2021-10-12 00:00:00",49731.02
"2021-10-13 00:00:00",38321.58
"2021-10-14 00:00:00",60503.98
"2021-10-15 00:00:00",42531.29
"2021-10-16 00:00:00",28193.5
"2021-10-17 00:00:00",67003.63
"2021-10-18 00:00:00",47712.05
"2021-10-19 00:00:00",39281.75
"2021-10-20 00:00:00",34413.22
"2021-10-21 00:00:00",126366.74
"2021-10-22 00:00:00",73334.37
"2021-10-23 00:00:00",57977.42
"2021-10-24 00:00:00",34132.06
"2021-10-25 00:00:00",20542.53
"2021-10-26 00:00:00",40342.59
"2021-10-27 00:00:00",35049.15
"2021-10-28 00:00:00",14378.95
"2021-10-29 00:00:00",26041.53
"2021-10-30 00:00:00",61389.82
"2021-10-31 00:00:00",9276.49
"2021-11-01 00:00:00",14585.87
"2021-11-02 00:00:00",5572.71
"2021-11-03 00:00:00",17204.27
"2021-11-04 00:00:00",21666.21
"2021-11-05 00:00:00",16297.36
"2021-11-06 00:00:00",8866.18
"2021-11-07 00:00:00",2725.38
"2021-11-08 00:00:00",2121.39
"2021-11-09 00:00:00",10959.89
"2021-11-10 00:00:00",4248.36
"2021-11-11 00:00:00",4430.49
"2021-11-12 00:00:00",5231.19
"2021-11-13 00:00:00",43825.71
"2021-11-14 00:00:00",25534.74
"2021-11-15 00:00:00",40097.15
"2021-11-16 00:00:00",12735.74
"2021-11-17 00:00:00",16587.99
"2021-11-18 00:00:00",18109.06
"2021-11-19 00:00:00",10553.6
"2021-11-20 00:00:00",2654.44
"2021-11-21 00:00:00",2201.39
"2021-11-22 00:00:00",17942.5
"2021-11-23 00:00:00",7637.99
"2021-11-24 00:00:00",10015.41
"2021-11-25 00:00:00",6821.71
"2021-11-26 00:00:00",5031.28
"2021-11-27 00:00:00",7575.87
"2021-11-28 00:00:00",19749
"2021-11-29 00:00:00",7963.24
"2021-11-30 00:00:00",51344.13
"2021-12-01 00:00:00",65782.76
"2021-12-02 00:00:00",24071.81
"2021-12-03 00:00:00",2482.22
"2021-12-04 00:00:00",4950.01
"2021-12-05 00:00:00",10039.35
"2021-12-06 00:00:00",3757.72
"2021-12-07 00:00:00",5617.75
"2021-12-08 00:00:00",6558.67
"2021-12-09 00:00:00",6406.65
"2021-12-10 00:00:00",3453.17
"2021-12-11 00:00:00",8120.27
"2021-12-12 00:00:00",3635.2
"2021-12-13 00:00:00",1629.18
"2021-12-14 00:00:00",1976.37
"2021-12-15 00:00:00",3903.45
"2021-12-16 00:00:00",5082.37
"2021-12-17 00:00:00",1227.92
"2021-12-18 00:00:00",12511.54
"2021-12-19 00:00:00",4503.85
"2021-12-20 00:00:00",6349.72
"2021-12-21 00:00:00",17283.95
"2021-12-22 00:00:00",1343.88
"2021-12-23 00:00:00",5401.62
"2021-12-24 00:00:00",3398.63
"2021-12-25 00:00:00",5164.55
"2021-12-26 00:00:00",3422.33
"2021-12-27 00:00:00",4463.3
"2021-12-28 00:00:00",3244.85
"2021-12-29 00:00:00",5855.37
"2021-12-30 00:00:00",12698.56
"2021-12-31 00:00:00",552992.92
"2022-01-01 00:00:00",179041.48
"2022-01-02 00:00:00",66669.09
"2022-01-03 00:00:00",34389.79
"2022-01-04 00:00:00",20508.09
"2022-01-05 00:00:00",106854.97
"2022-01-06 00:00:00",76714.75
"2022-01-07 00:00:00",47889.02
"2022-01-08 00:00:00",34505.78
"2022-01-09 00:00:00",55397.43
"2022-01-10 00:00:00",39396.31
"2022-01-11 00:00:00",23439.38
"2022-01-12 00:00:00",56015.73
"2022-01-13 00:00:00",57684.47
"2022-01-14 00:00:00",36013.56
"2022-01-15 00:00:00",40935.24
"2022-01-16 00:00:00",21501.57
"2022-01-17 00:00:00",18654.15
"2022-01-18 00:00:00",17978.86
"2022-01-19 00:00:00",13350.48
"2022-01-20 00:00:00",15712.39
"2022-01-21 00:00:00",22898.24
"2022-01-22 00:00:00",10246.84
"2022-01-23 00:00:00",14390.12
"2022-01-24 00:00:00",10092.6
"2022-01-25 00:00:00",7963.6
"2022-01-26 00:00:00",7418.2
"2022-01-27 00:00:00",6735.53
"2022-01-28 00:00:00",8570.78
"2022-01-29 00:00:00",6800.6
"2022-01-30 00:00:00",6378.23
"2022-01-31 00:00:00",11039.36
"2022-02-01 00:00:00",6143.98
"2022-02-02 00:00:00",7345.79
"2022-02-03 00:00:00",13441.1
"2022-02-04 00:00:00",15888.97
"2022-02-05 00:00:00",14170.71
"2022-02-06 00:00:00",6875.42
"2022-02-07 00:00:00",8342.88
"2022-02-08 00:00:00",8684.37
"2022-02-09 00:00:00",10670.74
"2022-02-10 00:00:00",7184
"2022-02-11 00:00:00",13620.03
"2022-02-12 00:00:00",5802.03
"2022-02-13 00:00:00",6922.78
"2022-02-14 00:00:00",6180.19
"2022-02-15 00:00:00",4755.38
"2022-02-16 00:00:00",6498.76
"2022-02-17 00:00:00",3709.72
"2022-02-18 00:00:00",4376.89
"2022-02-19 00:00:00",4896.24
"2022-02-20 00:00:00",10174.4
"2022-02-21 00:00:00",6625.94
"2022-02-22 00:00:00",2012.01
"2022-02-23 00:00:00",3282.84
"2022-02-24 00:00:00",4686.54
"2022-02-25 00:00:00",1598.49
"2022-02-26 00:00:00",11710.17
"2022-02-27 00:00:00",3915.11
"2022-02-28 00:00:00",2498.04
"2022-03-01 00:00:00",5214.53
