"DateTime","Sales (USD)"
"2021-08-06 00:00:00",355242.67
"2021-08-07 00:00:00",471956.78
"2021-08-08 00:00:00",437676.88
"2021-08-09 00:00:00",759399.92
"2021-08-10 00:00:00",607976
"2021-08-11 00:00:00",257139.06
"2021-08-12 00:00:00",283630.11
"2021-08-13 00:00:00",416891.57
"2021-08-14 00:00:00",295489.97
"2021-08-15 00:00:00",134382.6
"2021-08-16 00:00:00",114170.58
"2021-08-17 00:00:00",60713.46
"2021-08-18 00:00:00",61752.45
"2021-08-19 00:00:00",67719.97
"2021-08-20 00:00:00",70670.5
"2021-08-21 00:00:00",57807.18
"2021-08-22 00:00:00",89025.9
"2021-08-23 00:00:00",182639.78
"2021-08-24 00:00:00",262848.07
"2021-08-25 00:00:00",374976.9
"2021-08-26 00:00:00",578022.12
"2021-08-27 00:00:00",976117.13
"2021-08-28 00:00:00",1825050.92
"2021-08-29 00:00:00",2420310.62
"2021-08-30 00:00:00",1419243.16
"2021-08-31 00:00:00",726210.49
"2021-09-01 00:00:00",850323.57
"2021-09-02 00:00:00",571061.82
"2021-09-03 00:00:00",605515.02
"2021-09-04 00:00:00",481733.4
"2021-09-05 00:00:00",385999.24
"2021-09-06 00:00:00",634002.07
"2021-09-07 00:00:00",327470.77
"2021-09-08 00:00:00",267917.63
"2021-09-09 00:00:00",278654.73
"2021-09-10 00:00:00",231312.9
"2021-09-11 00:00:00",171795.32
"2021-09-12 00:00:00",288900.9
"2021-09-13 00:00:00",604521.36
"2021-09-14 00:00:00",626655.28
"2021-09-15 00:00:00",613265.42
"2021-09-16 00:00:00",718899.37
"2021-09-17 00:00:00",1629504.65
"2021-09-18 00:00:00",3223418.32
"2021-09-19 00:00:00",1364568.98
"2021-09-20 00:00:00",720697.31
"2021-09-21 00:00:00",718458.63
"2021-09-22 00:00:00",1063902.37
"2021-09-23 00:00:00",1785998.45
"2021-09-24 00:00:00",2996214.79
"2021-09-25 00:00:00",2927087.29
"2021-09-26 00:00:00",958115.75
"2021-09-27 00:00:00",935188.32
"2021-09-28 00:00:00",820576.1
"2021-09-29 00:00:00",577374.28
"2021-09-30 00:00:00",702341.19
"2021-10-01 00:00:00",1467713.39
"2021-10-02 00:00:00",666720.29
"2021-10-03 00:00:00",808133.18
"2021-10-04 00:00:00",838644.62
"2021-10-05 00:00:00",776652.88
"2021-10-06 00:00:00",426242.41
"2021-10-07 00:00:00",506914.11
"2021-10-08 00:00:00",377278.17
"2021-10-09 00:00:00",485420.84
"2021-10-10 00:00:00",348799.79
"2021-10-11 00:00:00",488953.72
"2021-10-12 00:00:00",333403.98
"2021-10-13 00:00:00",479515.58
"2021-10-14 00:00:00",449024.08
"2021-10-15 00:00:00",502698.8
"2021-10-16 00:00:00",233923
"2021-10-17 00:00:00",247703.5
"2021-10-18 00:00:00",373404.15
"2021-10-19 00:00:00",385466.07
"2021-10-20 00:00:00",243081.7
"2021-10-21 00:00:00",396818.59
"2021-10-22 00:00:00",669180.21
"2021-10-23 00:00:00",385480.16
"2021-10-24 00:00:00",196392.87
"2021-10-25 00:00:00",167770.3
"2021-10-26 00:00:00",305592.56
"2021-10-27 00:00:00",290352.52
"2021-10-28 00:00:00",293540.46
"2021-10-29 00:00:00",213454.49
"2021-10-30 00:00:00",133529.61
"2021-10-31 00:00:00",219873.38
"2021-11-01 00:00:00",277739.73
"2021-11-02 00:00:00",389845.49
"2021-11-03 00:00:00",305006.13
"2021-11-04 00:00:00",218738.06
"2021-11-05 00:00:00",203281.49
"2021-11-06 00:00:00",241738.79
"2021-11-07 00:00:00",231795.22
"2021-11-08 00:00:00",235289.13
"2021-11-09 00:00:00",160641.09
"2021-11-10 00:00:00",210514.95
"2021-11-11 00:00:00",205048.68
