"DateTime","Sales (USD)"
"2022-01-16 00:00:00",17271132.04
"2022-01-17 00:00:00",5057268.87
"2022-01-18 00:00:00",1863606.48
"2022-01-19 00:00:00",1976331.05
"2022-01-20 00:00:00",1576017.15
"2022-01-21 00:00:00",2265736.17
"2022-01-22 00:00:00",1363891.93
"2022-01-23 00:00:00",7338201.71
"2022-01-24 00:00:00",2290119.28
"2022-01-25 00:00:00",1058367.84
"2022-01-26 00:00:00",852249.27
"2022-01-27 00:00:00",759401.68
"2022-01-28 00:00:00",409103.09
"2022-01-29 00:00:00",401917.61
"2022-01-30 00:00:00",233053.77
"2022-01-31 00:00:00",546927.15
"2022-02-01 00:00:00",483132.79
"2022-02-02 00:00:00",531869.94
"2022-02-03 00:00:00",185207.98
"2022-02-04 00:00:00",237414.35
"2022-02-05 00:00:00",392193.11
"2022-02-06 00:00:00",149619.6
"2022-02-07 00:00:00",139190.11
"2022-02-08 00:00:00",222108.5
"2022-02-09 00:00:00",69662.86
"2022-02-10 00:00:00",62713.39
"2022-02-11 00:00:00",124174.01
"2022-02-12 00:00:00",104434.19
"2022-02-13 00:00:00",47826.33
"2022-02-14 00:00:00",95673.65
"2022-02-15 00:00:00",44497.75
"2022-02-16 00:00:00",52317.29
"2022-02-17 00:00:00",54037.97
"2022-02-18 00:00:00",131639.29
"2022-02-19 00:00:00",250999.14
"2022-02-20 00:00:00",284059.8
"2022-02-21 00:00:00",400458.01
"2022-02-22 00:00:00",264642.1
"2022-02-23 00:00:00",103175.99
"2022-02-24 00:00:00",42862.37
"2022-02-25 00:00:00",150786.18
"2022-02-26 00:00:00",59441.43
"2022-02-27 00:00:00",79036.01
"2022-02-28 00:00:00",37787.49
"2022-03-01 00:00:00",32123.16
"2022-03-02 00:00:00",0
