"DateTime","Sales (USD)"
"2021-08-27 00:00:00",219743.01
"2021-08-28 00:00:00",224254.51
"2021-08-29 00:00:00",1649298.39
"2021-08-30 00:00:00",4429916.52
"2021-08-31 00:00:00",20528679.35
"2021-09-01 00:00:00",25163288.02
"2021-09-02 00:00:00",60498548.99
"2021-09-03 00:00:00",47370395.86
"2021-09-04 00:00:00",24437393.43
"2021-09-05 00:00:00",22946736.56
"2021-09-06 00:00:00",10778174.21
"2021-09-07 00:00:00",5678617.6
"2021-09-08 00:00:00",3837317.51
"2021-09-09 00:00:00",4558833.62
"2021-09-10 00:00:00",2023945.11
"2021-09-11 00:00:00",1454993.46
"2021-09-12 00:00:00",1789290.09
"2021-09-13 00:00:00",1139567.61
"2021-09-14 00:00:00",766226.73
"2021-09-15 00:00:00",1142473.81
"2021-09-16 00:00:00",1121961.88
"2021-09-17 00:00:00",538017.09
"2021-09-18 00:00:00",402692.96
"2021-09-19 00:00:00",549030.19
"2021-09-20 00:00:00",543190.84
"2021-09-21 00:00:00",298117.14
"2021-09-22 00:00:00",443312.97
"2021-09-23 00:00:00",1426373.71
"2021-09-24 00:00:00",515199.53
"2021-09-25 00:00:00",263231.6
"2021-09-26 00:00:00",446416.94
"2021-09-27 00:00:00",492270.41
"2021-09-28 00:00:00",657913.98
"2021-09-29 00:00:00",489279.71
"2021-09-30 00:00:00",351525.01
"2021-10-01 00:00:00",446204.71
"2021-10-02 00:00:00",998781.88
"2021-10-03 00:00:00",1892358.61
"2021-10-04 00:00:00",990913.35
"2021-10-05 00:00:00",637742.88
"2021-10-06 00:00:00",442807.95
"2021-10-07 00:00:00",175033.94
"2021-10-08 00:00:00",751454.09
"2021-10-09 00:00:00",325666.8
"2021-10-10 00:00:00",221799.45
"2021-10-11 00:00:00",416024.57
"2021-10-12 00:00:00",558418.32
"2021-10-13 00:00:00",234107.8
"2021-10-14 00:00:00",176508.16
"2021-10-15 00:00:00",246845.78
"2021-10-16 00:00:00",145822.48
"2021-10-17 00:00:00",133338.5
"2021-10-18 00:00:00",320789.64
"2021-10-19 00:00:00",191955.14
"2021-10-20 00:00:00",184490.01
"2021-10-21 00:00:00",353301.49
"2021-10-22 00:00:00",241611.53
"2021-10-23 00:00:00",30357.2
"2021-10-24 00:00:00",261659.18
"2021-10-25 00:00:00",230078.6
"2021-10-26 00:00:00",150886.49
"2021-10-27 00:00:00",454260.06
"2021-10-28 00:00:00",99046.27
"2021-10-29 00:00:00",320838.97
"2021-10-30 00:00:00",278021.3
"2021-10-31 00:00:00",156712.81
"2021-11-01 00:00:00",77614.84
"2021-11-02 00:00:00",159053.27
"2021-11-03 00:00:00",210396.09
"2021-11-04 00:00:00",208661.28
"2021-11-05 00:00:00",70193.78
"2021-11-06 00:00:00",205806.35
"2021-11-07 00:00:00",116810.97
"2021-11-08 00:00:00",187182.95
"2021-11-09 00:00:00",128021.37
"2021-11-10 00:00:00",68953.82
"2021-11-11 00:00:00",132930.09
"2021-11-12 00:00:00",205353.2
"2021-11-13 00:00:00",127648.54
"2021-11-14 00:00:00",120747.73
"2021-11-15 00:00:00",129109
"2021-11-16 00:00:00",69532.65
"2021-11-17 00:00:00",158110.48
"2021-11-18 00:00:00",109788.6
"2021-11-19 00:00:00",278285.65
"2021-11-20 00:00:00",88991.52
"2021-11-21 00:00:00",73427.16
"2021-11-22 00:00:00",169937.43
"2021-11-23 00:00:00",111799.73
"2021-11-24 00:00:00",153363.72
"2021-11-25 00:00:00",239649.56
"2021-11-26 00:00:00",152199.42
"2021-11-27 00:00:00",153475.59
"2021-11-28 00:00:00",435554.17
"2021-11-29 00:00:00",120173.18
"2021-11-30 00:00:00",131985.96
"2021-12-01 00:00:00",205318.97
"2021-12-02 00:00:00",147887.33
"2021-12-03 00:00:00",44490.43
"2021-12-04 00:00:00",158550.29
"2021-12-05 00:00:00",75491.99
"2021-12-06 00:00:00",267286.05
"2021-12-07 00:00:00",134338.71
"2021-12-08 00:00:00",41213.61
"2021-12-09 00:00:00",1057068.1
"2021-12-10 00:00:00",174996.35
"2021-12-11 00:00:00",119935.67
"2021-12-12 00:00:00",24570.53
"2021-12-13 00:00:00",29305.59
"2021-12-14 00:00:00",54199.72
"2021-12-15 00:00:00",63906.14
"2021-12-16 00:00:00",109739.49
"2021-12-17 00:00:00",75137.25
"2021-12-18 00:00:00",60420.06
"2021-12-19 00:00:00",28210.84
"2021-12-20 00:00:00",31536.58
"2021-12-21 00:00:00",335867.13
"2021-12-22 00:00:00",36152.54
"2021-12-23 00:00:00",180165.11
"2021-12-24 00:00:00",41060.52
"2021-12-25 00:00:00",34574.96
"2021-12-26 00:00:00",98178.14
"2021-12-27 00:00:00",385042.97
"2021-12-28 00:00:00",49257.45
"2021-12-29 00:00:00",81367.46
"2021-12-30 00:00:00",59160.73
"2021-12-31 00:00:00",121817.72
"2022-01-01 00:00:00",82585.29
"2022-01-02 00:00:00",106643.59
"2022-01-03 00:00:00",97753.76
"2022-01-04 00:00:00",118814.01
"2022-01-05 00:00:00",95852.75
"2022-01-06 00:00:00",38325.4
"2022-01-07 00:00:00",207728.36
"2022-01-08 00:00:00",92686.39
"2022-01-09 00:00:00",59895.34
"2022-01-10 00:00:00",45711.33
"2022-01-11 00:00:00",2612080.86
"2022-01-12 00:00:00",370046.09
"2022-01-13 00:00:00",288326.96
"2022-01-14 00:00:00",361810.41
"2022-01-15 00:00:00",195688.11
"2022-01-16 00:00:00",192596.44
"2022-01-17 00:00:00",73485.07
"2022-01-18 00:00:00",30867.41
"2022-01-19 00:00:00",320441.97
"2022-01-20 00:00:00",80640.03
"2022-01-21 00:00:00",62435.92
"2022-01-22 00:00:00",4691.53
"2022-01-23 00:00:00",53490.67
"2022-01-24 00:00:00",28710.79
"2022-01-25 00:00:00",44335.26
"2022-01-26 00:00:00",114893.74
"2022-01-27 00:00:00",27644.57
"2022-01-28 00:00:00",14041.38
"2022-01-29 00:00:00",41226.29
"2022-01-30 00:00:00",139332.07
"2022-01-31 00:00:00",40499.64
"2022-02-01 00:00:00",17558.41
"2022-02-02 00:00:00",16574.3
"2022-02-03 00:00:00",47962.41
"2022-02-04 00:00:00",48171.29
"2022-02-05 00:00:00",62806.04
"2022-02-06 00:00:00",80741.71
"2022-02-07 00:00:00",86662.69
"2022-02-08 00:00:00",32710.73
"2022-02-09 00:00:00",89590.69
"2022-02-10 00:00:00",27213.56
"2022-02-11 00:00:00",83188.16
"2022-02-12 00:00:00",45807.56
"2022-02-13 00:00:00",61501.21
"2022-02-14 00:00:00",98759.76
"2022-02-15 00:00:00",48025.38
"2022-02-16 00:00:00",78108.84
"2022-02-17 00:00:00",19265.92
"2022-02-18 00:00:00",25928.27
"2022-02-19 00:00:00",84222.91
"2022-02-21 00:00:00",226383.54
"2022-02-22 00:00:00",40829.33
"2022-02-23 00:00:00",44223.76
"2022-02-24 00:00:00",191388.85
"2022-02-25 00:00:00",27473.51
"2022-02-26 00:00:00",40415.65
"2022-02-27 00:00:00",23122.94
"2022-02-28 00:00:00",40257.29
"2022-03-01 00:00:00",11704.66
"2022-03-02 00:00:00",0
