"DateTime","Sales (USD)"
"2021-10-07 00:00:00",45269668.37
"2021-10-08 00:00:00",13813209.86
"2021-10-09 00:00:00",12408878.95
"2021-10-10 00:00:00",5052304.19
"2021-10-11 00:00:00",4978225.03
"2021-10-12 00:00:00",7520362.16
"2021-10-13 00:00:00",29021724.94
"2021-10-14 00:00:00",9001423.91
"2021-10-15 00:00:00",4813591.35
"2021-10-16 00:00:00",3368398.08
"2021-10-17 00:00:00",2172255.58
"2021-10-18 00:00:00",2295928.89
"2021-10-19 00:00:00",1611728.94
"2021-10-20 00:00:00",1265978.23
"2021-10-21 00:00:00",684189.82
"2021-10-22 00:00:00",755387.61
"2021-10-23 00:00:00",607931.52
"2021-10-24 00:00:00",388992.18
"2021-10-25 00:00:00",551972.61
"2021-10-26 00:00:00",675149.29
"2021-10-27 00:00:00",498030.14
"2021-10-28 00:00:00",378576.37
"2021-10-29 00:00:00",394489.24
"2021-10-30 00:00:00",491750.92
"2021-10-31 00:00:00",448024.2
"2021-11-01 00:00:00",327592.56
"2021-11-02 00:00:00",302929.31
"2021-11-03 00:00:00",569614.44
"2021-11-04 00:00:00",414033.26
"2021-11-05 00:00:00",264278.98
"2021-11-06 00:00:00",141452.15
"2021-11-07 00:00:00",173412.64
"2021-11-08 00:00:00",271428.11
"2021-11-09 00:00:00",147339.54
"2021-11-10 00:00:00",247544.26
"2021-11-11 00:00:00",234052.78
"2021-11-12 00:00:00",1099305.6
"2021-11-13 00:00:00",2221638.14
"2021-11-14 00:00:00",720586.24
"2021-11-15 00:00:00",472743.88
"2021-11-16 00:00:00",331938.99
"2021-11-17 00:00:00",305546.75
"2021-11-18 00:00:00",190001.94
"2021-11-19 00:00:00",220673.45
"2021-11-20 00:00:00",154473.11
"2021-11-21 00:00:00",138813.32
"2021-11-22 00:00:00",194238.21
"2021-11-23 00:00:00",102509.85
"2021-11-24 00:00:00",86075.83
"2021-11-25 00:00:00",187802.57
"2021-11-26 00:00:00",89791.87
"2021-11-27 00:00:00",127316.98
"2021-11-28 00:00:00",199587.07
"2021-11-29 00:00:00",109745.23
"2021-11-30 00:00:00",104685.04
"2021-12-01 00:00:00",248524.35
"2021-12-02 00:00:00",165692.73
"2021-12-03 00:00:00",144531.13
"2021-12-04 00:00:00",123809.64
"2021-12-05 00:00:00",121978.79
"2021-12-06 00:00:00",98509.62
"2021-12-07 00:00:00",183576.92
"2021-12-08 00:00:00",67941.98
