"DateTime","Sales (USD)"
"2021-08-31 00:00:00",21010334.36
"2021-09-01 00:00:00",9917986.96
"2021-09-02 00:00:00",4253779.07
"2021-09-03 00:00:00",2515611.63
"2021-09-04 00:00:00",1930550.66
"2021-09-05 00:00:00",1128559.44
"2021-09-06 00:00:00",1810407.49
"2021-09-07 00:00:00",2419541.73
"2021-09-08 00:00:00",1589538.17
"2021-09-09 00:00:00",721823.18
"2021-09-10 00:00:00",565559.11
"2021-09-11 00:00:00",582263.79
"2021-09-12 00:00:00",413937.98
"2021-09-13 00:00:00",382270.67
"2021-09-14 00:00:00",75132.02
"2021-09-15 00:00:00",208648.55
"2021-09-16 00:00:00",612944.54
"2021-09-17 00:00:00",204107.45
"2021-09-18 00:00:00",277534.05
"2021-09-19 00:00:00",171331.98
"2021-09-20 00:00:00",216308.27
"2021-09-21 00:00:00",171423.07
"2021-09-22 00:00:00",380240.29
"2021-09-23 00:00:00",250395.96
"2021-09-24 00:00:00",122940.38
"2021-09-25 00:00:00",180046.83
"2021-09-26 00:00:00",124977.59
"2021-09-27 00:00:00",372569.19
"2021-09-28 00:00:00",293367.54
"2021-09-29 00:00:00",322594.95
"2021-09-30 00:00:00",778394.04
"2021-10-01 00:00:00",1423754.92
"2021-10-02 00:00:00",2099605.27
"2021-10-03 00:00:00",3703631.92
"2021-10-04 00:00:00",1578250.16
"2021-10-05 00:00:00",468255.79
"2021-10-06 00:00:00",583687.55
"2021-10-07 00:00:00",312958.91
"2021-10-08 00:00:00",353772.48
"2021-10-09 00:00:00",271246.43
"2021-10-10 00:00:00",153375.26
"2021-10-11 00:00:00",1013990.46
"2021-10-12 00:00:00",202691.35
"2021-10-13 00:00:00",128770.79
"2021-10-14 00:00:00",135249.65
"2021-10-15 00:00:00",290964.71
"2021-10-16 00:00:00",339874.46
"2021-10-17 00:00:00",323634.12
"2021-10-18 00:00:00",80180.08
"2021-10-19 00:00:00",229189.44
"2021-10-20 00:00:00",339480.78
"2021-10-21 00:00:00",260385.14
"2021-10-22 00:00:00",208772.33
"2021-10-23 00:00:00",161422.66
"2021-10-24 00:00:00",543768.98
"2021-10-25 00:00:00",164990.58
"2021-10-26 00:00:00",96609.25
"2021-10-27 00:00:00",78244.64
"2021-10-28 00:00:00",153697.06
"2021-10-29 00:00:00",75918.83
"2021-10-30 00:00:00",103230.05
"2021-10-31 00:00:00",89544.68
"2021-11-01 00:00:00",136099.36
"2021-11-02 00:00:00",99913.53
