"DateTime","Sales (USD)"
"2019-04-08 00:00:00",1402.49
"2019-04-09 00:00:00",3070.47
"2019-04-10 00:00:00",628.22
"2019-04-11 00:00:00",314.55
"2019-04-14 00:00:00",3118.32
"2019-04-30 00:00:00",246.47
"2019-05-02 00:00:00",208.15
"2019-05-04 00:00:00",491.32
"2019-05-06 00:00:00",258.1
"2019-05-07 00:00:00",135.65
"2019-05-09 00:00:00",136.2
"2019-05-14 00:00:00",543.35
"2019-05-18 00:00:00",422.71
"2019-05-20 00:00:00",201.93
"2019-05-21 00:00:00",513.64
"2019-05-22 00:00:00",339.93
"2019-05-23 00:00:00",1792.18
"2019-06-01 00:00:00",530.28
"2019-06-03 00:00:00",3765.87
"2019-06-06 00:00:00",319.26
"2019-06-08 00:00:00",2495.19
"2019-06-11 00:00:00",1401.07
"2019-06-13 00:00:00",1622.79
"2019-06-29 00:00:00",955.59
"2019-07-17 00:00:00",210.93
"2019-07-26 00:00:00",214.91
"2019-07-30 00:00:00",231.03
"2019-08-01 00:00:00",239.09
"2019-08-02 00:00:00",648.65
"2019-08-20 00:00:00",295.08
"2019-09-07 00:00:00",178.29
"2019-09-18 00:00:00",537.34
"2019-10-14 00:00:00",152.95
"2019-10-24 00:00:00",143.31
"2019-10-30 00:00:00",183.28
"2019-10-31 00:00:00",1988.53
"2019-11-04 00:00:00",184.17
"2019-11-06 00:00:00",371.67
"2019-11-07 00:00:00",803.11
"2019-11-13 00:00:00",84.62
"2019-11-16 00:00:00",1731.73
"2019-12-24 00:00:00",460.81
"2020-01-05 00:00:00",371.2
"2020-01-17 00:00:00",4275.86
"2020-01-27 00:00:00",322.88
"2020-02-05 00:00:00",455.38
"2020-02-09 00:00:00",285.58
"2020-02-12 00:00:00",1013.27
"2020-02-15 00:00:00",397.55
"2020-02-16 00:00:00",652.82
"2020-02-28 00:00:00",731.76
"2020-03-29 00:00:00",225.32
"2020-04-06 00:00:00",368.05
"2020-05-07 00:00:00",298.19
"2020-05-08 00:00:00",213.11
"2020-05-15 00:00:00",390.24
"2020-05-23 00:00:00",303.56
"2020-05-28 00:00:00",329.07
"2020-05-29 00:00:00",331.18
"2020-06-07 00:00:00",784.56
"2020-07-14 00:00:00",601.6
"2020-07-30 00:00:00",470.35
"2020-08-07 00:00:00",589.51
"2020-08-26 00:00:00",618.15
"2020-08-30 00:00:00",2783.28
"2020-08-31 00:00:00",610.53
"2020-09-02 00:00:00",750.06
"2020-09-03 00:00:00",1300.21
