"DateTime","Sales (USD)"
"2020-02-07 00:00:00",22308.51
"2020-02-08 00:00:00",6104.64
"2020-02-09 00:00:00",6073.05
"2020-02-10 00:00:00",5885.79
"2020-02-11 00:00:00",1917.59
"2020-02-12 00:00:00",6052.94
"2020-02-13 00:00:00",2277.49
"2020-02-14 00:00:00",1394.08
"2020-02-15 00:00:00",795.1
"2020-02-16 00:00:00",966.18
"2020-02-17 00:00:00",799.82
"2020-02-18 00:00:00",1566.46
"2020-02-19 00:00:00",3855.36
"2020-02-20 00:00:00",1113.41
"2020-02-21 00:00:00",3986.8
"2020-02-22 00:00:00",8168.3
"2020-02-23 00:00:00",6187.04
"2020-02-24 00:00:00",5703.72
"2020-02-25 00:00:00",4851.44
"2020-02-26 00:00:00",774.17
"2020-02-27 00:00:00",2620.57
"2020-02-28 00:00:00",1294.29
"2020-02-29 00:00:00",1311.74
"2020-03-01 00:00:00",2194.33
"2020-03-02 00:00:00",2284.3
"2020-03-03 00:00:00",1188.44
"2020-03-04 00:00:00",1636.47
"2020-03-05 00:00:00",3531.97
"2020-03-06 00:00:00",720.77
"2020-03-07 00:00:00",12395.72
"2020-03-08 00:00:00",800.6
"2020-03-24 00:00:00",446.13
"2020-03-27 00:00:00",795.41
"2020-04-01 00:00:00",2189.1
"2020-04-03 00:00:00",566.91
"2020-04-17 00:00:00",912.83
"2020-04-20 00:00:00",290.72
"2020-04-21 00:00:00",3780.48
"2020-04-22 00:00:00",4444.95
"2020-04-23 00:00:00",5714.19
"2020-04-24 00:00:00",802.12
"2020-04-25 00:00:00",583.28
"2020-04-27 00:00:00",91.65
"2020-04-28 00:00:00",1901.03
"2020-04-29 00:00:00",694.59
"2020-04-30 00:00:00",413.77
"2020-05-01 00:00:00",208.38
"2020-05-02 00:00:00",377.99
"2020-05-03 00:00:00",2962.28
"2020-05-04 00:00:00",318.72
"2020-05-05 00:00:00",102.44
"2020-05-06 00:00:00",186.52
"2020-05-07 00:00:00",956.76
"2020-05-08 00:00:00",933.98
"2020-05-09 00:00:00",334.08
"2020-05-10 00:00:00",542.41
"2020-05-11 00:00:00",312
"2020-05-12 00:00:00",271.44
"2020-05-13 00:00:00",1842.75
"2020-05-14 00:00:00",90.37
"2020-05-15 00:00:00",14.63
"2020-05-16 00:00:00",15.06
"2020-05-17 00:00:00",239.63
"2020-05-18 00:00:00",186.19
"2020-05-20 00:00:00",448.98
"2020-05-21 00:00:00",65.64
"2020-05-23 00:00:00",166.1
"2020-05-24 00:00:00",8772.3
"2020-05-25 00:00:00",336.06
"2020-05-26 00:00:00",482.99
"2020-05-27 00:00:00",3008.72
"2020-05-28 00:00:00",222.47
"2020-05-30 00:00:00",37.68
"2020-06-01 00:00:00",41.1
"2020-06-02 00:00:00",118.59
"2020-06-03 00:00:00",101.06
"2020-06-04 00:00:00",125.48
"2020-06-05 00:00:00",237.91
"2020-06-06 00:00:00",174.25
"2020-06-08 00:00:00",21.99
"2020-06-09 00:00:00",68.41
"2020-06-10 00:00:00",627.83
"2020-06-12 00:00:00",1304.39
"2020-06-13 00:00:00",3137.7
"2020-06-14 00:00:00",4434.41
"2020-06-15 00:00:00",3584.72
"2020-06-16 00:00:00",3025.09
"2020-06-17 00:00:00",1927.67
"2020-06-18 00:00:00",537.84
"2020-06-19 00:00:00",1000.7
"2020-06-20 00:00:00",414.22
"2020-06-21 00:00:00",595.57
"2020-06-22 00:00:00",445.07
"2020-06-23 00:00:00",612.16
"2020-06-24 00:00:00",1312.32
"2020-06-25 00:00:00",13.95
"2020-06-26 00:00:00",19.86
"2020-06-27 00:00:00",41.45
"2020-06-28 00:00:00",22.44
"2020-06-29 00:00:00",510.77
"2020-07-01 00:00:00",129.44
"2020-07-04 00:00:00",512.66
"2020-07-09 00:00:00",36.25
"2020-07-12 00:00:00",497.1
"2020-07-14 00:00:00",12.03
"2020-07-15 00:00:00",51.25
"2020-07-21 00:00:00",201.11
"2020-07-23 00:00:00",82.57
"2020-07-25 00:00:00",21.35
"2020-07-28 00:00:00",124.03
"2020-07-29 00:00:00",779.44
"2020-07-31 00:00:00",576.52
"2020-08-02 00:00:00",1400.76
"2020-08-03 00:00:00",155.23
"2020-08-04 00:00:00",3515.97
"2020-08-05 00:00:00",697.05
"2020-08-06 00:00:00",74.86
"2020-08-07 00:00:00",1644.44
"2020-08-08 00:00:00",39.24
"2020-08-10 00:00:00",151.64
"2020-08-17 00:00:00",42.33
"2020-08-31 00:00:00",2873.84
"2020-09-07 00:00:00",58.69
"2020-09-08 00:00:00",57.24
"2020-09-11 00:00:00",221.25
"2020-09-12 00:00:00",57.93
"2020-09-18 00:00:00",57.34
"2020-09-19 00:00:00",3673.82
"2020-09-20 00:00:00",219.85
"2020-09-21 00:00:00",161.3
"2020-09-22 00:00:00",34.35
"2020-09-25 00:00:00",9074.22
"2020-09-26 00:00:00",453.18
"2020-09-27 00:00:00",22991.4
"2020-09-28 00:00:00",22349.35
"2020-09-29 00:00:00",787.75
"2020-09-30 00:00:00",329.12
"2020-10-01 00:00:00",11366.82
"2020-10-02 00:00:00",3547.92
"2020-10-03 00:00:00",322.28
"2020-10-04 00:00:00",207.88
"2020-10-05 00:00:00",67.63
"2020-10-06 00:00:00",1734.53
"2020-10-07 00:00:00",2033.37
"2020-10-08 00:00:00",496.59
"2020-10-09 00:00:00",73.25
"2020-10-10 00:00:00",605.76
"2020-10-11 00:00:00",1567.67
"2020-10-12 00:00:00",67.84
"2020-10-13 00:00:00",26.71
"2020-10-14 00:00:00",318.22
"2020-10-15 00:00:00",216.71
"2020-10-16 00:00:00",893.77
"2020-10-17 00:00:00",643.91
"2020-10-18 00:00:00",3240.15
"2020-10-19 00:00:00",864.25
