"DateTime","Sales (USD)"
"2021-11-26 00:00:00",13078.7
"2021-11-27 00:00:00",8999949.62
"2021-11-28 00:00:00",796907.42
"2021-11-29 00:00:00",473330.71
"2021-11-30 00:00:00",149101.8
"2021-12-01 00:00:00",47944.49
"2021-12-02 00:00:00",117250.8
"2021-12-03 00:00:00",74438.32
"2021-12-04 00:00:00",14495.02
"2021-12-05 00:00:00",13885.32
"2021-12-06 00:00:00",9612.72
"2021-12-07 00:00:00",5212.83
"2021-12-08 00:00:00",7231.66
"2021-12-09 00:00:00",6586.73
"2021-12-10 00:00:00",10785.17
"2021-12-11 00:00:00",5739.34
"2021-12-12 00:00:00",2809.8
"2021-12-13 00:00:00",2195.2
"2021-12-14 00:00:00",2684.36
"2021-12-15 00:00:00",399.47
"2021-12-16 00:00:00",1757.55
"2021-12-17 00:00:00",440.39
"2021-12-18 00:00:00",3023.62
"2021-12-19 00:00:00",424.98
"2021-12-20 00:00:00",1065.96
"2021-12-21 00:00:00",563.78
"2021-12-22 00:00:00",1932.94
"2021-12-23 00:00:00",53.24
"2021-12-24 00:00:00",501.82
"2021-12-25 00:00:00",249.51
"2021-12-26 00:00:00",15.78
"2021-12-27 00:00:00",130.02
"2021-12-28 00:00:00",8.85
"2021-12-29 00:00:00",597.44
"2021-12-30 00:00:00",110.09
"2021-12-31 00:00:00",1178.37
"2022-01-01 00:00:00",601.84
"2022-01-02 00:00:00",36.2
"2022-01-04 00:00:00",316.95
"2022-01-05 00:00:00",30.61
"2022-01-06 00:00:00",33.68
"2022-01-07 00:00:00",0
"2022-01-08 00:00:00",136.6
"2022-01-09 00:00:00",302.64
"2022-01-11 00:00:00",397.57
"2022-01-12 00:00:00",0
"2022-01-13 00:00:00",226.33
"2022-01-14 00:00:00",45.52
"2022-01-16 00:00:00",129.64
"2022-01-18 00:00:00",421.6
"2022-01-20 00:00:00",81.37
"2022-01-21 00:00:00",234.64
"2022-01-22 00:00:00",221.57
"2022-01-23 00:00:00",597.12
"2022-01-25 00:00:00",453.66
"2022-01-26 00:00:00",527.37
"2022-01-27 00:00:00",2097.45
"2022-01-28 00:00:00",431.44
"2022-01-29 00:00:00",23.65
"2022-01-31 00:00:00",479
