"DateTime","Sales (USD)"
"2021-07-12 00:00:00",2152.76
"2021-07-13 00:00:00",3242.64
"2021-07-14 00:00:00",4904.48
"2021-07-15 00:00:00",5508.46
"2021-07-16 00:00:00",3475.31
"2021-07-17 00:00:00",627.14
"2021-07-18 00:00:00",3290.91
"2021-07-19 00:00:00",3464.28
"2021-07-20 00:00:00",6017.89
"2021-07-21 00:00:00",8352.95
"2021-07-23 00:00:00",3428.92
"2021-07-25 00:00:00",11417.47
"2021-07-26 00:00:00",11124.67
"2021-07-27 00:00:00",10470.17
"2021-07-28 00:00:00",12339.01
"2021-07-29 00:00:00",225927.39
"2021-07-30 00:00:00",182177.69
"2021-07-31 00:00:00",76076.77
"2021-08-01 00:00:00",59987.1
"2021-08-02 00:00:00",81716.08
"2021-08-03 00:00:00",49469.83
"2021-08-04 00:00:00",268631.66
"2021-08-05 00:00:00",102146.66
"2021-08-06 00:00:00",116480.27
"2021-08-07 00:00:00",1046444.13
"2021-08-08 00:00:00",168748.78
"2021-08-09 00:00:00",134721.36
"2021-08-10 00:00:00",211731.23
"2021-08-11 00:00:00",101919.88
"2021-08-12 00:00:00",172026.6
"2021-08-13 00:00:00",162093.44
"2021-08-14 00:00:00",97655.36
"2021-08-15 00:00:00",46371.87
"2021-08-16 00:00:00",158278.42
"2021-08-17 00:00:00",342358.67
"2021-08-18 00:00:00",82764.07
"2021-08-20 00:00:00",207138.6
"2021-08-21 00:00:00",80344.55
"2021-08-22 00:00:00",33918.15
"2021-08-23 00:00:00",659720.38
"2021-08-24 00:00:00",650344.1
"2021-08-25 00:00:00",1158215.71
"2021-08-26 00:00:00",1132296.91
"2021-08-27 00:00:00",161898.84
"2021-08-28 00:00:00",56017.68
"2021-08-29 00:00:00",1578383.04
"2021-08-30 00:00:00",749068.56
"2021-08-31 00:00:00",815048.95
"2021-09-01 00:00:00",4582533.66
"2021-09-02 00:00:00",3806845.67
"2021-09-03 00:00:00",504004.62
"2021-09-04 00:00:00",1306058.54
"2021-09-05 00:00:00",360986.22
"2021-09-06 00:00:00",1435403.71
"2021-09-07 00:00:00",1188193.28
"2021-09-08 00:00:00",777005.45
"2021-09-09 00:00:00",815734.91
"2021-09-10 00:00:00",1436223.57
"2021-09-12 00:00:00",51677.36
"2021-09-13 00:00:00",95943.66
"2021-09-14 00:00:00",53152.13
"2021-09-15 00:00:00",71181.35
"2021-09-16 00:00:00",394716.09
"2021-09-18 00:00:00",39844.47
"2021-09-19 00:00:00",69188.06
"2021-09-20 00:00:00",70806.13
"2021-09-21 00:00:00",274282.48
"2021-09-22 00:00:00",106643.77
"2021-09-23 00:00:00",31099.16
"2021-09-24 00:00:00",57320.45
"2021-09-25 00:00:00",45635.8
"2021-09-27 00:00:00",54891.71
"2021-09-29 00:00:00",38179.87
"2021-09-30 00:00:00",37563.89
"2021-10-01 00:00:00",140964.41
"2021-10-02 00:00:00",91863.02
"2021-10-05 00:00:00",58462.85
"2021-10-06 00:00:00",248620.82
"2021-10-07 00:00:00",202825.83
"2021-10-08 00:00:00",133941.65
"2021-10-10 00:00:00",70222.68
"2021-10-11 00:00:00",235881.77
"2021-10-13 00:00:00",333591.25
"2021-10-14 00:00:00",72192.37
"2021-10-27 00:00:00",19787.82
"2021-10-28 00:00:00",33865.6
"2021-10-31 00:00:00",48521.59
"2022-01-01 00:00:00",18348.88
"2022-01-02 00:00:00",15438.38
"2022-01-03 00:00:00",26727.4
"2022-01-04 00:00:00",49892.19
"2022-01-11 00:00:00",193956.91
"2022-01-14 00:00:00",2030712.05
"2022-01-19 00:00:00",15592.51
"2022-01-20 00:00:00",29533.61
"2022-01-21 00:00:00",19186.16
"2022-01-24 00:00:00",9949.4
"2022-01-27 00:00:00",14060.46
"2022-01-29 00:00:00",7718.87
"2022-01-30 00:00:00",7758.49
