"DateTime","Sales (USD)"
"2021-09-03 00:00:00",3748793.1
"2021-09-04 00:00:00",15039207.25
"2021-09-05 00:00:00",6174491.55
"2021-09-06 00:00:00",4378763.67
"2021-09-07 00:00:00",1508311.29
"2021-09-08 00:00:00",468275.15
"2021-09-09 00:00:00",419852.46
"2021-09-10 00:00:00",484266.04
"2021-09-11 00:00:00",147976.58
"2021-09-12 00:00:00",95632.57
"2021-09-13 00:00:00",102575.73
"2021-09-14 00:00:00",82466.39
"2021-09-15 00:00:00",73451.16
"2021-09-16 00:00:00",96502.66
"2021-09-17 00:00:00",45073.03
"2021-09-18 00:00:00",47065.16
"2021-09-19 00:00:00",56123.91
"2021-09-20 00:00:00",27206.05
"2021-09-21 00:00:00",33907
"2021-09-22 00:00:00",18586.11
"2021-09-23 00:00:00",16160.41
"2021-09-24 00:00:00",24520.69
"2021-09-25 00:00:00",86956.39
"2021-09-26 00:00:00",52232.82
"2021-09-27 00:00:00",24940.94
"2021-09-28 00:00:00",17172.11
"2021-09-29 00:00:00",17691.12
"2021-09-30 00:00:00",35755.31
"2021-10-01 00:00:00",17760.69
"2021-10-02 00:00:00",26149.11
"2021-10-03 00:00:00",29864.1
"2021-10-04 00:00:00",22813.63
"2021-10-05 00:00:00",16110.26
"2021-10-06 00:00:00",8188.95
"2021-10-07 00:00:00",9924.29
"2021-10-08 00:00:00",13628.47
"2021-10-09 00:00:00",3036.18
"2021-10-10 00:00:00",5284.34
"2021-10-11 00:00:00",4364.22
"2021-10-12 00:00:00",20182.8
"2021-10-13 00:00:00",51107.2
"2021-10-14 00:00:00",4805.27
"2021-10-15 00:00:00",1717.1
"2021-10-16 00:00:00",5366.29
"2021-10-17 00:00:00",1491.19
"2021-10-18 00:00:00",1966.72
"2021-10-19 00:00:00",7602.95
"2021-10-20 00:00:00",8293.81
"2021-10-22 00:00:00",3951.57
"2021-10-23 00:00:00",1852.04
"2021-10-24 00:00:00",2978.34
"2021-10-25 00:00:00",2057.03
"2021-10-26 00:00:00",1572.66
"2021-10-27 00:00:00",1600.1
"2021-10-28 00:00:00",731.08
"2021-10-29 00:00:00",1007.71
"2021-10-30 00:00:00",911.88
"2021-11-01 00:00:00",1241.4
"2021-11-02 00:00:00",4051.55
"2021-11-03 00:00:00",343.3
"2021-11-04 00:00:00",1211.42
"2021-11-05 00:00:00",274.15
"2021-11-06 00:00:00",1078.05
"2021-11-07 00:00:00",734
"2021-11-08 00:00:00",368.49
"2021-11-11 00:00:00",828.55
"2021-11-12 00:00:00",573.83
"2021-11-13 00:00:00",1118.39
"2021-11-14 00:00:00",6333.73
"2021-11-15 00:00:00",671.21
"2021-11-17 00:00:00",4497.56
"2021-11-18 00:00:00",834
"2021-11-19 00:00:00",2157.23
"2021-11-20 00:00:00",214038.55
"2021-11-21 00:00:00",145435.5
"2021-11-22 00:00:00",2699.85
"2021-11-23 00:00:00",0
"2021-11-24 00:00:00",513.72
"2021-11-25 00:00:00",1037.1
"2021-11-26 00:00:00",1166.22
"2021-11-27 00:00:00",244.9
