"DateTime","Sales (USD)"
"2021-08-28 00:00:00",14555225.91
"2021-08-29 00:00:00",24755408.46
"2021-08-30 00:00:00",7938606.74
"2021-08-31 00:00:00",3855339.91
"2021-09-01 00:00:00",2835477.72
"2021-09-02 00:00:00",1319368.32
"2021-09-03 00:00:00",751432.71
"2021-09-04 00:00:00",740533.3
"2021-09-05 00:00:00",1313174.72
"2021-09-06 00:00:00",465100.09
"2021-09-07 00:00:00",545826.19
"2021-09-08 00:00:00",460714.35
"2021-09-09 00:00:00",604527.87
"2021-09-10 00:00:00",304104.86
"2021-09-11 00:00:00",201922.02
"2021-09-12 00:00:00",382858.79
"2021-09-13 00:00:00",159608.56
"2021-09-14 00:00:00",243902.17
"2021-09-15 00:00:00",562595.35
"2021-09-16 00:00:00",349515.57
"2021-09-17 00:00:00",222881.85
"2021-09-18 00:00:00",294486.51
"2021-09-19 00:00:00",292737.01
"2021-09-20 00:00:00",150931.82
"2021-09-21 00:00:00",619651.48
"2021-09-22 00:00:00",286625.74
"2021-09-23 00:00:00",189294.85
"2021-09-24 00:00:00",85424.27
"2021-09-25 00:00:00",81944.16
"2021-09-26 00:00:00",191678.81
"2021-09-27 00:00:00",117629.52
"2021-09-28 00:00:00",381240.45
"2021-09-29 00:00:00",173772.18
"2021-09-30 00:00:00",132730.95
"2021-10-01 00:00:00",58988.13
"2021-10-02 00:00:00",220376.57
"2021-10-03 00:00:00",98945.71
"2021-10-04 00:00:00",163698.17
"2021-10-05 00:00:00",98707.42
"2021-10-06 00:00:00",149602.18
"2021-10-07 00:00:00",93693.36
"2021-10-08 00:00:00",300169.63
"2021-10-09 00:00:00",205885.71
"2021-10-10 00:00:00",63953.52
"2021-10-11 00:00:00",11907.71
"2021-10-12 00:00:00",170592.05
"2021-10-13 00:00:00",240174.75
"2021-10-14 00:00:00",207167.52
"2021-10-15 00:00:00",124458.45
"2021-10-16 00:00:00",105486.21
"2021-10-17 00:00:00",49345.66
"2021-10-18 00:00:00",82094.55
"2021-10-19 00:00:00",192211.91
"2021-10-20 00:00:00",198705.55
"2021-10-21 00:00:00",270154.8
"2021-10-22 00:00:00",309331.57
"2021-10-23 00:00:00",118576.62
"2021-10-24 00:00:00",140030.46
"2021-10-25 00:00:00",97186.83
"2021-10-26 00:00:00",153275.1
"2021-10-27 00:00:00",145395.28
"2021-10-28 00:00:00",187406.14
"2021-10-29 00:00:00",103345.11
"2021-10-30 00:00:00",86369.86
"2021-10-31 00:00:00",58278.05
"2021-11-01 00:00:00",84888.33
"2021-11-02 00:00:00",166478.22
"2021-11-03 00:00:00",139956.29
"2021-11-04 00:00:00",373940.63
"2021-11-05 00:00:00",210616.24
"2021-11-07 00:00:00",175485.73
"2021-11-08 00:00:00",327624.37
"2021-11-09 00:00:00",198625.05
"2021-11-10 00:00:00",164034.46
"2021-11-11 00:00:00",130554.81
"2021-11-12 00:00:00",809459.16
"2021-11-13 00:00:00",1751548.77
"2021-11-14 00:00:00",1072300.61
"2021-11-15 00:00:00",844562.33
"2021-11-16 00:00:00",1966611.94
"2021-11-17 00:00:00",563934.62
"2021-11-18 00:00:00",434053.85
"2021-11-19 00:00:00",236092.44
"2021-11-20 00:00:00",217617.79
"2021-11-21 00:00:00",278681.78
"2021-11-22 00:00:00",253988.17
"2021-11-23 00:00:00",160501.12
"2021-11-24 00:00:00",205665.59
"2021-11-25 00:00:00",233692.37
"2021-11-26 00:00:00",208705.33
"2021-11-27 00:00:00",165170.46
"2021-11-28 00:00:00",189809.27
"2021-11-29 00:00:00",141790.07
"2021-11-30 00:00:00",228274.98
"2021-12-01 00:00:00",94286.37
"2021-12-02 00:00:00",326627.55
"2021-12-03 00:00:00",77385.21
"2021-12-04 00:00:00",120184.44
"2021-12-05 00:00:00",305902.05
"2021-12-06 00:00:00",310102.73
"2021-12-07 00:00:00",143659
"2021-12-08 00:00:00",205272.44
"2021-12-09 00:00:00",192007.61
"2021-12-10 00:00:00",26621.77
"2021-12-11 00:00:00",198940.3
"2021-12-12 00:00:00",372684.49
"2021-12-13 00:00:00",149806.13
"2021-12-14 00:00:00",151069.61
"2021-12-15 00:00:00",50751.83
"2021-12-16 00:00:00",231470
"2021-12-17 00:00:00",208795.55
"2021-12-18 00:00:00",225063.17
"2021-12-19 00:00:00",97480.19
"2021-12-20 00:00:00",193442.4
"2021-12-21 00:00:00",1405190.1
"2021-12-22 00:00:00",903287.73
"2021-12-23 00:00:00",489956.72
"2021-12-24 00:00:00",633837.32
"2021-12-25 00:00:00",558621.07
"2021-12-26 00:00:00",5163141.83
"2021-12-27 00:00:00",1446675.55
"2021-12-28 00:00:00",761141.45
"2021-12-29 00:00:00",5850354.02
"2021-12-30 00:00:00",922798.35
"2021-12-31 00:00:00",616118.79
"2022-01-01 00:00:00",7753488.16
"2022-01-02 00:00:00",2918955.54
"2022-01-03 00:00:00",2134164.36
"2022-01-04 00:00:00",683069.11
"2022-01-05 00:00:00",1253882.46
"2022-01-06 00:00:00",861824.18
"2022-01-07 00:00:00",546535.91
"2022-01-08 00:00:00",575691.94
"2022-01-09 00:00:00",234730.99
"2022-01-10 00:00:00",910664.66
"2022-01-11 00:00:00",235935.61
"2022-01-12 00:00:00",306451.55
"2022-01-13 00:00:00",591659.6
"2022-01-14 00:00:00",305495.71
"2022-01-15 00:00:00",1604342.07
