"DateTime","Sales (USD)"
"2021-04-30 00:00:00",10957.57
"2021-05-01 00:00:00",1992117.78
"2021-05-02 00:00:00",4390134.33
"2021-05-03 00:00:00",2748396.39
"2021-05-04 00:00:00",802349.82
"2021-05-05 00:00:00",614945.49
"2021-05-06 00:00:00",447977.66
"2021-05-07 00:00:00",283165.73
"2021-05-08 00:00:00",240113.9
"2021-05-09 00:00:00",290392.66
"2021-05-10 00:00:00",123511.18
"2021-05-11 00:00:00",60566.14
"2021-05-12 00:00:00",95693.72
"2021-05-13 00:00:00",84181.98
"2021-05-14 00:00:00",82738.36
"2021-05-15 00:00:00",205788.95
"2021-05-16 00:00:00",243374.33
"2021-05-17 00:00:00",102124.85
"2021-05-18 00:00:00",119133.17
"2021-05-19 00:00:00",105548.76
"2021-05-20 00:00:00",161951.2
"2021-05-21 00:00:00",140646.51
"2021-05-22 00:00:00",88099.89
"2021-05-23 00:00:00",93455.69
"2021-05-24 00:00:00",97808.5
"2021-05-25 00:00:00",126794.62
"2021-05-26 00:00:00",93228.39
"2021-05-27 00:00:00",182703.97
"2021-05-28 00:00:00",206154.45
"2021-05-29 00:00:00",235160.08
"2021-05-30 00:00:00",1368866.65
"2021-05-31 00:00:00",1588591.66
"2021-06-01 00:00:00",1692605.8
"2021-06-02 00:00:00",952668.19
"2021-06-03 00:00:00",639663.24
"2021-06-04 00:00:00",544317.61
"2021-06-05 00:00:00",1228178.4
"2021-06-06 00:00:00",1779146.3
"2021-06-07 00:00:00",3100443.89
"2021-06-08 00:00:00",1750955.9
"2021-06-09 00:00:00",788376.13
"2021-06-10 00:00:00",816693.59
"2021-06-11 00:00:00",657609.69
"2021-06-12 00:00:00",466508.34
"2021-06-13 00:00:00",686232.11
"2021-06-14 00:00:00",1127584.34
"2021-06-15 00:00:00",1425075.83
"2021-06-16 00:00:00",1454932.71
"2021-06-17 00:00:00",1586778.1
"2021-06-18 00:00:00",3059862.97
"2021-06-19 00:00:00",3661789.26
"2021-06-20 00:00:00",6155762.78
"2021-06-21 00:00:00",2664512.18
"2021-06-22 00:00:00",1106188.19
"2021-06-23 00:00:00",1149020.06
"2021-06-24 00:00:00",1390131.63
"2021-06-25 00:00:00",1020156.85
"2021-06-26 00:00:00",882865.68
"2021-06-27 00:00:00",641829.48
"2021-06-28 00:00:00",519618.64
"2021-06-29 00:00:00",614526.08
"2021-06-30 00:00:00",489095.53
"2021-07-01 00:00:00",455479.94
"2021-07-02 00:00:00",260859.93
"2021-07-03 00:00:00",286408.88
"2021-07-04 00:00:00",412483.62
"2021-07-05 00:00:00",427623.26
"2021-07-06 00:00:00",463900.5
"2021-07-07 00:00:00",393054.66
"2021-07-08 00:00:00",488738.65
"2021-07-09 00:00:00",504091.26
"2021-07-10 00:00:00",624724.15
"2021-07-11 00:00:00",1546125.79
"2021-07-12 00:00:00",1684587.28
"2021-07-13 00:00:00",1749826.87
"2021-07-14 00:00:00",2067784.33
"2021-07-15 00:00:00",3462121.16
"2021-07-16 00:00:00",4867500.03
"2021-07-17 00:00:00",4298546.69
"2021-07-18 00:00:00",1894603.5
"2021-07-19 00:00:00",927925.39
"2021-07-20 00:00:00",920583.47
"2021-07-21 00:00:00",794092.6
"2021-07-22 00:00:00",704424.57
"2021-07-23 00:00:00",630957.08
"2021-07-24 00:00:00",483204.61
"2021-07-25 00:00:00",1068071.43
"2021-07-26 00:00:00",716559.27
"2021-07-27 00:00:00",894884.08
"2021-07-28 00:00:00",514852.65
"2021-07-29 00:00:00",467640.42
"2021-07-30 00:00:00",1730534.47
