"DateTime","Sales (USD)"
"2022-01-04 00:00:00",13149669.68
"2022-01-05 00:00:00",4407753.16
"2022-01-06 00:00:00",2073910.39
"2022-01-07 00:00:00",1479450.81
"2022-01-08 00:00:00",2752803.28
"2022-01-09 00:00:00",3912119.72
"2022-01-10 00:00:00",1046768.68
"2022-01-11 00:00:00",1162182.06
"2022-01-12 00:00:00",563919.23
"2022-01-13 00:00:00",494494.66
"2022-01-14 00:00:00",333335.72
"2022-01-15 00:00:00",520156.5
"2022-01-16 00:00:00",389474.73
"2022-01-17 00:00:00",384479.97
"2022-01-18 00:00:00",231862.37
"2022-01-19 00:00:00",386284.16
"2022-01-20 00:00:00",422386.37
"2022-01-21 00:00:00",187041.58
"2022-01-22 00:00:00",143429.88
"2022-01-23 00:00:00",137602.01
"2022-01-24 00:00:00",59042.59
"2022-01-25 00:00:00",51870.72
"2022-01-26 00:00:00",64099.93
"2022-01-27 00:00:00",81536.1
"2022-01-28 00:00:00",66983.14
"2022-01-29 00:00:00",60779.26
"2022-01-30 00:00:00",50046.57
"2022-01-31 00:00:00",66957.11
"2022-02-01 00:00:00",31373.45
"2022-02-02 00:00:00",43813.79
"2022-02-03 00:00:00",62721.75
"2022-02-04 00:00:00",27503.55
"2022-02-05 00:00:00",23421.44
"2022-02-06 00:00:00",10752.83
"2022-02-07 00:00:00",142529.54
"2022-02-08 00:00:00",128295.07
"2022-02-09 00:00:00",13833.64
"2022-02-10 00:00:00",10945.28
"2022-02-11 00:00:00",15300.13
"2022-02-12 00:00:00",7983.97
"2022-02-13 00:00:00",5789.51
"2022-02-14 00:00:00",4042.33
"2022-02-15 00:00:00",4069.42
"2022-02-16 00:00:00",5416.9
"2022-02-17 00:00:00",7238.31
"2022-02-18 00:00:00",41355.84
"2022-02-19 00:00:00",7117.24
"2022-02-20 00:00:00",1630.36
"2022-02-21 00:00:00",2814.2
"2022-02-22 00:00:00",2103.59
"2022-02-23 00:00:00",2517.73
"2022-02-24 00:00:00",1063.06
"2022-02-25 00:00:00",1095.72
"2022-02-26 00:00:00",1618.12
"2022-02-27 00:00:00",1793.61
"2022-02-28 00:00:00",3184.52
"2022-03-01 00:00:00",3739.58
"2022-03-02 00:00:00",0
