"DateTime","Sales (USD)"
"2021-08-08 00:00:00",430583.6
"2021-08-09 00:00:00",847333.44
"2021-08-10 00:00:00",350609.71
"2021-08-11 00:00:00",197092.34
"2021-08-12 00:00:00",190943.63
"2021-08-13 00:00:00",517565.02
"2021-08-14 00:00:00",1665287.1
"2021-08-15 00:00:00",411278.86
"2021-08-16 00:00:00",225450.47
"2021-08-17 00:00:00",119320
"2021-08-18 00:00:00",274218.21
"2021-08-19 00:00:00",72278.71
"2021-08-20 00:00:00",64515.88
"2021-08-21 00:00:00",72632.69
"2021-08-22 00:00:00",50584.85
"2021-08-23 00:00:00",113445.63
"2021-08-24 00:00:00",122611.35
"2021-08-25 00:00:00",144103.42
"2021-08-26 00:00:00",90714.44
"2021-08-27 00:00:00",114947.65
"2021-08-28 00:00:00",113000.4
"2021-08-29 00:00:00",149737.48
"2021-08-30 00:00:00",300574.35
"2021-08-31 00:00:00",233746.63
"2021-09-01 00:00:00",128773.01
"2021-09-02 00:00:00",134959.58
"2021-09-03 00:00:00",54218.13
"2021-09-04 00:00:00",100702.31
"2021-09-05 00:00:00",86297.77
"2021-09-06 00:00:00",36872.9
"2021-09-07 00:00:00",40155.15
"2021-09-08 00:00:00",21544.02
"2021-09-09 00:00:00",24528.9
"2021-09-10 00:00:00",35419.24
"2021-09-11 00:00:00",13035.98
"2021-09-12 00:00:00",12221.65
"2021-09-13 00:00:00",15059.79
"2021-09-14 00:00:00",37967.83
"2021-09-15 00:00:00",32152.75
"2021-09-16 00:00:00",22522.34
"2021-09-17 00:00:00",17601.29
"2021-09-18 00:00:00",32786.42
"2021-09-19 00:00:00",55834.37
"2021-09-20 00:00:00",32809.71
"2021-09-21 00:00:00",74181.01
"2021-09-22 00:00:00",80406.46
"2021-09-23 00:00:00",61616.45
"2021-09-24 00:00:00",95117.57
"2021-09-25 00:00:00",64388.72
"2021-09-26 00:00:00",98148.66
"2021-09-27 00:00:00",107824.66
"2021-09-28 00:00:00",365136.28
"2021-09-29 00:00:00",256337.69
"2021-09-30 00:00:00",256957.82
"2021-10-01 00:00:00",78927.46
"2021-10-02 00:00:00",107559.4
"2021-10-03 00:00:00",66291.96
"2021-10-04 00:00:00",61274.81
"2021-10-05 00:00:00",69448.03
"2021-10-06 00:00:00",44892.68
"2021-10-07 00:00:00",99422.27
"2021-10-08 00:00:00",108444.02
"2021-10-09 00:00:00",28382.8
"2021-10-10 00:00:00",58483.82
"2021-10-11 00:00:00",69380.58
"2021-10-12 00:00:00",42553.54
"2021-10-13 00:00:00",75715.77
"2021-10-14 00:00:00",43521.21
"2021-10-15 00:00:00",133587.21
"2021-10-16 00:00:00",24609.47
"2021-10-17 00:00:00",22536.45
"2021-10-18 00:00:00",14458.59
"2021-10-19 00:00:00",30187.2
"2021-10-20 00:00:00",65315.42
"2021-10-21 00:00:00",29275.15
"2021-10-22 00:00:00",25519.13
"2021-10-23 00:00:00",25950.65
"2021-10-24 00:00:00",107300.27
"2021-10-25 00:00:00",9920.3
"2021-10-26 00:00:00",12854.99
"2021-10-27 00:00:00",3456.65
"2021-10-28 00:00:00",6440.5
"2021-10-29 00:00:00",21196.47
"2021-10-30 00:00:00",27579.04
"2021-10-31 00:00:00",19854.35
"2021-11-01 00:00:00",9504.96
"2021-11-02 00:00:00",5024.25
"2021-11-03 00:00:00",2128.41
