"DateTime","Sales (USD)"
"2021-11-15 00:00:00",1801170.91
"2021-11-16 00:00:00",598774.2
"2021-11-17 00:00:00",1476077.75
"2021-11-18 00:00:00",323424.12
"2021-11-19 00:00:00",308943.8
"2021-11-20 00:00:00",135296.92
"2021-11-21 00:00:00",80816.54
"2021-11-22 00:00:00",73515.02
"2021-11-23 00:00:00",77297.45
"2021-11-24 00:00:00",85266.91
"2021-11-25 00:00:00",51471.69
"2021-11-26 00:00:00",43071.07
"2021-11-27 00:00:00",33828.14
"2021-11-28 00:00:00",20771.54
"2021-11-29 00:00:00",35120.64
"2021-11-30 00:00:00",58408.31
"2021-12-01 00:00:00",46477.69
"2021-12-02 00:00:00",132908.31
"2021-12-03 00:00:00",37603.29
"2021-12-04 00:00:00",48585.28
"2021-12-05 00:00:00",12474.8
"2021-12-06 00:00:00",67313.24
"2021-12-07 00:00:00",61648.8
"2021-12-08 00:00:00",29217.71
"2021-12-09 00:00:00",25732.37
"2021-12-10 00:00:00",702406.45
"2021-12-11 00:00:00",178715.35
"2021-12-12 00:00:00",128605.51
"2021-12-13 00:00:00",63405.56
"2021-12-14 00:00:00",96897.24
"2021-12-15 00:00:00",62441.16
"2021-12-16 00:00:00",24403.25
"2021-12-17 00:00:00",39865.11
"2021-12-18 00:00:00",49317.46
"2021-12-19 00:00:00",37607.44
"2021-12-20 00:00:00",20819.32
"2021-12-21 00:00:00",104146.5
"2021-12-22 00:00:00",34722.11
"2021-12-23 00:00:00",6493.37
"2021-12-24 00:00:00",21293.43
"2021-12-25 00:00:00",18222.15
"2021-12-26 00:00:00",72587.26
"2021-12-27 00:00:00",22020.46
"2021-12-28 00:00:00",31900.5
"2021-12-29 00:00:00",26359.19
"2021-12-30 00:00:00",15002.05
"2021-12-31 00:00:00",5394.57
"2022-01-01 00:00:00",19736.06
"2022-01-02 00:00:00",83890.27
"2022-01-03 00:00:00",685113.25
"2022-01-04 00:00:00",273411.92
"2022-01-05 00:00:00",628083.93
"2022-01-06 00:00:00",90102.63
"2022-01-07 00:00:00",100417.62
"2022-01-08 00:00:00",85974.89
"2022-01-09 00:00:00",244730.68
"2022-01-10 00:00:00",239057.22
"2022-01-11 00:00:00",300301.71
"2022-01-12 00:00:00",385192.82
"2022-01-13 00:00:00",129264.33
"2022-01-14 00:00:00",252912.35
"2022-01-15 00:00:00",78236.92
"2022-01-16 00:00:00",477487.47
"2022-01-17 00:00:00",116673.75
"2022-01-18 00:00:00",41234.79
"2022-01-19 00:00:00",109765.37
"2022-01-20 00:00:00",71939.07
"2022-01-21 00:00:00",38473.35
"2022-01-22 00:00:00",35142.86
"2022-01-23 00:00:00",18642.26
"2022-01-24 00:00:00",10122.49
"2022-01-25 00:00:00",79317.78
"2022-01-26 00:00:00",325616.92
"2022-01-27 00:00:00",76743.83
"2022-01-28 00:00:00",23342.91
"2022-01-29 00:00:00",58094.85
"2022-01-30 00:00:00",21974.77
"2022-01-31 00:00:00",24157.94
"2022-02-01 00:00:00",7130.35
"2022-02-02 00:00:00",5743.58
"2022-02-03 00:00:00",20129.33
"2022-02-04 00:00:00",8155.95
"2022-02-05 00:00:00",43987.98
"2022-02-06 00:00:00",518481.26
"2022-02-07 00:00:00",59269.41
"2022-02-08 00:00:00",22637.78
"2022-02-09 00:00:00",74636.76
"2022-02-10 00:00:00",40577.04
"2022-02-11 00:00:00",64599.34
"2022-02-12 00:00:00",19254.94
"2022-02-13 00:00:00",24412.83
"2022-02-14 00:00:00",36848.9
"2022-02-15 00:00:00",124866
"2022-02-16 00:00:00",26769.74
"2022-02-17 00:00:00",17233.81
"2022-02-18 00:00:00",4876.88
"2022-02-19 00:00:00",4676.33
"2022-02-20 00:00:00",2065.88
"2022-02-21 00:00:00",14268.25
"2022-02-22 00:00:00",11509.74
"2022-02-23 00:00:00",2820.91
"2022-02-24 00:00:00",12202.64
"2022-02-25 00:00:00",6540.14
"2022-02-26 00:00:00",8977.93
"2022-02-27 00:00:00",6030.83
"2022-02-28 00:00:00",77277.43
"2022-03-01 00:00:00",50533.21
"2022-03-02 00:00:00",47924.84
