"DateTime","Sales (USD)"
"2021-07-16 00:00:00",172154.16
"2021-07-17 00:00:00",89274.64
"2021-07-18 00:00:00",51717.43
"2021-07-19 00:00:00",42899.35
"2021-07-20 00:00:00",18153.54
"2021-07-21 00:00:00",30892.48
"2021-07-22 00:00:00",23791.83
"2021-07-23 00:00:00",12673.63
"2021-07-24 00:00:00",10915.99
"2021-07-25 00:00:00",13267.71
"2021-07-26 00:00:00",12274.4
"2021-07-27 00:00:00",4421.68
"2021-07-28 00:00:00",6465.92
"2021-07-29 00:00:00",6159.42
"2021-07-30 00:00:00",10580.29
"2021-07-31 00:00:00",7859.71
"2021-08-01 00:00:00",14369.78
"2021-08-02 00:00:00",2189.59
"2021-08-03 00:00:00",5367.41
"2021-08-04 00:00:00",2282.48
"2021-08-05 00:00:00",17145.27
"2021-08-06 00:00:00",19684.7
"2021-08-07 00:00:00",14020.17
"2021-08-08 00:00:00",6967.36
"2021-08-09 00:00:00",26538.08
"2021-08-10 00:00:00",40123.42
"2021-08-11 00:00:00",15023.74
"2021-08-12 00:00:00",15063.7
"2021-08-13 00:00:00",15882.51
"2021-08-14 00:00:00",7613.3
"2021-08-15 00:00:00",15364.42
"2021-08-16 00:00:00",5950.47
"2021-08-17 00:00:00",12429.77
"2021-08-18 00:00:00",6494.14
"2021-08-19 00:00:00",16022.63
"2021-08-20 00:00:00",12988.84
"2021-08-21 00:00:00",9064.16
"2021-08-22 00:00:00",18752.61
"2021-08-23 00:00:00",25015.97
"2021-08-24 00:00:00",72367.23
"2021-08-25 00:00:00",389740.68
"2021-08-26 00:00:00",252169.23
"2021-08-27 00:00:00",21215.26
"2021-08-28 00:00:00",28125
"2021-08-29 00:00:00",17863.22
"2021-08-30 00:00:00",37047.68
"2021-08-31 00:00:00",39895.42
"2021-09-01 00:00:00",19951.05
"2021-09-02 00:00:00",28230.57
"2021-09-03 00:00:00",10379.82
"2021-09-04 00:00:00",7016.47
"2021-09-05 00:00:00",3895.64
"2021-09-06 00:00:00",62074.63
"2021-09-07 00:00:00",76654.69
"2021-09-08 00:00:00",24886.24
"2021-09-09 00:00:00",86276.29
"2021-09-10 00:00:00",30601.57
"2021-09-11 00:00:00",25949.37
"2021-09-12 00:00:00",20324.92
"2021-09-13 00:00:00",16621.1
"2021-09-14 00:00:00",48004.5
"2021-09-15 00:00:00",32118.91
"2021-09-16 00:00:00",52317.83
"2021-09-17 00:00:00",54042.16
"2021-09-18 00:00:00",53464.68
"2021-09-19 00:00:00",94465.89
"2021-09-20 00:00:00",41142.14
"2021-09-21 00:00:00",32420.69
"2021-09-22 00:00:00",29683.06
"2021-09-23 00:00:00",26310.93
"2021-09-24 00:00:00",34767.37
"2021-09-25 00:00:00",107925.75
"2021-09-26 00:00:00",36751.39
"2021-09-27 00:00:00",99450.01
"2021-09-28 00:00:00",48364.16
"2021-09-29 00:00:00",47160.23
"2021-09-30 00:00:00",45731.4
"2021-10-01 00:00:00",28207.87
"2021-10-02 00:00:00",30554.22
"2021-10-03 00:00:00",43511.74
"2021-10-04 00:00:00",66897.72
"2021-10-05 00:00:00",54776.95
"2021-10-06 00:00:00",22729.93
"2021-10-07 00:00:00",45017.86
"2021-10-08 00:00:00",604061.25
"2021-10-09 00:00:00",368951.09
"2021-10-10 00:00:00",274923.11
"2021-10-11 00:00:00",206484.31
"2021-10-12 00:00:00",152638.14
"2021-10-13 00:00:00",119134.24
"2021-10-14 00:00:00",69163.66
"2021-10-15 00:00:00",50253.96
"2021-10-16 00:00:00",86187.02
"2021-10-17 00:00:00",90790.05
"2021-10-18 00:00:00",40774.75
"2021-10-19 00:00:00",55076.24
"2021-10-20 00:00:00",46891.54
"2021-10-21 00:00:00",29734.61
"2021-10-22 00:00:00",33422.44
"2021-10-23 00:00:00",67040.56
"2021-10-24 00:00:00",35598.1
"2021-10-25 00:00:00",10200.8
"2021-10-26 00:00:00",101555.97
"2021-10-27 00:00:00",53589.62
"2021-10-28 00:00:00",30237.25
"2021-10-29 00:00:00",98730.13
"2021-10-30 00:00:00",151352.52
"2021-10-31 00:00:00",197077.16
"2021-11-01 00:00:00",80261.75
"2021-11-02 00:00:00",53150.97
"2021-11-03 00:00:00",45354.51
"2021-11-04 00:00:00",25240.55
"2021-11-05 00:00:00",17697.94
"2021-11-06 00:00:00",23049.75
"2021-11-07 00:00:00",38650.44
"2021-11-08 00:00:00",14248.2
"2021-11-09 00:00:00",17499.83
"2021-11-10 00:00:00",35028.28
"2021-11-11 00:00:00",12012.89
"2021-11-12 00:00:00",21829.21
"2021-11-13 00:00:00",33344.88
"2021-11-14 00:00:00",46767.97
"2021-11-15 00:00:00",35053.86
"2021-11-16 00:00:00",23115.48
"2021-11-17 00:00:00",53863.93
"2021-11-18 00:00:00",37127.56
"2021-11-19 00:00:00",52129.3
"2021-11-20 00:00:00",16285.53
"2021-11-21 00:00:00",9455.26
"2021-11-22 00:00:00",4589.52
"2021-11-23 00:00:00",5820.1
"2021-11-24 00:00:00",4870.1
"2021-11-25 00:00:00",9292.79
"2021-11-26 00:00:00",6287.61
"2021-11-27 00:00:00",6442.03
"2021-11-28 00:00:00",1726.04
"2021-11-29 00:00:00",6988.13
"2021-11-30 00:00:00",5096.23
"2021-12-01 00:00:00",7628.49
"2021-12-02 00:00:00",15729.01
"2021-12-03 00:00:00",3501.84
"2021-12-04 00:00:00",25714.76
"2021-12-05 00:00:00",7753.26
"2021-12-06 00:00:00",6507.78
"2021-12-07 00:00:00",21568.62
"2021-12-08 00:00:00",25854.13
"2021-12-09 00:00:00",113502.7
"2021-12-10 00:00:00",135338.45
"2021-12-11 00:00:00",347080.6
"2021-12-12 00:00:00",159532.78
"2021-12-13 00:00:00",140544.09
"2021-12-14 00:00:00",114010.91
"2021-12-15 00:00:00",215521.72
"2021-12-16 00:00:00",333238.13
"2021-12-17 00:00:00",33110.66
"2021-12-18 00:00:00",29827.55
"2021-12-19 00:00:00",144783.32
"2021-12-20 00:00:00",80959
"2021-12-21 00:00:00",87346.89
"2021-12-22 00:00:00",82171.9
"2021-12-23 00:00:00",35904.88
"2021-12-24 00:00:00",44763.68
"2021-12-25 00:00:00",23920.51
"2021-12-26 00:00:00",29970.45
"2021-12-27 00:00:00",73565.44
"2021-12-28 00:00:00",240783.66
"2021-12-29 00:00:00",535866.3
"2021-12-30 00:00:00",168360.17
"2021-12-31 00:00:00",141822.55
"2022-01-01 00:00:00",265288.15
"2022-01-02 00:00:00",509046.4
"2022-01-03 00:00:00",307680.04
"2022-01-04 00:00:00",304890.19
"2022-01-05 00:00:00",408653.29
"2022-01-06 00:00:00",401314.04
"2022-01-07 00:00:00",662510.96
"2022-01-08 00:00:00",140518.94
"2022-01-09 00:00:00",184987.02
"2022-01-10 00:00:00",153845.76
"2022-01-11 00:00:00",160720.08
"2022-01-12 00:00:00",101810.39
"2022-01-13 00:00:00",148661.7
"2022-01-14 00:00:00",105277.77
"2022-01-15 00:00:00",71110.16
"2022-01-16 00:00:00",67837.12
"2022-01-17 00:00:00",102977.54
"2022-01-18 00:00:00",84351.61
"2022-01-19 00:00:00",43031.54
"2022-01-20 00:00:00",36650.11
"2022-01-21 00:00:00",39090.92
"2022-01-22 00:00:00",64705.51
"2022-01-23 00:00:00",31592.67
"2022-01-24 00:00:00",37683.41
"2022-01-25 00:00:00",40327.68
"2022-01-26 00:00:00",49452.43
