"DateTime","Sales (USD)"
"2021-07-16 00:00:00",134814.14
"2021-07-17 00:00:00",219003.56
"2021-07-18 00:00:00",91246.44
"2021-07-19 00:00:00",93127.24
"2021-07-20 00:00:00",72625.08
"2021-07-21 00:00:00",42558.23
"2021-07-22 00:00:00",27402.34
"2021-07-23 00:00:00",23268.21
"2021-07-24 00:00:00",22169.26
"2021-07-25 00:00:00",8844.15
"2021-07-26 00:00:00",9630.15
"2021-07-27 00:00:00",11805.82
"2021-07-28 00:00:00",8136.14
"2021-07-29 00:00:00",10188.76
"2021-07-30 00:00:00",11056.96
"2021-07-31 00:00:00",18415.58
"2021-08-01 00:00:00",13491.18
"2021-08-02 00:00:00",39403.6
"2021-08-03 00:00:00",32809.17
"2021-08-04 00:00:00",149830.98
"2021-08-05 00:00:00",130526.25
"2021-08-06 00:00:00",93978.66
"2021-08-07 00:00:00",73643.48
"2021-08-08 00:00:00",51361.75
"2021-08-09 00:00:00",39720.29
"2021-08-10 00:00:00",36744.6
"2021-08-11 00:00:00",51098.4
"2021-08-12 00:00:00",58146.67
"2021-08-13 00:00:00",50201.49
"2021-08-14 00:00:00",59203.2
"2021-08-15 00:00:00",53014.14
"2021-08-16 00:00:00",90892.43
"2021-08-17 00:00:00",33441.17
"2021-08-18 00:00:00",56917.22
"2021-08-19 00:00:00",56826.82
"2021-08-20 00:00:00",816979.21
"2021-08-21 00:00:00",356053.2
"2021-08-22 00:00:00",220922.3
"2021-08-23 00:00:00",185054.58
"2021-08-24 00:00:00",300444.04
"2021-08-25 00:00:00",942548.11
"2021-08-26 00:00:00",293258.13
"2021-08-27 00:00:00",244759.03
"2021-08-28 00:00:00",389471.25
"2021-08-29 00:00:00",437362.87
"2021-08-30 00:00:00",517680.33
"2021-08-31 00:00:00",351098.8
"2021-09-01 00:00:00",271544.11
"2021-09-02 00:00:00",214174.83
"2021-09-03 00:00:00",128362.84
"2021-09-04 00:00:00",113304.18
"2021-09-05 00:00:00",104837.73
"2021-09-06 00:00:00",97974.09
