"DateTime","Sales (USD)"
"2022-01-31 00:00:00",2033721.81
"2022-02-01 00:00:00",5785025.6
"2022-02-02 00:00:00",966056.35
"2022-02-03 00:00:00",465856.66
"2022-02-04 00:00:00",458150.36
"2022-02-05 00:00:00",190661.77
"2022-02-06 00:00:00",274147.86
"2022-02-07 00:00:00",20304019.14
"2022-02-08 00:00:00",5493794.45
"2022-02-09 00:00:00",3155738.82
"2022-02-10 00:00:00",13354951.26
"2022-02-11 00:00:00",2630850.15
"2022-02-12 00:00:00",1593758.72
"2022-02-13 00:00:00",1888638.73
"2022-02-14 00:00:00",1028645.28
"2022-02-15 00:00:00",4383433.33
"2022-02-16 00:00:00",1568589.09
"2022-02-17 00:00:00",987033.54
"2022-02-18 00:00:00",877777.44
"2022-02-19 00:00:00",595419.04
"2022-02-20 00:00:00",508881.98
"2022-02-21 00:00:00",507104.29
"2022-02-22 00:00:00",766522.51
"2022-02-23 00:00:00",1140376.71
"2022-02-24 00:00:00",1030443.53
"2022-02-25 00:00:00",557767.14
"2022-02-26 00:00:00",255740.46
"2022-02-27 00:00:00",277719.16
"2022-02-28 00:00:00",225423.14
"2022-03-01 00:00:00",311729.27
"2022-03-02 00:00:00",30514.04
