"DateTime","Sales (USD)"
"2021-10-21 00:00:00",2586937.43
"2021-10-22 00:00:00",1141621.79
"2021-10-23 00:00:00",963069.57
"2021-10-24 00:00:00",4364157.47
"2021-10-25 00:00:00",1195834.95
"2021-10-26 00:00:00",342745.72
"2021-10-27 00:00:00",122745.63
"2021-10-28 00:00:00",93636.05
"2021-10-29 00:00:00",157119.43
"2021-10-30 00:00:00",38757.49
"2021-10-31 00:00:00",63453.97
"2021-11-01 00:00:00",123618.17
"2021-11-02 00:00:00",47448.92
"2021-11-03 00:00:00",30995.54
"2021-11-04 00:00:00",25144.03
"2021-11-05 00:00:00",27963.05
"2021-11-06 00:00:00",26625.68
"2021-11-07 00:00:00",20021.62
"2021-11-08 00:00:00",11987.9
"2021-11-09 00:00:00",5358.57
"2021-11-10 00:00:00",10157.51
"2021-11-11 00:00:00",12675.25
"2021-11-12 00:00:00",12283.11
"2021-11-13 00:00:00",9660.88
"2021-11-14 00:00:00",15261.58
"2021-11-15 00:00:00",8337.85
"2021-11-16 00:00:00",2875.21
"2021-11-17 00:00:00",10061.93
"2021-11-18 00:00:00",7697.89
"2021-11-19 00:00:00",18554.19
"2021-11-20 00:00:00",6167.87
"2021-11-21 00:00:00",3251.09
"2021-11-22 00:00:00",3326.08
"2021-11-23 00:00:00",6360.3
"2021-11-24 00:00:00",3174.94
"2021-11-25 00:00:00",9010.49
"2021-11-26 00:00:00",2234.63
"2021-11-27 00:00:00",19799.34
"2021-11-28 00:00:00",3575.22
"2021-11-29 00:00:00",3405.9
"2021-11-30 00:00:00",2254.73
"2021-12-01 00:00:00",2243.59
"2021-12-02 00:00:00",13536.82
"2021-12-03 00:00:00",985.85
"2021-12-04 00:00:00",806.98
"2021-12-05 00:00:00",7144.87
"2021-12-06 00:00:00",10029.77
"2021-12-07 00:00:00",6175.24
"2021-12-08 00:00:00",3562.79
"2021-12-09 00:00:00",1808.7
"2021-12-10 00:00:00",6359.17
"2021-12-11 00:00:00",4332.46
"2021-12-12 00:00:00",5981.42
"2021-12-13 00:00:00",8127.74
"2021-12-14 00:00:00",1601.79
"2021-12-15 00:00:00",1047.67
"2021-12-16 00:00:00",885.9
"2021-12-17 00:00:00",666.59
"2021-12-18 00:00:00",2551.4
"2021-12-19 00:00:00",4039.45
"2021-12-20 00:00:00",2464.44
"2021-12-21 00:00:00",2457.38
"2021-12-22 00:00:00",3243.55
"2021-12-23 00:00:00",2272.53
"2021-12-24 00:00:00",3044.11
"2021-12-25 00:00:00",732.4
"2021-12-26 00:00:00",9245.3
"2021-12-27 00:00:00",11493.96
"2021-12-28 00:00:00",9527.31
"2021-12-29 00:00:00",338132.34
"2021-12-30 00:00:00",66328.2
"2021-12-31 00:00:00",17764.47
"2022-01-01 00:00:00",6961.31
"2022-01-02 00:00:00",22197.79
"2022-01-03 00:00:00",4803.79
"2022-01-04 00:00:00",5845.28
"2022-01-05 00:00:00",13702.51
"2022-01-06 00:00:00",7700.59
"2022-01-07 00:00:00",3284.65
"2022-01-08 00:00:00",12088.71
"2022-01-09 00:00:00",53033.36
"2022-01-10 00:00:00",6545.69
"2022-01-11 00:00:00",6927.21
"2022-01-12 00:00:00",2979.42
"2022-01-13 00:00:00",5573.23
"2022-01-14 00:00:00",2923.75
"2022-01-15 00:00:00",1238.92
"2022-01-16 00:00:00",5018.39
"2022-01-17 00:00:00",6192.33
"2022-01-18 00:00:00",2159.35
"2022-01-19 00:00:00",4315.03
"2022-01-20 00:00:00",3449.66
"2022-01-21 00:00:00",1332.14
"2022-01-22 00:00:00",2140.45
"2022-01-23 00:00:00",2517.3
"2022-01-24 00:00:00",2975.6
"2022-01-25 00:00:00",6746.91
"2022-01-26 00:00:00",1382.08
"2022-01-27 00:00:00",1094.79
"2022-01-28 00:00:00",3120.19
"2022-01-29 00:00:00",9331.66
"2022-01-30 00:00:00",1310.36
"2022-01-31 00:00:00",5326.13
"2022-02-01 00:00:00",910.5
"2022-02-02 00:00:00",892.97
"2022-02-03 00:00:00",1162.3
"2022-02-04 00:00:00",432.63
"2022-02-05 00:00:00",1358.97
"2022-02-06 00:00:00",484.37
"2022-02-07 00:00:00",682.24
"2022-02-08 00:00:00",294.03
"2022-02-09 00:00:00",213.05
"2022-02-10 00:00:00",511.32
"2022-02-11 00:00:00",943.63
"2022-02-12 00:00:00",397.42
"2022-02-13 00:00:00",564.21
"2022-02-14 00:00:00",246.6
"2022-02-15 00:00:00",562.74
"2022-02-16 00:00:00",636.16
"2022-02-17 00:00:00",1329.02
"2022-02-18 00:00:00",4568.44
"2022-02-19 00:00:00",1924.28
"2022-02-20 00:00:00",765.8
"2022-02-21 00:00:00",1945.29
"2022-02-22 00:00:00",894.09
"2022-02-23 00:00:00",1751.62
"2022-02-24 00:00:00",439.86
"2022-02-25 00:00:00",1027.14
"2022-02-26 00:00:00",3147.32
"2022-02-27 00:00:00",857.9
"2022-02-28 00:00:00",425.54
"2022-03-01 00:00:00",350.99
