"DateTime","Sales (USD)"
"2021-11-30 00:00:00",5625342.29
"2021-12-01 00:00:00",4392302.06
"2021-12-02 00:00:00",3240271.69
"2021-12-03 00:00:00",2235257.3
"2021-12-04 00:00:00",1072664
"2021-12-05 00:00:00",1305325.89
"2021-12-06 00:00:00",1722058.79
"2021-12-07 00:00:00",4033823.41
"2021-12-08 00:00:00",3560586.15
"2021-12-09 00:00:00",1857150.32
"2021-12-10 00:00:00",1157481.68
"2021-12-11 00:00:00",907332.91
"2021-12-12 00:00:00",475214.72
"2021-12-13 00:00:00",679324.94
"2021-12-14 00:00:00",150823.69
"2021-12-15 00:00:00",422279.14
"2021-12-16 00:00:00",615411.61
"2021-12-17 00:00:00",410616.69
"2021-12-18 00:00:00",186570.77
"2021-12-19 00:00:00",794968.94
"2021-12-20 00:00:00",175007.75
"2021-12-21 00:00:00",102582.39
"2021-12-22 00:00:00",175689.57
"2021-12-23 00:00:00",179756.67
"2021-12-24 00:00:00",217323.59
"2021-12-25 00:00:00",277347.66
"2021-12-26 00:00:00",245665.35
"2021-12-27 00:00:00",367407.81
"2021-12-28 00:00:00",460374.34
"2021-12-29 00:00:00",531212.57
"2021-12-30 00:00:00",413034.07
"2021-12-31 00:00:00",453016.16
"2022-01-01 00:00:00",666816.46
"2022-01-02 00:00:00",631984.17
"2022-01-03 00:00:00",386909.66
"2022-01-04 00:00:00",429034.27
"2022-01-05 00:00:00",423782.75
"2022-01-06 00:00:00",341066.64
"2022-01-07 00:00:00",295628.49
"2022-01-08 00:00:00",399572.98
"2022-01-09 00:00:00",368078.93
"2022-01-10 00:00:00",237114.39
"2022-01-11 00:00:00",248758.77
"2022-01-12 00:00:00",295513.59
"2022-01-13 00:00:00",200730.3
"2022-01-14 00:00:00",191364.78
"2022-01-15 00:00:00",340576.58
"2022-01-16 00:00:00",149637.06
"2022-01-17 00:00:00",140832.33
"2022-01-18 00:00:00",213145.77
"2022-01-19 00:00:00",266352.7
"2022-01-20 00:00:00",175792.99
"2022-01-21 00:00:00",131543.29
"2022-01-22 00:00:00",179659.9
"2022-01-23 00:00:00",172128.11
"2022-01-24 00:00:00",98723.97
"2022-01-25 00:00:00",99505.39
"2022-01-26 00:00:00",159039.97
"2022-01-27 00:00:00",92500.92
"2022-01-28 00:00:00",81480.1
"2022-01-29 00:00:00",65682.11
"2022-01-30 00:00:00",122011.33
"2022-01-31 00:00:00",105723.26
"2022-02-01 00:00:00",51328.59
"2022-02-02 00:00:00",117019.76
"2022-02-03 00:00:00",223702.96
"2022-02-04 00:00:00",156116.1
"2022-02-05 00:00:00",117094.59
"2022-02-06 00:00:00",152090.32
"2022-02-07 00:00:00",289793.69
"2022-02-08 00:00:00",180109.55
"2022-02-09 00:00:00",217371.67
"2022-02-10 00:00:00",222450.75
"2022-02-11 00:00:00",300665.08
"2022-02-12 00:00:00",328831.3
"2022-02-13 00:00:00",133689.47
"2022-02-14 00:00:00",78522.61
"2022-02-15 00:00:00",72734.75
"2022-02-16 00:00:00",109466.27
"2022-02-17 00:00:00",84975.5
"2022-02-18 00:00:00",56039.07
"2022-02-19 00:00:00",50490.43
"2022-02-20 00:00:00",27522.82
"2022-02-21 00:00:00",18738.63
"2022-02-22 00:00:00",30222.13
"2022-02-23 00:00:00",19214.55
"2022-02-24 00:00:00",16767.94
"2022-02-25 00:00:00",20203.31
"2022-02-26 00:00:00",14632.43
"2022-02-27 00:00:00",29431.45
"2022-02-28 00:00:00",53692.34
"2022-03-01 00:00:00",30195.93
"2022-03-02 00:00:00",0
