"DateTime","Sales (USD)"
"2021-07-30 00:00:00",209.57
"2021-07-31 00:00:00",206.26
"2021-08-02 00:00:00",206.2
"2021-08-03 00:00:00",618.77
"2021-08-04 00:00:00",417.25
"2021-08-05 00:00:00",310.76
"2021-08-06 00:00:00",48667.59
"2021-08-07 00:00:00",894153.45
"2021-08-08 00:00:00",672392.94
"2021-08-09 00:00:00",561467.46
"2021-08-10 00:00:00",417287.26
"2021-08-11 00:00:00",208463.58
"2021-08-12 00:00:00",158595.18
"2021-08-13 00:00:00",242644.29
"2021-08-14 00:00:00",163148.05
"2021-08-15 00:00:00",137624.37
"2021-08-16 00:00:00",76413.5
"2021-08-17 00:00:00",213318.54
"2021-08-18 00:00:00",220300.36
"2021-08-19 00:00:00",137469.2
"2021-08-20 00:00:00",71030.63
"2021-08-21 00:00:00",81329.01
"2021-08-22 00:00:00",116288.12
"2021-08-23 00:00:00",202594.54
"2021-08-24 00:00:00",150261.75
"2021-08-25 00:00:00",106564.94
"2021-08-26 00:00:00",82608.43
"2021-08-27 00:00:00",76898.28
"2021-08-28 00:00:00",230116.46
"2021-08-29 00:00:00",254995.15
"2021-08-30 00:00:00",431717.92
"2021-08-31 00:00:00",444407.5
"2021-09-01 00:00:00",326066.21
"2021-09-02 00:00:00",304969.16
"2021-09-03 00:00:00",248680.78
"2021-09-04 00:00:00",322383.27
"2021-09-05 00:00:00",271761.29
"2021-09-06 00:00:00",202158.55
"2021-09-07 00:00:00",203241.24
"2021-09-08 00:00:00",300752
"2021-09-09 00:00:00",151601.93
"2021-09-10 00:00:00",86124.1
"2021-09-11 00:00:00",73191.01
"2021-09-12 00:00:00",47524.17
"2021-09-13 00:00:00",27400.44
"2021-09-14 00:00:00",25558.5
"2021-09-15 00:00:00",54854.93
"2021-09-16 00:00:00",65708.97
"2021-09-17 00:00:00",61621.24
"2021-09-18 00:00:00",38068.73
"2021-09-19 00:00:00",38296.3
"2021-09-20 00:00:00",29508.64
"2021-09-21 00:00:00",28836.47
"2021-09-22 00:00:00",28885.31
"2021-09-23 00:00:00",26026.61
"2021-09-24 00:00:00",22439.86
"2021-09-25 00:00:00",29582.31
"2021-09-26 00:00:00",34271.92
"2021-09-27 00:00:00",24154.65
"2021-09-28 00:00:00",39980.13
"2021-09-29 00:00:00",19826.59
"2021-09-30 00:00:00",16042.89
"2021-10-01 00:00:00",30407.07
"2021-10-02 00:00:00",28493.18
"2021-10-03 00:00:00",38449.92
"2021-10-04 00:00:00",18995.24
"2021-10-05 00:00:00",24104.14
"2021-10-06 00:00:00",29558.17
"2021-10-07 00:00:00",19799.98
"2021-10-08 00:00:00",30370.22
"2021-10-09 00:00:00",26004.8
"2021-10-10 00:00:00",17137.66
"2021-10-11 00:00:00",28089.61
"2021-10-12 00:00:00",25812.14
"2021-10-13 00:00:00",22408.85
"2021-10-14 00:00:00",14445.24
"2021-10-15 00:00:00",18318.89
"2021-10-16 00:00:00",25484.4
"2021-10-17 00:00:00",18022.29
"2021-10-18 00:00:00",138230.77
"2021-10-19 00:00:00",67461.08
"2021-10-20 00:00:00",33700.16
"2021-10-21 00:00:00",25032.04
"2021-10-22 00:00:00",18163.52
"2021-10-23 00:00:00",24217.22
"2021-10-24 00:00:00",16973.45
"2021-10-25 00:00:00",7218.14
"2021-10-26 00:00:00",12313.03
"2021-10-27 00:00:00",8558.79
"2021-10-28 00:00:00",9825.28
"2021-10-29 00:00:00",15967.84
"2021-10-30 00:00:00",7285.47
"2021-10-31 00:00:00",17932.02
"2021-11-01 00:00:00",13889.12
"2021-11-02 00:00:00",48216.49
"2021-11-03 00:00:00",33626.51
"2021-11-04 00:00:00",39067.54
"2021-11-05 00:00:00",12886.87
"2021-11-06 00:00:00",12433.16
"2021-11-07 00:00:00",15007.35
"2021-11-08 00:00:00",7697.54
"2021-11-09 00:00:00",30268.37
"2021-11-10 00:00:00",23758.62
"2021-11-11 00:00:00",14720.48
"2021-11-12 00:00:00",9140.21
"2021-11-13 00:00:00",20930.9
"2021-11-14 00:00:00",20800.65
"2021-11-15 00:00:00",17466.8
"2021-11-16 00:00:00",23102.95
"2021-11-17 00:00:00",20724.46
"2021-11-18 00:00:00",34989.17
"2021-11-19 00:00:00",34388.4
"2021-11-20 00:00:00",40227.12
"2021-11-21 00:00:00",25779.15
"2021-11-22 00:00:00",10185.6
"2021-11-23 00:00:00",15721.97
"2021-11-24 00:00:00",12070.27
"2021-11-25 00:00:00",13221.69
"2021-11-26 00:00:00",7130.93
"2021-11-27 00:00:00",14523.43
"2021-11-28 00:00:00",9579.73
"2021-11-29 00:00:00",14632.34
"2021-11-30 00:00:00",20336.24
"2021-12-01 00:00:00",14193.79
"2021-12-02 00:00:00",5306.86
"2021-12-03 00:00:00",28120.16
"2021-12-04 00:00:00",11086.82
"2021-12-05 00:00:00",25728.75
"2021-12-06 00:00:00",18652.88
"2021-12-07 00:00:00",19530.49
"2021-12-08 00:00:00",17860.56
"2021-12-09 00:00:00",25579.1
"2021-12-10 00:00:00",15358.91
"2021-12-11 00:00:00",12885.23
"2021-12-12 00:00:00",15342.8
"2021-12-13 00:00:00",35093.78
"2021-12-14 00:00:00",20452.39
"2021-12-15 00:00:00",6627.96
"2021-12-16 00:00:00",18694.49
"2021-12-17 00:00:00",11078.26
"2021-12-18 00:00:00",19981.68
"2021-12-19 00:00:00",25955.98
"2021-12-20 00:00:00",14593.74
"2021-12-21 00:00:00",16766.06
"2021-12-22 00:00:00",13636.39
"2021-12-23 00:00:00",11695.28
"2021-12-24 00:00:00",27384.37
"2021-12-25 00:00:00",12665.87
"2021-12-26 00:00:00",11036.93
"2021-12-27 00:00:00",15723.75
"2021-12-28 00:00:00",13587.32
"2021-12-29 00:00:00",19922.88
"2021-12-30 00:00:00",35384.72
"2021-12-31 00:00:00",40210.48
"2022-01-01 00:00:00",43983.37
"2022-01-02 00:00:00",50269.78
"2022-01-03 00:00:00",47037.51
"2022-01-04 00:00:00",47713.23
"2022-01-05 00:00:00",37922.18
"2022-01-06 00:00:00",15831.44
"2022-01-07 00:00:00",18148.36
"2022-01-08 00:00:00",18891.97
"2022-01-09 00:00:00",26818.26
"2022-01-10 00:00:00",11153.27
"2022-01-11 00:00:00",16577.81
"2022-01-12 00:00:00",20064.69
"2022-01-13 00:00:00",58932.13
"2022-01-14 00:00:00",30380.87
"2022-01-15 00:00:00",27802.3
"2022-01-16 00:00:00",18115.97
"2022-01-17 00:00:00",16605.88
"2022-01-18 00:00:00",21370.27
"2022-01-19 00:00:00",28051.09
"2022-01-20 00:00:00",13824.15
