"DateTime","Sales (USD)"
"2017-06-23 00:00:00",1455.93
"2017-06-24 00:00:00",883.03
"2017-06-25 00:00:00",556.39
"2017-06-26 00:00:00",1107.41
"2017-06-27 00:00:00",2215.28
"2017-06-28 00:00:00",1275.35
"2017-06-29 00:00:00",2301.79
"2017-06-30 00:00:00",1774.59
"2017-07-01 00:00:00",3898.46
"2017-07-02 00:00:00",3077.38
"2017-07-03 00:00:00",10242.59
"2017-07-04 00:00:00",11004.73
"2017-07-06 00:00:00",6891.77
"2017-07-07 00:00:00",8206.41
"2017-07-08 00:00:00",2178.23
"2017-07-09 00:00:00",2226.74
"2017-07-10 00:00:00",5260.84
"2017-07-11 00:00:00",6386.05
"2017-07-12 00:00:00",2974.99
"2017-07-13 00:00:00",3457.02
"2017-07-14 00:00:00",408.23
"2017-07-15 00:00:00",394.03
"2017-07-16 00:00:00",316.45
"2017-07-17 00:00:00",1628.2
"2017-07-20 00:00:00",1721.93
"2017-07-21 00:00:00",2523.11
"2017-07-22 00:00:00",866.72
"2017-07-23 00:00:00",643.74
"2017-07-24 00:00:00",1623.43
"2017-07-25 00:00:00",828.51
"2017-07-26 00:00:00",317.86
"2017-07-27 00:00:00",226.48
"2017-07-28 00:00:00",313.63
"2017-07-29 00:00:00",1424.77
"2017-07-30 00:00:00",1003.54
"2017-07-31 00:00:00",319.15
"2017-08-02 00:00:00",522.2
"2017-08-03 00:00:00",4347.5
"2017-08-04 00:00:00",90.8
"2017-08-05 00:00:00",1543.43
"2017-08-07 00:00:00",76.85
"2017-08-08 00:00:00",995.48
"2017-08-09 00:00:00",360.59
"2017-08-10 00:00:00",90.43
"2017-08-11 00:00:00",792.69
"2017-08-12 00:00:00",913.85
"2017-08-13 00:00:00",804.97
"2017-08-14 00:00:00",509.83
"2017-08-15 00:00:00",334.03
"2017-08-16 00:00:00",135.26
"2017-08-17 00:00:00",238.53
"2017-08-19 00:00:00",117.6
"2017-08-20 00:00:00",372.04
"2017-08-21 00:00:00",667.79
"2017-08-22 00:00:00",125.87
"2017-08-23 00:00:00",155.78
"2017-08-25 00:00:00",357.31
"2017-08-27 00:00:00",121.56
"2017-08-28 00:00:00",1038.12
"2017-08-29 00:00:00",93.32
"2017-08-30 00:00:00",177.14
"2017-08-31 00:00:00",104.93
"2017-09-01 00:00:00",513
"2017-09-02 00:00:00",1120.65
"2017-09-04 00:00:00",328.92
"2017-09-08 00:00:00",77.5
"2017-09-10 00:00:00",207.92
"2017-09-11 00:00:00",140.06
"2017-09-12 00:00:00",82.3
"2017-09-16 00:00:00",213.04
"2017-09-17 00:00:00",65.25
"2017-09-19 00:00:00",298.92
"2017-09-20 00:00:00",379.9
"2017-09-21 00:00:00",280.73
"2017-09-23 00:00:00",279.35
"2017-09-24 00:00:00",56.94
"2017-09-26 00:00:00",310.39
"2017-09-27 00:00:00",124.15
"2017-09-28 00:00:00",229.88
"2017-09-29 00:00:00",303.11
"2017-10-01 00:00:00",454.38
"2017-10-04 00:00:00",58.43
"2017-10-07 00:00:00",93.57
"2017-10-09 00:00:00",26.66
"2017-10-11 00:00:00",66.45
"2017-10-12 00:00:00",207.41
"2017-10-13 00:00:00",442.69
"2017-10-15 00:00:00",358.27
"2017-10-19 00:00:00",125.07
"2017-10-21 00:00:00",77.99
"2017-10-25 00:00:00",44.69
"2017-10-26 00:00:00",388.14
"2017-10-27 00:00:00",59.42
"2017-10-28 00:00:00",177.04
"2017-10-29 00:00:00",21.3
"2017-10-30 00:00:00",217.37
"2017-10-31 00:00:00",222.47
"2017-11-01 00:00:00",110.4
"2017-11-02 00:00:00",110.96
"2017-11-03 00:00:00",87.01
"2017-11-07 00:00:00",262.85
"2017-11-09 00:00:00",146.94
"2017-11-12 00:00:00",90.58
"2017-11-13 00:00:00",129.95
"2017-11-15 00:00:00",135.62
"2017-11-19 00:00:00",72.55
"2017-11-20 00:00:00",110.87
"2017-11-22 00:00:00",405.33
"2017-11-24 00:00:00",42.61
"2017-11-25 00:00:00",563.45
"2017-11-26 00:00:00",374.11
"2017-11-27 00:00:00",368.87
"2017-11-28 00:00:00",286.64
"2017-11-29 00:00:00",21.45
"2017-11-30 00:00:00",85.4
"2017-12-02 00:00:00",87.69
"2017-12-03 00:00:00",1789.6
"2017-12-04 00:00:00",292.38
"2017-12-05 00:00:00",595.5
"2017-12-06 00:00:00",455.57
"2017-12-07 00:00:00",360.99
"2017-12-08 00:00:00",509.23
"2017-12-09 00:00:00",177.95
"2017-12-10 00:00:00",298.43
"2017-12-11 00:00:00",649.7
"2017-12-12 00:00:00",1105.46
"2017-12-13 00:00:00",3935.96
"2017-12-14 00:00:00",3297.35
"2017-12-15 00:00:00",1024.94
"2017-12-16 00:00:00",348.91
"2017-12-17 00:00:00",638.16
"2017-12-18 00:00:00",1047.06
"2017-12-19 00:00:00",848.56
"2017-12-20 00:00:00",182.92
"2017-12-21 00:00:00",555.62
"2017-12-22 00:00:00",528.81
"2017-12-23 00:00:00",175.85
"2017-12-25 00:00:00",562.5
"2017-12-26 00:00:00",2062.51
"2017-12-27 00:00:00",207.4
"2017-12-28 00:00:00",830.97
"2017-12-29 00:00:00",421.85
"2017-12-31 00:00:00",1655.8
"2018-01-01 00:00:00",5322.75
"2018-01-02 00:00:00",543.52
"2018-01-06 00:00:00",143.38
"2018-01-07 00:00:00",585.63
"2018-01-08 00:00:00",1221.66
"2018-01-09 00:00:00",64.42
"2018-01-10 00:00:00",15680.33
"2018-01-12 00:00:00",594.61
"2018-01-13 00:00:00",2721.08
"2018-01-14 00:00:00",9620.72
"2018-01-15 00:00:00",7611.84
"2018-01-16 00:00:00",2781.67
"2018-01-17 00:00:00",183.38
"2018-01-18 00:00:00",973.97
"2018-01-19 00:00:00",1345.59
"2018-01-20 00:00:00",3594.07
"2018-01-22 00:00:00",2671.68
"2018-01-23 00:00:00",1326.38
"2018-01-25 00:00:00",521.81
"2018-01-26 00:00:00",1173.95
"2018-01-28 00:00:00",468.5
"2018-01-29 00:00:00",1638.43
"2018-02-01 00:00:00",81.53
"2018-02-02 00:00:00",273.85
"2018-02-03 00:00:00",86.48
"2018-02-04 00:00:00",251
"2018-02-05 00:00:00",103.91
"2018-02-07 00:00:00",509.32
"2018-02-09 00:00:00",78.62
"2018-02-10 00:00:00",195.66
"2018-02-11 00:00:00",277.03
"2018-02-16 00:00:00",1725.23
"2018-02-18 00:00:00",82.38
"2018-02-20 00:00:00",79.7
"2018-02-21 00:00:00",168.13
"2018-02-22 00:00:00",72.64
"2018-02-23 00:00:00",914.4
"2018-02-24 00:00:00",308.58
"2018-02-26 00:00:00",129.88
"2018-02-27 00:00:00",110.67
"2018-02-28 00:00:00",80.02
"2018-03-01 00:00:00",433.78
"2018-03-02 00:00:00",12024.23
"2018-03-03 00:00:00",289.64
"2018-03-04 00:00:00",318.62
"2018-03-08 00:00:00",384.64
"2018-03-09 00:00:00",72.53
