"DateTime","Sales (USD)"
"2021-10-10 00:00:00",463180.34
"2021-10-11 00:00:00",1285085.85
"2021-10-12 00:00:00",1291825.89
"2021-10-13 00:00:00",438741.41
"2021-10-14 00:00:00",230834.32
"2021-10-15 00:00:00",83227.11
"2021-10-16 00:00:00",100044.08
"2021-10-17 00:00:00",81612.73
"2021-10-18 00:00:00",67092.97
"2021-10-19 00:00:00",37324.11
"2021-10-20 00:00:00",23505.42
"2021-10-21 00:00:00",21003.57
"2021-10-22 00:00:00",22446.81
"2021-10-23 00:00:00",69867
"2021-10-24 00:00:00",114837.05
"2021-10-25 00:00:00",119538.31
"2021-10-26 00:00:00",39099.91
"2021-10-27 00:00:00",10334.09
"2021-10-28 00:00:00",30280.78
"2021-10-29 00:00:00",19441.31
"2021-10-30 00:00:00",11619.33
"2021-10-31 00:00:00",31681.04
"2021-11-01 00:00:00",15340.22
"2021-11-02 00:00:00",17885.75
"2021-11-03 00:00:00",19123.37
"2021-11-04 00:00:00",19365.33
"2021-11-05 00:00:00",31418.77
"2021-11-06 00:00:00",133297.44
"2021-11-07 00:00:00",676039.17
"2021-11-08 00:00:00",114427
"2021-11-09 00:00:00",73667.26
"2021-11-10 00:00:00",58105.96
"2021-11-11 00:00:00",76247.8
"2021-11-12 00:00:00",241855.01
"2021-11-13 00:00:00",416018.59
"2021-11-14 00:00:00",192233.44
"2021-11-15 00:00:00",72725.4
"2021-11-16 00:00:00",114921.91
"2021-11-18 00:00:00",1181093.62
"2021-11-19 00:00:00",2042072.63
"2021-11-20 00:00:00",436406.35
"2021-11-21 00:00:00",282185.91
"2021-11-22 00:00:00",183064.66
"2021-11-23 00:00:00",156022.71
"2021-11-24 00:00:00",138202.92
"2021-11-25 00:00:00",469289.02
"2021-11-26 00:00:00",502645.33
"2021-11-27 00:00:00",432026.19
"2021-11-28 00:00:00",1130148.95
"2021-11-29 00:00:00",993837.47
"2021-11-30 00:00:00",473372.19
"2021-12-01 00:00:00",318058.97
"2021-12-02 00:00:00",156634.24
"2021-12-03 00:00:00",224545.93
"2021-12-04 00:00:00",211108.44
"2021-12-05 00:00:00",210465.98
"2021-12-06 00:00:00",163901.68
"2021-12-07 00:00:00",203247.73
"2021-12-08 00:00:00",202518.33
"2021-12-09 00:00:00",193219.91
"2021-12-10 00:00:00",118757.16
"2021-12-11 00:00:00",149556.32
"2021-12-12 00:00:00",172785.3
"2021-12-13 00:00:00",141239.72
"2021-12-14 00:00:00",146255.95
"2021-12-15 00:00:00",108851.62
"2021-12-16 00:00:00",87782.56
"2021-12-17 00:00:00",109793.56
"2021-12-18 00:00:00",66038.96
"2021-12-19 00:00:00",118446.8
"2021-12-20 00:00:00",39073.82
"2021-12-21 00:00:00",42900.6
"2021-12-22 00:00:00",78775.13
"2021-12-23 00:00:00",93381.42
"2021-12-24 00:00:00",102148.61
"2021-12-25 00:00:00",77992.68
"2021-12-26 00:00:00",55636.27
"2021-12-27 00:00:00",149054.01
"2021-12-28 00:00:00",107166.11
"2021-12-29 00:00:00",438122.96
"2021-12-30 00:00:00",225670.15
"2021-12-31 00:00:00",271473.92
"2022-01-01 00:00:00",653041.41
"2022-01-02 00:00:00",2552808.93
"2022-01-03 00:00:00",651789.58
"2022-01-04 00:00:00",1711542.07
"2022-01-05 00:00:00",1955986.53
"2022-01-06 00:00:00",1382549.13
"2022-01-07 00:00:00",1105285.2
"2022-01-08 00:00:00",3263152.57
"2022-01-09 00:00:00",1047986.87
"2022-01-10 00:00:00",482186.14
"2022-01-11 00:00:00",318539.01
"2022-01-12 00:00:00",562333.18
"2022-01-13 00:00:00",452455.15
"2022-01-14 00:00:00",446080.92
"2022-01-15 00:00:00",290745.79
"2022-01-16 00:00:00",233155.48
"2022-01-17 00:00:00",161086.05
"2022-01-18 00:00:00",159191.15
"2022-01-19 00:00:00",209436.35
"2022-01-20 00:00:00",277723.97
"2022-01-21 00:00:00",180949.66
"2022-01-22 00:00:00",157570.11
"2022-01-23 00:00:00",218613.86
"2022-01-24 00:00:00",181925.66
"2022-01-25 00:00:00",305029.41
"2022-01-26 00:00:00",160245.71
"2022-01-27 00:00:00",261470.06
"2022-01-28 00:00:00",130652.42
"2022-01-29 00:00:00",115540.86
"2022-01-30 00:00:00",172229.81
"2022-01-31 00:00:00",237678.5
"2022-02-01 00:00:00",788202.97
"2022-02-02 00:00:00",794622.22
"2022-02-03 00:00:00",151277.09
"2022-02-04 00:00:00",132816.52
"2022-02-05 00:00:00",121748.59
"2022-02-06 00:00:00",132141.17
"2022-02-07 00:00:00",119475.87
"2022-02-08 00:00:00",136763.56
"2022-02-09 00:00:00",116098.07
"2022-02-10 00:00:00",127115.91
"2022-02-11 00:00:00",129659.82
"2022-02-12 00:00:00",139278.25
"2022-02-13 00:00:00",96868.63
"2022-02-14 00:00:00",114850.3
"2022-02-15 00:00:00",131711.64
"2022-02-16 00:00:00",112274.45
"2022-02-17 00:00:00",111563.64
"2022-02-18 00:00:00",53904.61
"2022-02-19 00:00:00",125170.7
"2022-02-20 00:00:00",81905.3
"2022-02-21 00:00:00",67425.14
"2022-02-22 00:00:00",94770.43
"2022-02-23 00:00:00",82856.75
"2022-02-24 00:00:00",147639.55
"2022-02-25 00:00:00",70937.91
"2022-02-26 00:00:00",182741.14
"2022-02-27 00:00:00",538847.63
"2022-02-28 00:00:00",266774.94
"2022-03-01 00:00:00",59494.66
"2022-03-02 00:00:00",46365.48
