"DateTime","Sales (USD)"
"2019-05-18 00:00:00",9.86
"2019-05-19 00:00:00",2.88
"2019-05-20 00:00:00",2.52
"2019-05-22 00:00:00",5.14
"2019-05-23 00:00:00",11.51
"2019-05-29 00:00:00",47.58
"2019-05-30 00:00:00",4.07
"2019-05-31 00:00:00",1.33
"2019-06-01 00:00:00",3.71
"2019-06-03 00:00:00",36.88
"2019-06-04 00:00:00",685.61
"2019-06-05 00:00:00",78.34
"2019-06-06 00:00:00",487.16
"2019-06-07 00:00:00",114.1
"2019-06-08 00:00:00",74.12
"2019-06-09 00:00:00",31.19
"2019-06-10 00:00:00",26.4
"2019-06-11 00:00:00",27.78
"2019-06-12 00:00:00",20.25
"2019-06-13 00:00:00",2.81
"2019-06-14 00:00:00",14.03
"2019-06-15 00:00:00",533.27
"2019-06-16 00:00:00",59.91
"2019-06-17 00:00:00",1728.23
"2019-06-18 00:00:00",73.57
"2019-06-19 00:00:00",137.7
"2019-06-20 00:00:00",33.75
"2019-06-21 00:00:00",69.29
"2019-06-22 00:00:00",92.86
"2019-06-23 00:00:00",33.11
"2019-06-24 00:00:00",27.88
"2019-06-25 00:00:00",51.85
"2019-06-26 00:00:00",24.72
"2019-06-27 00:00:00",2.35
"2019-06-28 00:00:00",4.33
"2019-06-30 00:00:00",160.41
"2019-07-01 00:00:00",10.29
"2019-07-03 00:00:00",45.31
"2019-07-04 00:00:00",7.09
"2019-07-05 00:00:00",8.64
"2019-07-07 00:00:00",7.04
"2019-07-17 00:00:00",3.8
"2019-07-18 00:00:00",6.82
"2019-07-22 00:00:00",1.74
"2019-07-29 00:00:00",1.05
"2019-08-01 00:00:00",66.29
"2019-08-02 00:00:00",2.18
"2019-08-04 00:00:00",12.92
"2019-08-08 00:00:00",15.44
"2019-08-13 00:00:00",1.25
"2019-08-15 00:00:00",0.94
"2019-08-16 00:00:00",2.04
"2019-08-19 00:00:00",1.01
"2019-08-20 00:00:00",0.98
"2019-08-22 00:00:00",0.96
"2019-08-26 00:00:00",3.77
"2019-08-29 00:00:00",4.22
"2019-08-30 00:00:00",50.51
"2019-09-05 00:00:00",1.05
"2019-09-07 00:00:00",0.89
"2019-09-09 00:00:00",0.91
"2019-09-17 00:00:00",0.21
"2019-09-30 00:00:00",3.59
"2019-10-08 00:00:00",1.63
"2019-10-23 00:00:00",1.77
"2019-10-29 00:00:00",1.53
"2019-10-30 00:00:00",0.55
"2019-11-04 00:00:00",2.05
"2019-11-11 00:00:00",4.43
"2019-11-27 00:00:00",0.77
"2019-11-28 00:00:00",1.06
"2019-12-08 00:00:00",12.37
"2019-12-11 00:00:00",0.43
"2019-12-15 00:00:00",0.19
"2019-12-20 00:00:00",12.82
"2019-12-26 00:00:00",11.4
"2019-12-30 00:00:00",2.76
"2019-12-31 00:00:00",30.97
"2020-01-01 00:00:00",2.99
"2020-01-03 00:00:00",1.07
"2020-01-08 00:00:00",28.17
"2020-01-09 00:00:00",3.09
"2020-01-10 00:00:00",16.25
"2020-01-12 00:00:00",4.65
"2020-01-15 00:00:00",2.49
"2020-01-16 00:00:00",8.51
"2020-01-23 00:00:00",18.16
"2020-01-25 00:00:00",1.28
"2020-01-31 00:00:00",3.6
"2020-02-06 00:00:00",3.62
"2020-02-12 00:00:00",15.2
"2020-02-14 00:00:00",18.97
"2020-02-15 00:00:00",9.91
"2020-02-18 00:00:00",14.18
"2020-02-19 00:00:00",19.06
"2020-02-20 00:00:00",1.29
"2020-02-21 00:00:00",6.38
"2020-02-22 00:00:00",2.36
"2020-02-23 00:00:00",150.41
"2020-02-24 00:00:00",4.49
"2020-02-25 00:00:00",37.03
"2020-02-26 00:00:00",54.17
"2020-02-27 00:00:00",12.9
"2020-02-29 00:00:00",3.3
"2020-03-07 00:00:00",1.9
"2020-03-18 00:00:00",0.71
"2020-03-20 00:00:00",1.05
"2020-03-25 00:00:00",2.59
"2020-04-18 00:00:00",1.32
"2020-05-10 00:00:00",1.13
"2020-05-18 00:00:00",1.5
"2020-06-10 00:00:00",24.77
"2020-06-11 00:00:00",117.3
"2020-06-14 00:00:00",23.21
"2020-06-20 00:00:00",11.45
"2020-06-22 00:00:00",2.19
"2020-06-29 00:00:00",7.07
"2020-07-01 00:00:00",6.47
"2020-07-10 00:00:00",3.86
"2020-07-28 00:00:00",31.8
"2020-07-31 00:00:00",5.19
"2020-09-07 00:00:00",38.1
"2020-09-19 00:00:00",3.08
"2020-09-20 00:00:00",2.97
"2020-09-24 00:00:00",41.55
"2020-09-27 00:00:00",49.14
"2020-09-29 00:00:00",1424.42
"2020-09-30 00:00:00",28.8
"2020-10-02 00:00:00",8.65
"2020-10-04 00:00:00",58.14
"2020-10-05 00:00:00",2.83
"2020-10-06 00:00:00",10.46
"2020-10-07 00:00:00",24.22
"2020-10-10 00:00:00",533.35
"2020-10-11 00:00:00",8061.43
"2020-10-12 00:00:00",1303.35
"2020-10-13 00:00:00",873.35
"2020-10-14 00:00:00",1935.4
"2020-10-15 00:00:00",2200.84
"2020-10-16 00:00:00",1586.9
"2020-10-17 00:00:00",386.73
"2020-10-18 00:00:00",548.84
"2020-10-19 00:00:00",115.36
"2020-10-20 00:00:00",197.7
"2020-10-21 00:00:00",79.66
"2020-10-22 00:00:00",165.77
"2020-10-23 00:00:00",269.29
"2020-10-25 00:00:00",117.96
"2020-10-26 00:00:00",157.6
"2020-10-27 00:00:00",80.81
"2020-10-28 00:00:00",7.78
"2020-10-29 00:00:00",38.68
"2020-10-30 00:00:00",207.76
"2020-10-31 00:00:00",114.78
"2020-11-01 00:00:00",478.06
"2020-11-02 00:00:00",194.36
"2020-11-03 00:00:00",6.92
"2020-11-04 00:00:00",17.64
"2020-11-05 00:00:00",3.71
"2020-11-07 00:00:00",60.95
"2020-11-10 00:00:00",4.02
"2020-11-13 00:00:00",17.49
"2020-11-14 00:00:00",58.61
"2020-11-15 00:00:00",20
"2020-11-16 00:00:00",271.29
"2020-11-17 00:00:00",48.27
"2020-11-21 00:00:00",22.99
"2020-11-23 00:00:00",5.4
"2020-11-24 00:00:00",11.79
"2020-11-25 00:00:00",3.98
"2020-12-08 00:00:00",22.16
"2020-12-13 00:00:00",5.91
"2020-12-23 00:00:00",4.12
"2020-12-27 00:00:00",635.12
"2021-01-01 00:00:00",57.67
"2021-01-07 00:00:00",61.01
"2021-01-14 00:00:00",136.72
"2021-01-16 00:00:00",43.1
"2021-01-26 00:00:00",9.53
"2021-01-31 00:00:00",162.56
"2021-02-01 00:00:00",1369.95
"2021-02-06 00:00:00",44.95
"2021-02-11 00:00:00",23.57
"2021-02-14 00:00:00",18.12
"2021-02-16 00:00:00",33.65
"2021-02-17 00:00:00",350.6
"2021-02-18 00:00:00",204.84
"2021-02-20 00:00:00",191.28
"2021-02-21 00:00:00",1204.04
"2021-02-22 00:00:00",53.14
"2021-02-23 00:00:00",1275.45
"2021-02-24 00:00:00",1278.86
"2021-02-25 00:00:00",1292.35
"2021-02-26 00:00:00",1200
"2021-02-27 00:00:00",1327.97
"2021-02-28 00:00:00",152.52
"2021-03-01 00:00:00",2970.93
"2021-03-02 00:00:00",1147.95
"2021-03-03 00:00:00",1408.08
"2021-03-04 00:00:00",1535.68
"2021-03-05 00:00:00",154.61
"2021-03-06 00:00:00",688.67
"2021-03-07 00:00:00",2231.13
"2021-03-09 00:00:00",530.68
"2021-03-10 00:00:00",639.31
"2021-03-11 00:00:00",127.03
"2021-03-13 00:00:00",4422.56
"2021-03-14 00:00:00",2358.69
"2021-03-15 00:00:00",2017.03
"2021-03-16 00:00:00",213.66
"2021-03-17 00:00:00",470.9
"2021-03-18 00:00:00",1975.67
"2021-03-19 00:00:00",5274.12
"2021-03-20 00:00:00",1527.78
"2021-03-21 00:00:00",53.54
"2021-03-23 00:00:00",3489.36
"2021-03-25 00:00:00",619.68
"2021-03-27 00:00:00",240.54
"2021-03-30 00:00:00",229.56
"2021-04-08 00:00:00",197.46
"2021-04-10 00:00:00",63.91
"2021-04-15 00:00:00",84.41
"2021-04-23 00:00:00",21.21
"2021-04-24 00:00:00",15.66
"2021-04-26 00:00:00",2190.09
"2021-04-27 00:00:00",764.8
"2021-04-28 00:00:00",43.84
"2021-04-29 00:00:00",386.47
"2021-04-30 00:00:00",349.06
"2021-05-02 00:00:00",50.19
"2021-05-03 00:00:00",34.31
"2021-05-04 00:00:00",22.92
"2021-05-05 00:00:00",28.21
"2021-05-06 00:00:00",24.5
"2021-05-16 00:00:00",89.15
"2021-05-22 00:00:00",16.25
"2021-05-26 00:00:00",25.82
"2021-05-31 00:00:00",26.99
"2021-06-02 00:00:00",196.98
"2021-06-05 00:00:00",26.05
"2021-06-06 00:00:00",1220.45
"2021-06-07 00:00:00",683.84
"2021-06-08 00:00:00",2935.96
"2021-06-09 00:00:00",268.38
"2021-06-10 00:00:00",258.06
"2021-06-11 00:00:00",70.35
"2021-06-12 00:00:00",71.43
"2021-06-13 00:00:00",125.23
"2021-06-14 00:00:00",128.85
"2021-06-15 00:00:00",737.74
"2021-06-16 00:00:00",216.03
"2021-06-17 00:00:00",809.99
"2021-06-18 00:00:00",322.56
"2021-06-19 00:00:00",156.58
"2021-06-21 00:00:00",1809.17
"2021-06-22 00:00:00",224.11
"2021-06-23 00:00:00",49.05
"2021-06-24 00:00:00",218.53
"2021-06-25 00:00:00",363.57
"2021-06-26 00:00:00",928.02
"2021-06-27 00:00:00",68.76
"2021-06-28 00:00:00",124.76
"2021-06-29 00:00:00",108.5
"2021-06-30 00:00:00",113.61
"2021-07-03 00:00:00",454.26
"2021-07-07 00:00:00",92.68
"2021-07-08 00:00:00",212.39
"2021-07-09 00:00:00",150.87
