"DateTime","Sales (USD)"
"2018-07-16 00:00:00",109.62
"2018-07-17 00:00:00",19.09
"2018-07-20 00:00:00",167.23
"2018-07-21 00:00:00",41.58
"2018-07-23 00:00:00",229.43
"2018-07-24 00:00:00",181.65
"2018-07-25 00:00:00",594.28
"2018-07-26 00:00:00",285.32
"2018-07-27 00:00:00",55.73
"2018-07-29 00:00:00",330.94
"2018-07-30 00:00:00",86.15
"2018-07-31 00:00:00",211.78
"2018-08-01 00:00:00",185.65
"2018-08-02 00:00:00",231.34
"2018-08-04 00:00:00",57.27
"2018-08-05 00:00:00",50.64
"2018-08-06 00:00:00",355.38
"2018-08-07 00:00:00",310.01
"2018-08-08 00:00:00",351.6
"2018-08-12 00:00:00",62.52
"2018-08-14 00:00:00",161.95
"2018-08-15 00:00:00",25.3
"2018-08-17 00:00:00",50.99
"2018-08-19 00:00:00",225.67
"2018-08-21 00:00:00",667.56
"2018-08-22 00:00:00",105.87
"2018-08-23 00:00:00",30.75
"2018-08-26 00:00:00",115.8
"2018-08-27 00:00:00",203.96
"2018-08-29 00:00:00",72.05
"2018-08-31 00:00:00",291.13
"2018-09-02 00:00:00",163.65
"2018-09-03 00:00:00",88.07
"2018-09-05 00:00:00",365.22
"2018-09-06 00:00:00",59.63
"2018-09-11 00:00:00",36.86
"2018-09-13 00:00:00",234.89
"2018-09-15 00:00:00",112.38
"2018-09-16 00:00:00",102.33
"2018-09-19 00:00:00",440.77
"2018-09-20 00:00:00",68.09
"2018-09-22 00:00:00",139.54
"2018-09-23 00:00:00",91.01
"2018-09-24 00:00:00",68.94
"2018-09-25 00:00:00",350.46
"2018-09-28 00:00:00",45.54
"2018-09-29 00:00:00",109.45
"2018-10-01 00:00:00",64.08
"2018-10-02 00:00:00",52.54
"2018-10-04 00:00:00",313.24
"2018-10-05 00:00:00",53.28
"2018-10-06 00:00:00",221
"2018-10-07 00:00:00",29.69
"2018-10-08 00:00:00",56.91
"2018-10-09 00:00:00",45.05
"2018-10-10 00:00:00",20.96
"2018-10-11 00:00:00",521.98
"2018-10-12 00:00:00",61.27
"2018-10-13 00:00:00",153.29
"2018-10-15 00:00:00",69.93
"2018-10-23 00:00:00",34.19
"2018-10-31 00:00:00",39.38
"2018-11-01 00:00:00",247.31
"2018-11-02 00:00:00",172.33
"2018-11-06 00:00:00",130.85
"2018-11-09 00:00:00",99.33
"2018-11-10 00:00:00",41.81
"2018-11-12 00:00:00",83.32
"2018-11-15 00:00:00",31.97
"2018-11-16 00:00:00",67.08
"2018-11-18 00:00:00",856.37
"2018-11-19 00:00:00",236.47
"2018-11-20 00:00:00",654.17
"2018-11-21 00:00:00",337.73
"2018-11-22 00:00:00",596.01
"2018-11-23 00:00:00",151.73
"2018-11-24 00:00:00",32.68
"2018-11-25 00:00:00",94.32
"2018-11-26 00:00:00",331.41
"2018-11-27 00:00:00",158.14
"2018-11-28 00:00:00",101.89
"2018-11-30 00:00:00",49.58
"2018-12-01 00:00:00",104.02
"2018-12-02 00:00:00",145.13
"2018-12-03 00:00:00",60.16
"2018-12-04 00:00:00",693.65
"2018-12-05 00:00:00",816.05
"2018-12-06 00:00:00",542.19
"2018-12-11 00:00:00",34.46
"2018-12-12 00:00:00",24.18
"2018-12-13 00:00:00",220.46
"2018-12-14 00:00:00",36.44
"2018-12-15 00:00:00",109.11
"2018-12-16 00:00:00",82.47
"2018-12-17 00:00:00",245.9
"2018-12-18 00:00:00",22.42
"2018-12-19 00:00:00",48.08
"2018-12-20 00:00:00",47.42
"2018-12-22 00:00:00",90.98
"2018-12-23 00:00:00",42.13
"2019-01-02 00:00:00",29.34
"2019-01-04 00:00:00",30.86
"2019-01-06 00:00:00",155.94
"2019-01-08 00:00:00",88.64
"2019-01-09 00:00:00",164.78
"2019-01-10 00:00:00",162.38
"2019-01-11 00:00:00",70.87
"2019-01-12 00:00:00",86.82
"2019-01-13 00:00:00",71.3
"2019-01-14 00:00:00",115.15
"2019-01-17 00:00:00",96.32
"2019-01-18 00:00:00",622.45
"2019-01-19 00:00:00",321.57
"2019-01-21 00:00:00",92.74
"2019-01-31 00:00:00",52.87
"2019-02-01 00:00:00",443.98
"2019-02-06 00:00:00",51.7
"2019-02-10 00:00:00",167.39
"2019-02-11 00:00:00",142.98
"2019-02-12 00:00:00",108
"2019-02-13 00:00:00",205.4
"2019-02-14 00:00:00",171.37
"2019-02-16 00:00:00",121.8
"2019-02-17 00:00:00",57.72
"2019-02-18 00:00:00",43.32
"2019-02-19 00:00:00",130.64
"2019-02-20 00:00:00",373.95
"2019-02-21 00:00:00",121.67
"2019-02-22 00:00:00",617.49
"2019-02-23 00:00:00",135.38
"2019-02-27 00:00:00",334.99
"2019-03-01 00:00:00",161.71
"2019-03-02 00:00:00",39.72
"2019-03-03 00:00:00",38.89
"2019-03-04 00:00:00",43.79
"2019-03-05 00:00:00",229.25
"2019-03-06 00:00:00",41.15
"2019-03-08 00:00:00",89.12
"2019-03-09 00:00:00",28.32
"2019-03-10 00:00:00",811.35
"2019-03-12 00:00:00",484.1
"2019-03-14 00:00:00",548.76
"2019-03-15 00:00:00",114.48
"2019-03-16 00:00:00",242.12
"2019-03-17 00:00:00",439.47
"2019-03-18 00:00:00",159.07
"2019-03-19 00:00:00",1401.64
"2019-03-20 00:00:00",622.33
"2019-03-21 00:00:00",590.28
"2019-03-22 00:00:00",437.25
"2019-03-23 00:00:00",54.59
"2019-03-24 00:00:00",1103.67
"2019-03-25 00:00:00",333.85
"2019-03-26 00:00:00",647.11
"2019-03-27 00:00:00",87.01
"2019-03-28 00:00:00",1166.95
"2019-03-29 00:00:00",523.86
"2019-03-31 00:00:00",1176.19
"2019-04-01 00:00:00",353.24
"2019-04-02 00:00:00",46.39
"2019-04-03 00:00:00",48.55
"2019-04-04 00:00:00",474.11
"2019-04-05 00:00:00",262.86
"2019-04-06 00:00:00",661.48
"2019-04-08 00:00:00",868.34
"2019-04-09 00:00:00",375.83
"2019-04-10 00:00:00",1560.46
"2019-04-11 00:00:00",550.3
"2019-04-12 00:00:00",2260.27
"2019-04-13 00:00:00",830.43
"2019-04-14 00:00:00",589.91
"2019-04-15 00:00:00",2278.01
"2019-04-16 00:00:00",708.95
"2019-04-17 00:00:00",414.14
"2019-04-18 00:00:00",410.06
"2019-04-19 00:00:00",134.77
"2019-04-20 00:00:00",168.16
"2019-04-21 00:00:00",509.29
"2019-04-22 00:00:00",250.22
"2019-04-23 00:00:00",761.29
"2019-04-24 00:00:00",2617.56
"2019-04-25 00:00:00",53.22
"2019-04-26 00:00:00",112.19
"2019-04-27 00:00:00",908.53
"2019-04-28 00:00:00",891.79
"2019-04-30 00:00:00",668.36
"2019-05-01 00:00:00",290.64
"2019-05-02 00:00:00",635.83
"2019-05-03 00:00:00",321.17
"2019-05-04 00:00:00",237.4
"2019-05-05 00:00:00",471.12
"2019-05-07 00:00:00",420.73
"2019-05-08 00:00:00",431.98
"2019-05-09 00:00:00",902.22
"2019-05-10 00:00:00",340.14
"2019-05-11 00:00:00",219.26
"2019-05-12 00:00:00",238.63
"2019-05-14 00:00:00",303.99
"2019-05-15 00:00:00",997.29
"2019-05-16 00:00:00",1886.84
"2019-05-18 00:00:00",93.94
"2019-05-20 00:00:00",759.39
"2019-05-21 00:00:00",77.5
"2019-05-22 00:00:00",370.86
"2019-05-23 00:00:00",187
"2019-05-24 00:00:00",657.47
"2019-05-25 00:00:00",2658.38
"2019-05-26 00:00:00",612.64
"2019-05-27 00:00:00",5182.67
"2019-05-28 00:00:00",1710.6
"2019-05-29 00:00:00",463.23
"2019-05-30 00:00:00",2788.21
"2019-05-31 00:00:00",2595.75
"2019-06-01 00:00:00",90.15
"2019-06-02 00:00:00",251.07
"2019-06-03 00:00:00",544.21
"2019-06-04 00:00:00",1736
"2019-06-05 00:00:00",905.6
"2019-06-06 00:00:00",724.36
"2019-06-07 00:00:00",1838.54
"2019-06-08 00:00:00",87.77
"2019-06-09 00:00:00",1284.61
"2019-06-10 00:00:00",1589
"2019-06-11 00:00:00",571.86
"2019-06-12 00:00:00",1203.24
"2019-06-13 00:00:00",1803.93
"2019-06-15 00:00:00",3782.45
"2019-06-16 00:00:00",161.91
"2019-06-17 00:00:00",752.71
"2019-06-18 00:00:00",2438.63
"2019-06-19 00:00:00",1043.01
"2019-06-20 00:00:00",824.73
"2019-06-21 00:00:00",1862.88
"2019-06-22 00:00:00",1613.82
"2019-06-23 00:00:00",352.54
"2019-06-24 00:00:00",391.28
"2019-06-25 00:00:00",534.16
"2019-06-26 00:00:00",1536.31
"2019-06-27 00:00:00",1413.09
"2019-06-28 00:00:00",1294
"2019-06-29 00:00:00",672.73
"2019-06-30 00:00:00",729.15
"2019-07-01 00:00:00",405.53
"2019-07-02 00:00:00",552.09
"2019-07-03 00:00:00",172.17
"2019-07-05 00:00:00",2098.78
"2019-07-07 00:00:00",1880.02
"2019-07-08 00:00:00",461.69
"2019-07-09 00:00:00",210.54
"2019-07-10 00:00:00",1626.44
"2019-07-11 00:00:00",2536.16
"2019-07-12 00:00:00",1018.99
"2019-07-13 00:00:00",134.34
