"DateTime","Sales (USD)"
"2021-09-18 00:00:00",249541.95
"2021-09-19 00:00:00",4823367.55
"2021-09-20 00:00:00",1849171.23
"2021-09-21 00:00:00",233926.09
"2021-09-22 00:00:00",6530643.47
"2021-09-23 00:00:00",2494395.72
"2021-09-24 00:00:00",692128.48
"2021-09-25 00:00:00",377196.23
"2021-09-26 00:00:00",394772.35
"2021-09-27 00:00:00",378671.88
"2021-09-28 00:00:00",314833.17
"2021-09-29 00:00:00",168018.7
"2021-09-30 00:00:00",173993.78
"2021-10-01 00:00:00",205088.03
"2021-10-02 00:00:00",176282.52
"2021-10-03 00:00:00",74571.18
"2021-10-04 00:00:00",80595.74
"2021-10-05 00:00:00",268296.34
"2021-10-06 00:00:00",235906.61
"2021-10-07 00:00:00",66153.74
"2021-10-08 00:00:00",62075.47
"2021-10-09 00:00:00",151536.54
"2021-10-10 00:00:00",36730.74
"2021-10-11 00:00:00",58459.11
"2021-10-12 00:00:00",55024.25
"2021-10-13 00:00:00",53615.73
"2021-10-14 00:00:00",51307.16
"2021-10-15 00:00:00",63947.47
"2021-10-16 00:00:00",143417.07
"2021-10-17 00:00:00",98551.23
"2021-10-18 00:00:00",89440.83
"2021-10-19 00:00:00",63114.87
"2021-10-20 00:00:00",81428.86
"2021-10-21 00:00:00",43237.88
"2021-10-22 00:00:00",21187.4
"2021-10-23 00:00:00",1644.11
"2021-10-24 00:00:00",17433.65
"2021-10-25 00:00:00",56823.86
"2021-10-26 00:00:00",38125.71
"2021-10-27 00:00:00",15784.08
"2021-10-28 00:00:00",13910.87
"2021-10-29 00:00:00",10396.02
"2021-10-30 00:00:00",21176.32
"2021-10-31 00:00:00",8779.39
"2021-11-01 00:00:00",20274.27
"2021-11-02 00:00:00",36477.79
"2021-11-03 00:00:00",11987.97
"2021-11-04 00:00:00",12439.07
"2021-11-05 00:00:00",13463.35
"2021-11-06 00:00:00",11612.69
"2021-11-07 00:00:00",6928.12
"2021-11-08 00:00:00",7155.67
"2021-11-09 00:00:00",3861.67
"2021-11-10 00:00:00",9238.4
"2021-11-11 00:00:00",2781.81
"2021-11-12 00:00:00",9231.41
"2021-11-13 00:00:00",8534.09
"2021-11-14 00:00:00",20153.22
"2021-11-15 00:00:00",8242.08
"2021-11-16 00:00:00",3329.44
"2021-11-17 00:00:00",22301.13
"2021-11-18 00:00:00",5577.98
"2021-11-19 00:00:00",25418.01
"2021-11-20 00:00:00",20397.78
"2021-11-21 00:00:00",5812.67
"2021-11-22 00:00:00",16893.71
"2021-11-23 00:00:00",9159.77
"2021-11-24 00:00:00",7974.62
"2021-11-25 00:00:00",6089.24
"2021-11-26 00:00:00",5322.97
"2021-11-27 00:00:00",41209.73
"2021-11-28 00:00:00",21342.32
"2021-11-29 00:00:00",5492.64
"2021-11-30 00:00:00",4621.72
"2021-12-01 00:00:00",16725.31
"2021-12-02 00:00:00",2451.73
"2021-12-03 00:00:00",2084.09
"2021-12-04 00:00:00",6375.38
"2021-12-05 00:00:00",13134.99
"2021-12-06 00:00:00",15313.18
"2021-12-07 00:00:00",8027.87
"2021-12-08 00:00:00",6045.87
"2021-12-09 00:00:00",6937.68
"2021-12-10 00:00:00",1544.96
"2021-12-11 00:00:00",4394.63
"2021-12-12 00:00:00",2084.18
"2021-12-13 00:00:00",11861.83
"2021-12-14 00:00:00",5796.59
"2021-12-15 00:00:00",1450.41
"2021-12-16 00:00:00",1373.52
"2021-12-17 00:00:00",2822.73
"2021-12-19 00:00:00",24667.15
"2021-12-20 00:00:00",6198.51
"2021-12-21 00:00:00",4642
"2021-12-22 00:00:00",8153.32
"2021-12-23 00:00:00",989.4
"2021-12-24 00:00:00",1185.19
"2021-12-25 00:00:00",2212.84
"2021-12-26 00:00:00",14615.88
"2021-12-27 00:00:00",16750.75
"2021-12-28 00:00:00",1836.43
"2021-12-29 00:00:00",3168.43
"2021-12-30 00:00:00",3655.1
"2021-12-31 00:00:00",2973.62
"2022-01-01 00:00:00",12913.94
"2022-01-02 00:00:00",15719.16
"2022-01-03 00:00:00",5479.12
"2022-01-04 00:00:00",194359.29
"2022-01-05 00:00:00",40712.03
"2022-01-06 00:00:00",11990.49
"2022-01-07 00:00:00",6519.98
"2022-01-08 00:00:00",13761.79
"2022-01-09 00:00:00",45379.75
"2022-01-10 00:00:00",15168.24
"2022-01-11 00:00:00",18526.13
"2022-01-12 00:00:00",10351.86
"2022-01-13 00:00:00",31426.85
"2022-01-14 00:00:00",138554.42
"2022-01-15 00:00:00",57275.92
"2022-01-16 00:00:00",13596.42
"2022-01-17 00:00:00",9236.52
"2022-01-18 00:00:00",10994.28
"2022-01-19 00:00:00",3360.03
"2022-01-20 00:00:00",4262.64
"2022-01-21 00:00:00",3746.36
"2022-01-22 00:00:00",3176.93
"2022-01-23 00:00:00",812.03
"2022-01-24 00:00:00",5434.43
"2022-01-25 00:00:00",22388.12
"2022-01-26 00:00:00",1729.42
"2022-01-27 00:00:00",942.4
"2022-01-28 00:00:00",6182.56
"2022-01-30 00:00:00",83557.56
"2022-01-31 00:00:00",47288.09
"2022-02-01 00:00:00",8972.1
"2022-02-02 00:00:00",32555.27
"2022-02-03 00:00:00",11247.58
"2022-02-04 00:00:00",9221.25
"2022-02-05 00:00:00",9530.21
"2022-02-06 00:00:00",20460.78
"2022-02-07 00:00:00",1235.77
"2022-02-08 00:00:00",2593.34
"2022-02-09 00:00:00",7891.65
"2022-02-10 00:00:00",3663.4
"2022-02-11 00:00:00",9141.93
"2022-02-12 00:00:00",19276.52
"2022-02-13 00:00:00",9220.47
"2022-02-14 00:00:00",3428.8
"2022-02-15 00:00:00",4883.74
"2022-02-16 00:00:00",3229.8
"2022-02-17 00:00:00",2894.48
"2022-02-18 00:00:00",5068.93
"2022-02-19 00:00:00",4538.24
"2022-02-20 00:00:00",3817.07
"2022-02-21 00:00:00",19690.96
"2022-02-22 00:00:00",40644.63
"2022-02-23 00:00:00",11290.07
"2022-02-24 00:00:00",12354.28
"2022-02-25 00:00:00",6312.89
"2022-02-27 00:00:00",1037.39
"2022-02-28 00:00:00",509.65
"2022-03-01 00:00:00",1419.91
