"DateTime","Sales (USD)"
"2021-08-13 00:00:00",1200969.63
"2021-08-14 00:00:00",453436.55
"2021-08-15 00:00:00",204388.77
"2021-08-16 00:00:00",204267.52
"2021-08-17 00:00:00",90892.45
"2021-08-18 00:00:00",94953.47
"2021-08-19 00:00:00",53130.16
"2021-08-20 00:00:00",24763.68
"2021-08-21 00:00:00",46076.56
"2021-08-22 00:00:00",68737
"2021-08-23 00:00:00",81781.72
"2021-08-24 00:00:00",472814.99
"2021-08-25 00:00:00",1017853.96
"2021-08-26 00:00:00",227497.4
"2021-08-27 00:00:00",92631.13
"2021-08-28 00:00:00",93683.77
"2021-08-29 00:00:00",291827.47
"2021-08-30 00:00:00",645401.77
"2021-08-31 00:00:00",233457.05
"2021-09-01 00:00:00",126735.62
"2021-09-02 00:00:00",62521.29
"2021-09-03 00:00:00",30649.6
"2021-09-04 00:00:00",31988.75
"2021-09-05 00:00:00",26837.97
"2021-09-06 00:00:00",22219.55
"2021-09-07 00:00:00",16323.93
"2021-09-08 00:00:00",25752.1
"2021-09-09 00:00:00",40310.61
"2021-09-10 00:00:00",14382.36
"2021-09-11 00:00:00",24344.21
"2021-09-12 00:00:00",27238.84
"2021-09-13 00:00:00",49646.55
"2021-09-14 00:00:00",89329.05
"2021-09-15 00:00:00",90970.69
"2021-09-16 00:00:00",74468.67
"2021-09-17 00:00:00",371380.57
"2021-09-18 00:00:00",990847.36
"2021-09-19 00:00:00",1118128.41
"2021-09-20 00:00:00",287433.4
"2021-09-21 00:00:00",124677.45
"2021-09-22 00:00:00",111692.98
"2021-09-23 00:00:00",184814.41
"2021-09-24 00:00:00",96070.39
"2021-09-25 00:00:00",203205.35
"2021-09-26 00:00:00",2338073.22
"2021-09-27 00:00:00",1987033.98
"2021-09-28 00:00:00",708054.5
"2021-09-29 00:00:00",506899.15
"2021-09-30 00:00:00",604188.4
"2021-10-01 00:00:00",619792.86
"2021-10-02 00:00:00",491816.2
"2021-10-03 00:00:00",534682.05
"2021-10-04 00:00:00",439934.12
"2021-10-05 00:00:00",494294.35
"2021-10-06 00:00:00",299888.18
"2021-10-07 00:00:00",185662.03
"2021-10-08 00:00:00",317458.89
"2021-10-09 00:00:00",316571.87
"2021-10-10 00:00:00",160292.59
"2021-10-11 00:00:00",271977.06
"2021-10-12 00:00:00",168788.32
"2021-10-13 00:00:00",106478.65
"2021-10-14 00:00:00",173561.71
"2021-10-15 00:00:00",152119.45
"2021-10-16 00:00:00",125283.52
"2021-10-17 00:00:00",91056.19
"2021-10-18 00:00:00",119468.28
"2021-10-19 00:00:00",99892.37
"2021-10-20 00:00:00",533562.54
"2021-10-21 00:00:00",177418.31
"2021-10-22 00:00:00",190835.2
"2021-10-23 00:00:00",195322.46
"2021-10-24 00:00:00",242694.75
"2021-10-25 00:00:00",89222.22
"2021-10-26 00:00:00",124972.78
"2021-10-27 00:00:00",79885.36
"2021-10-28 00:00:00",58325.76
"2021-10-29 00:00:00",116939.18
"2021-10-30 00:00:00",227756.88
"2021-10-31 00:00:00",161176.3
"2021-11-01 00:00:00",138620.08
"2021-11-02 00:00:00",202884.54
"2021-11-03 00:00:00",98761.33
"2021-11-04 00:00:00",270912.72
"2021-11-05 00:00:00",224206.03
"2021-11-06 00:00:00",90400.46
"2021-11-07 00:00:00",68945.38
"2021-11-08 00:00:00",83158.97
"2021-11-09 00:00:00",83723.7
"2021-11-10 00:00:00",84867.08
"2021-11-11 00:00:00",50159.81
"2021-11-12 00:00:00",99416.16
"2021-11-13 00:00:00",248424.04
"2021-11-14 00:00:00",1374583.92
"2021-11-15 00:00:00",577217.3
"2021-11-16 00:00:00",568317.26
