"DateTime","Sales (USD)"
"2020-02-06 00:00:00",638.55
"2020-02-08 00:00:00",44.79
"2020-02-11 00:00:00",9.63
"2020-02-12 00:00:00",1333.25
"2020-02-13 00:00:00",209.14
"2020-02-14 00:00:00",30.5
"2020-02-17 00:00:00",128.32
"2020-02-18 00:00:00",68.19
"2020-02-19 00:00:00",5.17
"2020-02-20 00:00:00",112.5
"2020-02-21 00:00:00",130.88
"2020-02-22 00:00:00",23.56
"2020-02-23 00:00:00",0.26
"2020-02-25 00:00:00",48.31
"2020-02-26 00:00:00",74.59
"2020-02-27 00:00:00",11.43
"2020-02-29 00:00:00",81.44
"2020-03-01 00:00:00",32.79
"2020-03-05 00:00:00",124.52
"2020-03-06 00:00:00",512.4
"2020-03-07 00:00:00",84.64
"2020-03-08 00:00:00",4.06
"2020-03-09 00:00:00",20.02
"2020-03-10 00:00:00",154.66
"2020-03-11 00:00:00",9.71
"2020-03-12 00:00:00",1.1
"2020-03-13 00:00:00",0.4
"2020-03-15 00:00:00",631.15
"2020-03-16 00:00:00",8.35
"2020-03-17 00:00:00",558.29
"2020-03-23 00:00:00",13.94
"2020-03-26 00:00:00",13.86
"2020-03-27 00:00:00",9.17
"2020-03-31 00:00:00",15.35
"2020-04-01 00:00:00",1.36
"2020-04-03 00:00:00",0.43
"2020-04-05 00:00:00",1035.74
"2020-04-06 00:00:00",1.64
"2020-04-07 00:00:00",16.42
"2020-04-08 00:00:00",1.7
"2020-04-09 00:00:00",17.88
"2020-04-10 00:00:00",0.16
"2020-04-12 00:00:00",12.58
"2020-04-13 00:00:00",23.74
"2020-04-14 00:00:00",84.02
"2020-04-15 00:00:00",255.36
"2020-04-16 00:00:00",5.19
"2020-04-18 00:00:00",28.22
"2020-04-19 00:00:00",372.12
"2020-04-20 00:00:00",1.71
"2020-04-22 00:00:00",20.08
"2020-04-25 00:00:00",43.35
"2020-04-26 00:00:00",68.6
"2020-04-27 00:00:00",0
"2020-04-28 00:00:00",12952.66
"2020-04-29 00:00:00",105.17
"2020-04-30 00:00:00",90.82
"2020-05-01 00:00:00",66.79
"2020-05-02 00:00:00",239.89
"2020-05-03 00:00:00",35.56
"2020-05-05 00:00:00",65.56
"2020-05-06 00:00:00",18.25
"2020-05-07 00:00:00",21.3
"2020-05-08 00:00:00",253.67
"2020-05-09 00:00:00",6.32
"2020-05-10 00:00:00",30.01
"2020-05-11 00:00:00",9.29
"2020-05-12 00:00:00",107.31
"2020-05-13 00:00:00",88.97
"2020-05-14 00:00:00",50.88
