"DateTime","Sales (USD)"
"2020-02-25 00:00:00",1596.46
"2020-02-26 00:00:00",5459.13
"2020-02-27 00:00:00",3221.89
"2020-02-28 00:00:00",8998.58
"2020-02-29 00:00:00",3539.51
"2020-03-01 00:00:00",6672.97
"2020-03-02 00:00:00",8729.27
"2020-03-03 00:00:00",23610.08
"2020-03-04 00:00:00",12172.71
"2020-03-05 00:00:00",1652.7
"2020-03-06 00:00:00",4943.42
"2020-03-07 00:00:00",9029.43
"2020-03-08 00:00:00",9523.8
"2020-03-09 00:00:00",8255.18
"2020-03-10 00:00:00",5930
"2020-03-11 00:00:00",1291.04
"2020-03-12 00:00:00",504.13
"2020-03-13 00:00:00",977.84
"2020-03-14 00:00:00",703.37
"2020-03-15 00:00:00",384.26
"2020-03-16 00:00:00",2150.78
"2020-03-17 00:00:00",271.68
"2020-03-18 00:00:00",888.47
"2020-03-19 00:00:00",2150.22
"2020-03-20 00:00:00",1701.85
"2020-03-21 00:00:00",12582.91
"2020-03-22 00:00:00",484.2
"2020-03-23 00:00:00",329.21
"2020-03-24 00:00:00",564.91
"2020-03-25 00:00:00",540.92
"2020-03-26 00:00:00",153.09
"2020-03-27 00:00:00",540.97
"2020-03-28 00:00:00",1136.61
"2020-03-29 00:00:00",616.91
"2020-03-30 00:00:00",511.78
"2020-03-31 00:00:00",552.84
"2020-04-01 00:00:00",294.44
"2020-04-02 00:00:00",731.84
"2020-04-03 00:00:00",1180.79
"2020-04-04 00:00:00",97.57
"2020-04-05 00:00:00",187.55
"2020-04-06 00:00:00",514.82
"2020-04-07 00:00:00",167.17
"2020-04-08 00:00:00",41.59
"2020-04-09 00:00:00",32.68
"2020-04-10 00:00:00",90.2
"2020-04-11 00:00:00",3.17
"2020-04-12 00:00:00",93.18
"2020-04-13 00:00:00",3.11
"2020-04-14 00:00:00",3.21
"2020-04-15 00:00:00",202.38
"2020-04-16 00:00:00",14.64
"2020-04-17 00:00:00",6.54
"2020-04-18 00:00:00",18.81
"2020-04-20 00:00:00",37.62
"2020-04-21 00:00:00",45.71
"2020-04-22 00:00:00",83.62
"2020-04-23 00:00:00",72.96
"2020-04-24 00:00:00",1005.08
"2020-04-26 00:00:00",2.66
"2020-04-27 00:00:00",766.17
"2020-04-28 00:00:00",221.7
"2020-04-29 00:00:00",272.46
"2020-05-01 00:00:00",5.74
"2020-05-02 00:00:00",42.68
"2020-05-03 00:00:00",1.86
"2020-05-04 00:00:00",12.21
"2020-05-07 00:00:00",1.68
"2020-05-10 00:00:00",13.28
"2020-05-12 00:00:00",95.97
"2020-05-14 00:00:00",9164.88
"2020-05-21 00:00:00",26.61
"2020-05-22 00:00:00",45.64
"2020-05-24 00:00:00",7.97
"2020-05-26 00:00:00",13.07
"2020-05-27 00:00:00",983.82
"2020-05-30 00:00:00",1.22
"2020-05-31 00:00:00",9.71
"2020-06-01 00:00:00",73.9
"2020-06-02 00:00:00",590.58
"2020-06-03 00:00:00",351.27
"2020-06-07 00:00:00",342.14
"2020-06-08 00:00:00",4.89
"2020-06-09 00:00:00",122.16
"2020-06-13 00:00:00",56.32
"2020-06-14 00:00:00",185.48
"2020-06-15 00:00:00",11.33
"2020-06-16 00:00:00",136.47
"2020-06-18 00:00:00",18.62
"2020-06-19 00:00:00",57.99
"2020-06-21 00:00:00",19.83
"2020-06-22 00:00:00",16.05
"2020-06-24 00:00:00",86.81
"2020-06-25 00:00:00",17.57
"2020-06-26 00:00:00",697.7
"2020-06-29 00:00:00",6.8
"2020-06-30 00:00:00",4.85
"2020-07-01 00:00:00",15.95
"2020-07-02 00:00:00",13.04
"2020-07-03 00:00:00",4.81
"2020-07-06 00:00:00",14.34
"2020-07-09 00:00:00",134.12
"2020-07-10 00:00:00",23.93
"2020-07-14 00:00:00",344.11
"2020-07-16 00:00:00",8.17
"2020-07-17 00:00:00",267.77
"2020-07-19 00:00:00",18.91
"2020-07-20 00:00:00",8.27
"2020-07-23 00:00:00",21.31
"2020-07-24 00:00:00",62.53
"2020-07-27 00:00:00",12.93
"2020-08-10 00:00:00",11.66
"2020-08-18 00:00:00",402.81
"2020-08-20 00:00:00",4154.27
"2020-08-22 00:00:00",116.79
"2020-08-25 00:00:00",2245.41
"2020-08-27 00:00:00",18427.82
"2020-08-29 00:00:00",319.89
"2020-08-31 00:00:00",87.22
"2020-09-01 00:00:00",941.99
"2020-09-03 00:00:00",20233.72
"2020-09-04 00:00:00",9087.91
"2020-09-05 00:00:00",23.2
"2020-09-07 00:00:00",1638.98
"2020-09-08 00:00:00",9531.2
"2020-09-10 00:00:00",561.26
"2020-09-11 00:00:00",874.41
"2020-09-12 00:00:00",664.13
"2020-09-13 00:00:00",2355.77
"2020-09-14 00:00:00",4981.62
"2020-09-15 00:00:00",54.59
"2020-09-16 00:00:00",1349.13
"2020-09-17 00:00:00",474.62
"2020-09-18 00:00:00",38.23
"2020-09-19 00:00:00",43.92
"2020-09-20 00:00:00",74.24
"2020-09-21 00:00:00",2131.79
"2020-09-22 00:00:00",292.2
"2020-09-23 00:00:00",167.84
"2020-09-24 00:00:00",736.85
"2020-09-25 00:00:00",3309.03
"2020-09-26 00:00:00",448.61
"2020-09-27 00:00:00",831.1
"2020-09-28 00:00:00",3837.79
"2020-09-29 00:00:00",164.38
"2020-09-30 00:00:00",838.03
"2020-10-01 00:00:00",17424.89
"2020-10-02 00:00:00",2344.84
"2020-10-03 00:00:00",5419.29
"2020-10-04 00:00:00",12894.54
"2020-10-05 00:00:00",22132.11
"2020-10-06 00:00:00",9653.37
"2020-10-07 00:00:00",7185.12
"2020-10-08 00:00:00",3370.22
"2020-10-09 00:00:00",2430.65
"2020-10-10 00:00:00",240.03
"2020-10-11 00:00:00",693.24
"2020-10-12 00:00:00",762.25
"2020-10-13 00:00:00",800.5
"2020-10-14 00:00:00",7359.51
"2020-10-15 00:00:00",789.22
"2020-10-16 00:00:00",3122.33
