"DateTime","Sales (USD)"
"2021-08-07 00:00:00",2627358.8
"2021-08-08 00:00:00",14946792.61
"2021-08-09 00:00:00",5223111.9
"2021-08-10 00:00:00",2319893.29
"2021-08-11 00:00:00",1009753.1
"2021-08-12 00:00:00",867332.04
"2021-08-13 00:00:00",545708.78
"2021-08-14 00:00:00",406197.29
"2021-08-15 00:00:00",350863.83
"2021-08-16 00:00:00",248759.38
"2021-08-17 00:00:00",209616.83
"2021-08-18 00:00:00",110402.25
"2021-08-19 00:00:00",150775.16
"2021-08-20 00:00:00",140814.11
"2021-08-21 00:00:00",191998.24
"2021-08-22 00:00:00",230264.87
"2021-08-23 00:00:00",287746.41
"2021-08-24 00:00:00",387778.35
"2021-08-25 00:00:00",468789.4
"2021-08-26 00:00:00",264758.17
"2021-08-27 00:00:00",166827.09
"2021-08-28 00:00:00",712799.7
"2021-08-29 00:00:00",414100.1
"2021-08-30 00:00:00",557609.64
"2021-08-31 00:00:00",553809.64
"2021-09-01 00:00:00",1835248.82
"2021-09-02 00:00:00",228241.91
"2021-09-03 00:00:00",175893.79
"2021-09-04 00:00:00",129771.28
"2021-09-05 00:00:00",170467.94
"2021-09-06 00:00:00",142670.43
"2021-09-07 00:00:00",120370.83
"2021-09-08 00:00:00",121350.14
"2021-09-09 00:00:00",168467.63
"2021-09-10 00:00:00",106252.87
"2021-09-11 00:00:00",117687.68
"2021-09-12 00:00:00",133453.96
"2021-09-13 00:00:00",47291.75
"2021-09-14 00:00:00",242316
"2021-09-15 00:00:00",90211.97
"2021-09-16 00:00:00",104114.7
"2021-09-17 00:00:00",90851.13
"2021-09-18 00:00:00",115121.94
"2021-09-19 00:00:00",116972.58
"2021-09-20 00:00:00",88233.24
"2021-09-21 00:00:00",121622.95
"2021-09-22 00:00:00",114860.55
"2021-09-23 00:00:00",133977.65
"2021-09-24 00:00:00",97440.98
"2021-09-25 00:00:00",125960.5
"2021-09-26 00:00:00",132244.52
"2021-09-27 00:00:00",95550.67
"2021-09-28 00:00:00",389735.36
"2021-09-29 00:00:00",312567.54
"2021-09-30 00:00:00",250200.71
"2021-10-01 00:00:00",646359.76
"2021-10-02 00:00:00",333816.51
"2021-10-03 00:00:00",672971.21
"2021-10-04 00:00:00",313385.34
"2021-10-05 00:00:00",412187.98
"2021-10-06 00:00:00",907232.59
"2021-10-07 00:00:00",354303.71
"2021-10-08 00:00:00",556553.94
"2021-10-09 00:00:00",234191.5
"2021-10-10 00:00:00",214904.04
"2021-10-11 00:00:00",473573.54
"2021-10-12 00:00:00",547179.7
"2021-10-13 00:00:00",662787.71
"2021-10-14 00:00:00",326195.2
"2021-10-15 00:00:00",207122.19
"2021-10-16 00:00:00",213487.22
"2021-10-17 00:00:00",280955.82
"2021-10-18 00:00:00",259261.8
"2021-10-19 00:00:00",371003.43
"2021-10-20 00:00:00",236976.92
"2021-10-21 00:00:00",457225.23
"2021-10-22 00:00:00",276881.75
"2021-10-23 00:00:00",369955.26
"2021-10-24 00:00:00",210700.43
"2021-10-25 00:00:00",266197.05
"2021-10-26 00:00:00",159432.62
"2021-10-27 00:00:00",137715.3
"2021-10-28 00:00:00",237283.32
"2021-10-29 00:00:00",191308.03
"2021-10-30 00:00:00",199213.96
"2021-10-31 00:00:00",242201.84
"2021-11-01 00:00:00",112550.69
"2021-11-02 00:00:00",108266.55
"2021-11-03 00:00:00",76309.1
"2021-11-04 00:00:00",256664.12
"2021-11-05 00:00:00",290858.28
"2021-11-06 00:00:00",148647.09
"2021-11-07 00:00:00",160655.37
"2021-11-08 00:00:00",190032.75
"2021-11-09 00:00:00",182364.41
"2021-11-10 00:00:00",106359.45
"2021-11-11 00:00:00",145688.52
"2021-11-12 00:00:00",170933.94
"2021-11-13 00:00:00",185373.92
"2021-11-14 00:00:00",147777.11
"2021-11-15 00:00:00",282743.9
"2021-11-16 00:00:00",213531.9
"2021-11-17 00:00:00",237488.56
"2021-11-18 00:00:00",182078.44
"2021-11-19 00:00:00",356799.83
"2021-11-20 00:00:00",399413.13
"2021-11-21 00:00:00",230641.89
"2021-11-22 00:00:00",180511.41
"2021-11-23 00:00:00",243771.1
"2021-11-24 00:00:00",406738.24
"2021-11-25 00:00:00",331950.37
"2021-11-26 00:00:00",215492.4
