"DateTime","Sales (USD)"
"2021-10-02 00:00:00",19233.02
"2021-10-03 00:00:00",107157.23
"2021-10-04 00:00:00",427553.85
"2021-10-05 00:00:00",1416067.07
"2021-10-06 00:00:00",586864.98
"2021-10-07 00:00:00",2457351.18
"2021-10-08 00:00:00",2113532.41
"2021-10-09 00:00:00",900802.37
"2021-10-10 00:00:00",398212.51
"2021-10-11 00:00:00",227815.32
"2021-10-12 00:00:00",192991.09
"2021-10-13 00:00:00",246116.97
"2021-10-14 00:00:00",409014.77
"2021-10-15 00:00:00",157663.77
"2021-10-16 00:00:00",210647.79
"2021-10-17 00:00:00",176324.97
"2021-10-18 00:00:00",325919.06
"2021-10-19 00:00:00",255326.98
"2021-10-20 00:00:00",92824.96
"2021-10-21 00:00:00",95643.68
"2021-10-22 00:00:00",245199.75
"2021-10-23 00:00:00",99816.89
"2021-10-24 00:00:00",67920.92
"2021-10-25 00:00:00",56528.18
"2021-10-26 00:00:00",69702.7
"2021-10-27 00:00:00",27393.13
"2021-10-28 00:00:00",52680.61
"2021-10-29 00:00:00",45326.94
"2021-10-30 00:00:00",18444.36
"2021-10-31 00:00:00",29255.55
"2021-11-01 00:00:00",89356.08
"2021-11-02 00:00:00",110647.46
"2021-11-03 00:00:00",69358.79
"2021-11-04 00:00:00",63876.18
"2021-11-05 00:00:00",52417.54
"2021-11-06 00:00:00",44245.12
"2021-11-07 00:00:00",26700.1
"2021-11-08 00:00:00",21918.81
"2021-11-09 00:00:00",26584.93
"2021-11-10 00:00:00",32190.64
"2021-11-11 00:00:00",10999.73
"2021-11-12 00:00:00",14992.46
"2021-11-13 00:00:00",9441.83
"2021-11-14 00:00:00",61729.54
"2021-11-15 00:00:00",22530.72
"2021-11-16 00:00:00",62059.3
"2021-11-17 00:00:00",75754.05
"2021-11-18 00:00:00",82477.89
"2021-11-19 00:00:00",41890.33
"2021-11-20 00:00:00",54272.43
"2021-11-21 00:00:00",17168.52
"2021-11-22 00:00:00",31055.7
"2021-11-23 00:00:00",15238.55
"2021-11-24 00:00:00",23769.88
"2021-11-25 00:00:00",26345.24
"2021-11-26 00:00:00",8909.45
"2021-11-27 00:00:00",18008.49
"2021-11-28 00:00:00",10814.29
"2021-11-29 00:00:00",33381.46
"2021-11-30 00:00:00",20554.71
"2021-12-01 00:00:00",14001.44
"2021-12-02 00:00:00",12525.66
"2021-12-03 00:00:00",12773.05
"2021-12-04 00:00:00",10715.58
"2021-12-05 00:00:00",18174.51
"2021-12-06 00:00:00",16197.33
"2021-12-07 00:00:00",14768.08
"2021-12-08 00:00:00",15756.78
"2021-12-09 00:00:00",6537.02
"2021-12-10 00:00:00",15570.68
"2021-12-11 00:00:00",5161.8
"2021-12-12 00:00:00",12615.77
"2021-12-13 00:00:00",9022.3
"2021-12-14 00:00:00",6444.03
"2021-12-15 00:00:00",1951.48
"2021-12-16 00:00:00",10958.34
"2021-12-17 00:00:00",19356.55
"2021-12-18 00:00:00",18406.38
"2021-12-19 00:00:00",7860.44
"2021-12-20 00:00:00",8332.85
"2021-12-21 00:00:00",29699.27
"2021-12-22 00:00:00",15979.88
"2021-12-23 00:00:00",4860.45
"2021-12-24 00:00:00",18420.52
"2021-12-25 00:00:00",4033.14
"2021-12-26 00:00:00",24260.4
"2021-12-27 00:00:00",15540.53
"2021-12-28 00:00:00",29091.86
"2021-12-29 00:00:00",17670.76
"2021-12-30 00:00:00",14873.6
"2021-12-31 00:00:00",109210.28
"2022-01-01 00:00:00",665075.4
"2022-01-02 00:00:00",214191.5
"2022-01-03 00:00:00",464324.95
"2022-01-04 00:00:00",193848.51
"2022-01-05 00:00:00",112127.4
"2022-01-06 00:00:00",64713.13
"2022-01-07 00:00:00",87617.35
"2022-01-08 00:00:00",205953.41
"2022-01-09 00:00:00",370568.08
"2022-01-10 00:00:00",278047.43
"2022-01-11 00:00:00",117925.31
"2022-01-12 00:00:00",71908.57
"2022-01-13 00:00:00",55929.68
"2022-01-14 00:00:00",80802.23
"2022-01-15 00:00:00",56914.15
"2022-01-16 00:00:00",63082.99
"2022-01-17 00:00:00",79211.49
"2022-01-18 00:00:00",313836.76
"2022-01-19 00:00:00",73916.81
"2022-01-20 00:00:00",70430.32
"2022-01-21 00:00:00",60515.55
"2022-01-22 00:00:00",31018.51
"2022-01-23 00:00:00",35955.18
"2022-01-24 00:00:00",55628.71
"2022-01-25 00:00:00",47756.61
"2022-01-26 00:00:00",78768.61
"2022-01-27 00:00:00",137365.14
"2022-01-28 00:00:00",221691.08
"2022-01-29 00:00:00",371659.7
"2022-01-30 00:00:00",143166.44
