"DateTime","Sales (USD)"
"2021-09-03 00:00:00",3623345.34
"2021-09-04 00:00:00",1783071.07
"2021-09-05 00:00:00",3095489.97
"2021-09-06 00:00:00",849770.57
"2021-09-07 00:00:00",761920.23
"2021-09-08 00:00:00",268480.31
"2021-09-09 00:00:00",231139.65
"2021-09-10 00:00:00",476277.86
"2021-09-11 00:00:00",96040.47
"2021-09-12 00:00:00",132764.58
"2021-09-13 00:00:00",128607.16
"2021-09-14 00:00:00",132207.3
"2021-09-15 00:00:00",47643.69
"2021-09-16 00:00:00",72347.66
"2021-09-17 00:00:00",361018.49
"2021-09-18 00:00:00",203385.01
"2021-09-19 00:00:00",1355181.91
"2021-09-20 00:00:00",217991.66
"2021-09-21 00:00:00",135341.69
"2021-09-22 00:00:00",92303.2
"2021-09-23 00:00:00",107558.06
"2021-09-24 00:00:00",96204.43
"2021-09-25 00:00:00",16981.38
"2021-09-26 00:00:00",70926.34
"2021-09-27 00:00:00",38996.63
"2021-09-28 00:00:00",137961.26
"2021-09-29 00:00:00",63286.99
"2021-09-30 00:00:00",52645.46
"2021-10-01 00:00:00",37612.37
"2021-10-02 00:00:00",58356.47
"2021-10-03 00:00:00",72446
"2021-10-04 00:00:00",225964.59
"2021-10-05 00:00:00",515738.16
"2021-10-06 00:00:00",247473.68
"2021-10-07 00:00:00",137329.93
"2021-10-08 00:00:00",350252.66
"2021-10-09 00:00:00",247850.03
"2021-10-10 00:00:00",950982.78
"2021-10-11 00:00:00",260102.98
"2021-10-12 00:00:00",153565.71
"2021-10-13 00:00:00",142814.19
"2021-10-14 00:00:00",120190.06
"2021-10-15 00:00:00",180889.17
"2021-10-16 00:00:00",122107.91
"2021-10-17 00:00:00",185461.41
"2021-10-18 00:00:00",115417.79
"2021-10-19 00:00:00",120632.93
"2021-10-20 00:00:00",68300.56
"2021-10-21 00:00:00",114940.01
"2021-10-22 00:00:00",64647.59
"2021-10-23 00:00:00",101093.64
"2021-10-24 00:00:00",250335.78
"2021-10-25 00:00:00",288773.75
"2021-10-26 00:00:00",107093.82
"2021-10-27 00:00:00",94567.92
"2021-10-28 00:00:00",75802.84
"2021-10-29 00:00:00",90362.08
"2021-10-30 00:00:00",180547.94
"2021-10-31 00:00:00",1077959.6
"2021-11-01 00:00:00",894148.63
"2021-11-02 00:00:00",276291.92
"2021-11-03 00:00:00",147898.34
"2021-11-04 00:00:00",92136.39
"2021-11-05 00:00:00",65631.74
"2021-11-06 00:00:00",71369.49
"2021-11-07 00:00:00",73872.73
"2021-11-08 00:00:00",83230.54
"2021-11-09 00:00:00",47285.33
"2021-11-10 00:00:00",68757.28
"2021-11-11 00:00:00",24217.63
"2021-11-12 00:00:00",43194.11
"2021-11-13 00:00:00",40868.42
"2021-11-14 00:00:00",97722.8
"2021-11-15 00:00:00",27765.62
"2021-11-16 00:00:00",26422.78
"2021-11-17 00:00:00",42642.83
"2021-11-18 00:00:00",99680.42
"2021-11-19 00:00:00",134950.53
"2021-11-20 00:00:00",100591.07
"2021-11-21 00:00:00",100177.04
"2021-11-22 00:00:00",69549.02
"2021-11-23 00:00:00",54520.77
"2021-11-24 00:00:00",85421
"2021-11-25 00:00:00",32074.27
"2021-11-26 00:00:00",16550.67
"2021-11-27 00:00:00",36342.56
"2021-11-28 00:00:00",56898.22
"2021-11-29 00:00:00",32839.95
"2021-11-30 00:00:00",41971.6
"2021-12-01 00:00:00",37516.54
"2021-12-02 00:00:00",52815.77
"2021-12-03 00:00:00",23061.97
"2021-12-04 00:00:00",25312.77
"2021-12-05 00:00:00",49913.59
"2021-12-06 00:00:00",85229.76
"2021-12-07 00:00:00",78643.04
"2021-12-08 00:00:00",83670.13
"2021-12-09 00:00:00",59199.66
"2021-12-10 00:00:00",39954.62
"2021-12-11 00:00:00",45428.03
"2021-12-12 00:00:00",34116.04
"2021-12-13 00:00:00",67452.8
"2021-12-14 00:00:00",60516.03
"2021-12-15 00:00:00",36240.1
"2021-12-16 00:00:00",26300.8
"2021-12-17 00:00:00",54254.15
"2021-12-18 00:00:00",11124.17
"2021-12-19 00:00:00",43581.83
"2021-12-20 00:00:00",10635.48
"2021-12-21 00:00:00",33064.72
