"DateTime","Sales (USD)"
"2021-08-27 00:00:00",2049991.59
"2021-08-28 00:00:00",2316734.71
"2021-08-29 00:00:00",1099730.9
"2021-08-30 00:00:00",466588.68
"2021-08-31 00:00:00",519825.59
"2021-09-01 00:00:00",4225002.88
"2021-09-02 00:00:00",751661
"2021-09-03 00:00:00",1558513.69
"2021-09-04 00:00:00",1234557.99
"2021-09-05 00:00:00",997176.41
"2021-09-06 00:00:00",497692.77
"2021-09-07 00:00:00",667745.92
"2021-09-08 00:00:00",1961981.19
"2021-09-09 00:00:00",1754409.63
"2021-09-10 00:00:00",1540587.9
"2021-09-11 00:00:00",969693.79
"2021-09-12 00:00:00",462799.83
"2021-09-13 00:00:00",374042.94
"2021-09-14 00:00:00",371920.08
"2021-09-15 00:00:00",632372.02
"2021-09-16 00:00:00",728679.49
"2021-09-17 00:00:00",475348.47
"2021-09-18 00:00:00",219581.43
"2021-09-19 00:00:00",441072.23
"2021-09-20 00:00:00",384730.02
"2021-09-21 00:00:00",140777.92
"2021-09-22 00:00:00",454625.03
"2021-09-23 00:00:00",170520.71
"2021-09-24 00:00:00",194983.73
"2021-09-25 00:00:00",512028.04
"2021-09-26 00:00:00",210753.69
"2021-09-27 00:00:00",214910.64
"2021-09-28 00:00:00",212096.83
"2021-09-29 00:00:00",422167.45
"2021-09-30 00:00:00",243202.97
"2021-10-01 00:00:00",178657.2
"2021-10-02 00:00:00",78907.56
"2021-10-03 00:00:00",199479.27
"2021-10-04 00:00:00",91180.56
"2021-10-05 00:00:00",76139
"2021-10-06 00:00:00",210695.75
"2021-10-07 00:00:00",177203.93
"2021-10-08 00:00:00",74548.56
"2021-10-09 00:00:00",83825.67
"2021-10-10 00:00:00",186725.33
"2021-10-11 00:00:00",93880.59
"2021-10-12 00:00:00",89017.95
"2021-10-13 00:00:00",43503.11
"2021-10-14 00:00:00",63564.19
"2021-10-15 00:00:00",82830.32
"2021-10-16 00:00:00",60193.58
"2021-10-17 00:00:00",23699.51
"2021-10-18 00:00:00",32390.37
"2021-10-19 00:00:00",57297.64
"2021-10-20 00:00:00",86234.65
"2021-10-21 00:00:00",108971.21
"2021-10-22 00:00:00",55598.21
"2021-10-23 00:00:00",26281.85
"2021-10-24 00:00:00",21010.75
"2021-10-25 00:00:00",89578.34
"2021-10-26 00:00:00",29023.01
"2021-10-27 00:00:00",21603.07
"2021-10-28 00:00:00",9284.25
"2021-10-29 00:00:00",7068.6
"2021-10-30 00:00:00",23940.41
"2021-10-31 00:00:00",22025.62
"2021-11-01 00:00:00",4712.58
"2021-11-02 00:00:00",28090.21
"2021-11-03 00:00:00",27526.02
"2021-11-04 00:00:00",55649.2
"2021-11-05 00:00:00",21240.82
"2021-11-06 00:00:00",4707.62
"2021-11-07 00:00:00",8174.35
"2021-11-08 00:00:00",11952.05
"2021-11-09 00:00:00",28153.94
"2021-11-10 00:00:00",8661.89
"2021-11-11 00:00:00",4222.71
"2021-11-12 00:00:00",38333.29
"2021-11-13 00:00:00",10551.49
"2021-11-14 00:00:00",5913.68
"2021-11-15 00:00:00",5897.31
"2021-11-16 00:00:00",5706
"2021-11-17 00:00:00",9438.06
"2021-11-18 00:00:00",34893.63
"2021-11-19 00:00:00",22913.76
"2021-11-20 00:00:00",6396.3
"2021-11-21 00:00:00",4060.57
"2021-11-22 00:00:00",819.09
"2021-11-23 00:00:00",4245.55
"2021-11-24 00:00:00",25413.51
"2021-11-25 00:00:00",3416.67
"2021-11-26 00:00:00",3589.32
"2021-11-27 00:00:00",3722.66
"2021-11-28 00:00:00",4362.78
"2021-11-29 00:00:00",13231.14
"2021-11-30 00:00:00",18177.92
"2021-12-01 00:00:00",53559.9
