"DateTime","Sales (USD)"
"2022-02-03 00:00:00",727824.92
"2022-02-04 00:00:00",1121268.8
"2022-02-05 00:00:00",1219641.2
"2022-02-06 00:00:00",5143815.69
"2022-02-07 00:00:00",743205.65
"2022-02-08 00:00:00",274382.57
"2022-02-09 00:00:00",217969.71
"2022-02-10 00:00:00",111297.6
"2022-02-11 00:00:00",80793.3
"2022-02-12 00:00:00",64639.26
"2022-02-13 00:00:00",82362.08
"2022-02-14 00:00:00",79612.15
"2022-02-15 00:00:00",61468.51
"2022-02-16 00:00:00",54084.91
"2022-02-17 00:00:00",23968.09
"2022-02-18 00:00:00",40017.76
"2022-02-19 00:00:00",26345.77
"2022-02-20 00:00:00",30621.98
"2022-02-21 00:00:00",58194.53
"2022-02-22 00:00:00",60164.08
"2022-02-23 00:00:00",25452.99
"2022-02-24 00:00:00",25258.63
"2022-02-25 00:00:00",11886.79
"2022-02-26 00:00:00",23040.25
"2022-02-27 00:00:00",8629.18
"2022-02-28 00:00:00",22848.34
"2022-03-01 00:00:00",24749.28
"2022-03-02 00:00:00",0
