"DateTime","Sales (USD)"
"2021-08-16 00:00:00",677220.49
"2021-08-17 00:00:00",4295804.19
"2021-08-18 00:00:00",596356.09
"2021-08-19 00:00:00",158333.98
"2021-08-20 00:00:00",135500.39
"2021-08-21 00:00:00",83647.82
"2021-08-22 00:00:00",101276.84
"2021-08-23 00:00:00",399060.47
"2021-08-24 00:00:00",524651.23
"2021-08-25 00:00:00",189622.75
"2021-08-26 00:00:00",101311.19
"2021-08-27 00:00:00",77466.86
"2021-08-28 00:00:00",111927.32
"2021-08-29 00:00:00",48896.74
"2021-08-30 00:00:00",218137.43
"2021-08-31 00:00:00",86423.01
"2021-09-01 00:00:00",52071.23
"2021-09-02 00:00:00",28225.01
"2021-09-03 00:00:00",28591.25
"2021-09-04 00:00:00",18709.13
"2021-09-05 00:00:00",11314.24
"2021-09-06 00:00:00",20500.33
"2021-09-07 00:00:00",9606.49
"2021-09-08 00:00:00",6837.55
"2021-09-09 00:00:00",7469.87
"2021-09-10 00:00:00",8468.93
"2021-09-11 00:00:00",7541.25
"2021-09-12 00:00:00",8845.52
"2021-09-13 00:00:00",8359.1
"2021-09-14 00:00:00",87033.22
"2021-09-15 00:00:00",37662.22
"2021-09-16 00:00:00",21955.63
"2021-09-17 00:00:00",9610.18
"2021-09-18 00:00:00",10292.77
"2021-09-19 00:00:00",8047.73
"2021-09-20 00:00:00",9237.01
"2021-09-21 00:00:00",9467.17
"2021-09-22 00:00:00",45093.52
"2021-09-23 00:00:00",3998.85
"2021-09-24 00:00:00",9557.52
"2021-09-25 00:00:00",5422.06
"2021-09-26 00:00:00",4698.33
"2021-09-27 00:00:00",40905.62
"2021-09-28 00:00:00",44705.55
"2021-09-29 00:00:00",8987.95
"2021-09-30 00:00:00",6209.26
"2021-10-01 00:00:00",9899.47
"2021-10-02 00:00:00",5940.64
"2021-10-03 00:00:00",3705.43
"2021-10-04 00:00:00",2860.76
"2021-10-05 00:00:00",3890
"2021-10-06 00:00:00",16185.67
"2021-10-07 00:00:00",37115.4
"2021-10-08 00:00:00",163288.48
"2021-10-09 00:00:00",17544.54
"2021-10-10 00:00:00",8846.25
"2021-10-11 00:00:00",7779.6
"2021-10-12 00:00:00",5035.44
"2021-10-13 00:00:00",90670.76
"2021-10-14 00:00:00",3962.09
"2021-10-15 00:00:00",3574.25
"2021-10-16 00:00:00",5452.2
"2021-10-17 00:00:00",3836.59
"2021-10-18 00:00:00",1964.3
"2021-10-19 00:00:00",14206.59
"2021-10-20 00:00:00",5439.77
"2021-10-21 00:00:00",1851.08
"2021-10-22 00:00:00",8067.89
"2021-10-23 00:00:00",1841.27
"2021-10-24 00:00:00",2638.97
"2021-10-25 00:00:00",3860.21
"2021-10-26 00:00:00",1624.26
"2021-10-30 00:00:00",1152.67
"2021-12-01 00:00:00",517.92
"2021-12-02 00:00:00",1529.91
"2021-12-03 00:00:00",815.77
"2021-12-04 00:00:00",489.86
"2021-12-05 00:00:00",1296.34
"2021-12-06 00:00:00",329.29
"2021-12-07 00:00:00",855.62
"2021-12-08 00:00:00",1460.62
"2021-12-09 00:00:00",311.13
"2021-12-10 00:00:00",813.9
"2021-12-11 00:00:00",1146.37
"2021-12-12 00:00:00",1211.14
"2021-12-13 00:00:00",4030.81
"2021-12-14 00:00:00",1548.81
"2021-12-15 00:00:00",116.33
"2021-12-16 00:00:00",1092.73
"2021-12-17 00:00:00",368.33
"2021-12-18 00:00:00",641.93
"2021-12-19 00:00:00",642.26
"2021-12-20 00:00:00",852.46
"2021-12-21 00:00:00",230.75
"2021-12-22 00:00:00",303.4
"2021-12-23 00:00:00",483.99
"2021-12-24 00:00:00",467.83
"2021-12-25 00:00:00",118.34
"2021-12-26 00:00:00",1455.95
"2021-12-27 00:00:00",558.29
"2021-12-28 00:00:00",725.87
"2021-12-29 00:00:00",858.48
"2021-12-30 00:00:00",1269.74
"2021-12-31 00:00:00",1287.72
"2022-01-01 00:00:00",73.4
"2022-01-02 00:00:00",1830.32
"2022-01-03 00:00:00",1808.62
"2022-01-04 00:00:00",11507.75
"2022-01-05 00:00:00",62610.82
"2022-01-06 00:00:00",3724.61
"2022-01-07 00:00:00",633.6
"2022-01-08 00:00:00",292.99
"2022-01-09 00:00:00",1105.19
"2022-01-10 00:00:00",3864.24
"2022-01-11 00:00:00",528.35
"2022-01-12 00:00:00",1103.4
"2022-01-13 00:00:00",726.44
"2022-01-14 00:00:00",231.93
"2022-01-15 00:00:00",775.06
"2022-01-16 00:00:00",301.4
"2022-01-17 00:00:00",2115.3
"2022-01-18 00:00:00",1692.17
"2022-01-19 00:00:00",212.18
"2022-01-21 00:00:00",909.64
"2022-01-23 00:00:00",938.06
"2022-01-24 00:00:00",241.4
"2022-01-26 00:00:00",196.57
"2022-01-28 00:00:00",2672.85
"2022-01-29 00:00:00",5122.13
"2022-01-30 00:00:00",1023.86
"2022-01-31 00:00:00",1460.03
"2022-02-01 00:00:00",1063.21
"2022-02-02 00:00:00",807.35
"2022-02-03 00:00:00",3130.56
"2022-02-05 00:00:00",1544.8
"2022-02-06 00:00:00",301.3
"2022-02-07 00:00:00",1020.54
"2022-02-08 00:00:00",213.58
"2022-02-09 00:00:00",458.21
"2022-02-10 00:00:00",424.86
"2022-02-11 00:00:00",347.53
"2022-02-12 00:00:00",174.16
"2022-02-13 00:00:00",2089
"2022-02-14 00:00:00",2964.2
"2022-02-15 00:00:00",188.42
"2022-02-16 00:00:00",4296.21
"2022-02-17 00:00:00",622.17
"2022-02-18 00:00:00",195.16
"2022-02-19 00:00:00",468.74
"2022-02-21 00:00:00",1938.85
"2022-02-22 00:00:00",1151.04
"2022-02-23 00:00:00",919.24
"2022-02-24 00:00:00",163.69
"2022-02-25 00:00:00",653.13
"2022-02-26 00:00:00",838.95
"2022-02-27 00:00:00",538.72
"2022-02-28 00:00:00",182.07
"2022-03-01 00:00:00",576.24
