"DateTime","Sales (USD)"
"2021-09-28 00:00:00",15972.42
"2021-09-29 00:00:00",5512614.14
"2021-09-30 00:00:00",1701358.45
"2021-10-01 00:00:00",1143401.74
"2021-10-02 00:00:00",514707.7
"2021-10-03 00:00:00",1020018.16
"2021-10-04 00:00:00",973434.41
"2021-10-05 00:00:00",4290241.92
"2021-10-06 00:00:00",628589.56
"2021-10-07 00:00:00",625540.41
"2021-10-08 00:00:00",381982.56
"2021-10-09 00:00:00",307488.21
"2021-10-10 00:00:00",259531.69
"2021-10-11 00:00:00",253793.46
"2021-10-12 00:00:00",157812.2
"2021-10-13 00:00:00",136668.88
"2021-10-14 00:00:00",149858.65
"2021-10-15 00:00:00",46407.75
"2021-10-16 00:00:00",73546.8
"2021-10-17 00:00:00",47670.83
"2021-10-18 00:00:00",42642.37
"2021-10-19 00:00:00",107035.43
"2021-10-20 00:00:00",42605.94
"2021-10-21 00:00:00",47041.26
"2021-10-22 00:00:00",33919.52
"2021-10-23 00:00:00",38573.11
"2021-10-24 00:00:00",57115.98
"2021-10-25 00:00:00",22150.92
"2021-10-26 00:00:00",29994.78
"2021-10-27 00:00:00",17925.23
"2021-10-28 00:00:00",20153.6
"2021-10-29 00:00:00",19525.34
"2021-10-30 00:00:00",29994.95
"2021-10-31 00:00:00",10867
"2021-11-01 00:00:00",7115.75
"2021-11-02 00:00:00",21783.03
"2021-11-03 00:00:00",10616.51
"2021-11-04 00:00:00",13646.52
"2021-11-05 00:00:00",4008.21
"2021-11-06 00:00:00",12903.81
"2021-11-07 00:00:00",8199.81
"2021-11-08 00:00:00",20322.21
"2021-11-09 00:00:00",25866.94
"2021-11-10 00:00:00",6610.04
"2021-11-11 00:00:00",10555.05
"2021-11-12 00:00:00",18613.14
"2021-11-13 00:00:00",16450.71
"2021-11-14 00:00:00",44511.77
"2021-11-15 00:00:00",9757.01
"2021-11-16 00:00:00",14754.79
"2021-11-17 00:00:00",38755.48
"2021-11-18 00:00:00",16610.07
"2021-11-19 00:00:00",10419.34
"2021-11-20 00:00:00",9775.83
"2021-11-21 00:00:00",19671.11
"2021-11-22 00:00:00",6349
"2021-11-23 00:00:00",1791.94
"2021-11-24 00:00:00",51893.17
"2021-11-25 00:00:00",13003.29
"2021-11-26 00:00:00",6390.75
"2021-11-27 00:00:00",28097.66
"2021-11-28 00:00:00",9238.54
"2021-11-29 00:00:00",19672.97
"2021-11-30 00:00:00",13611.94
"2021-12-01 00:00:00",16866.6
"2021-12-02 00:00:00",10113.83
"2021-12-03 00:00:00",13292.09
"2021-12-04 00:00:00",9402.4
"2021-12-05 00:00:00",7671.32
"2021-12-06 00:00:00",21926.8
"2021-12-07 00:00:00",7797.16
"2021-12-08 00:00:00",8624.86
"2021-12-09 00:00:00",11235.33
"2021-12-10 00:00:00",8181.27
"2021-12-11 00:00:00",8395.56
"2021-12-12 00:00:00",3935.22
"2021-12-13 00:00:00",3533.82
"2021-12-14 00:00:00",2397.39
"2021-12-15 00:00:00",22630.9
"2021-12-16 00:00:00",7611.83
"2021-12-17 00:00:00",5640.05
"2021-12-18 00:00:00",7975.2
"2021-12-19 00:00:00",7728.63
"2021-12-20 00:00:00",10104.46
"2021-12-21 00:00:00",16301.07
"2021-12-22 00:00:00",32033.38
"2021-12-23 00:00:00",55003.75
"2021-12-24 00:00:00",17562.44
"2021-12-25 00:00:00",18659.51
"2021-12-26 00:00:00",27507.06
"2021-12-27 00:00:00",8138.7
"2021-12-28 00:00:00",6486.35
"2021-12-29 00:00:00",13155.93
"2021-12-30 00:00:00",13229.58
"2021-12-31 00:00:00",21132.59
"2022-01-01 00:00:00",27411.4
"2022-01-02 00:00:00",7676.54
"2022-01-03 00:00:00",36001.43
"2022-01-04 00:00:00",7260.52
"2022-01-05 00:00:00",16086.21
"2022-01-06 00:00:00",6615.37
"2022-01-07 00:00:00",5784.86
"2022-01-08 00:00:00",7529.5
"2022-01-09 00:00:00",7633.54
"2022-01-10 00:00:00",3358.85
"2022-01-11 00:00:00",9776.73
"2022-01-12 00:00:00",4600.05
"2022-01-13 00:00:00",14792.93
"2022-01-14 00:00:00",16992.11
"2022-01-15 00:00:00",8087.8
"2022-01-16 00:00:00",10053.05
"2022-01-17 00:00:00",5142.65
"2022-01-18 00:00:00",5194.91
"2022-01-19 00:00:00",5646.84
"2022-01-20 00:00:00",7879.03
"2022-01-21 00:00:00",3048.65
"2022-01-22 00:00:00",6234.95
"2022-01-23 00:00:00",7546.96
"2022-01-24 00:00:00",5054.73
"2022-01-25 00:00:00",8423.7
"2022-01-26 00:00:00",11746.69
"2022-01-27 00:00:00",8281.54
"2022-01-28 00:00:00",6651.38
"2022-01-29 00:00:00",6983.38
"2022-01-30 00:00:00",22676.88
"2022-01-31 00:00:00",10127.69
"2022-02-01 00:00:00",241377.11
"2022-02-02 00:00:00",282895.97
"2022-02-03 00:00:00",23977.17
"2022-02-04 00:00:00",16565.84
"2022-02-05 00:00:00",11023.35
"2022-02-06 00:00:00",11252.89
"2022-02-07 00:00:00",56820.06
"2022-02-08 00:00:00",51127.99
"2022-02-09 00:00:00",33787.88
"2022-02-10 00:00:00",10153.4
"2022-02-11 00:00:00",49403.04
"2022-02-12 00:00:00",47184.75
"2022-02-13 00:00:00",20051.97
"2022-02-14 00:00:00",12635.01
"2022-02-15 00:00:00",18912.78
"2022-02-16 00:00:00",38616.76
"2022-02-17 00:00:00",12786.24
"2022-02-18 00:00:00",9330.6
"2022-02-19 00:00:00",4485.53
"2022-02-20 00:00:00",12157.46
"2022-02-21 00:00:00",6635.48
"2022-02-22 00:00:00",5829.56
"2022-02-23 00:00:00",4700.68
"2022-02-24 00:00:00",10052.14
"2022-02-25 00:00:00",5077.77
"2022-02-26 00:00:00",4587.08
"2022-02-27 00:00:00",5945.28
"2022-02-28 00:00:00",3016.44
"2022-03-01 00:00:00",8254.97
