"DateTime","Sales (USD)"
"2021-10-11 00:00:00",2409.76
"2021-10-12 00:00:00",6035.1
"2021-10-13 00:00:00",4555443.8
"2021-10-14 00:00:00",1072030
"2021-10-15 00:00:00",487672.02
"2021-10-16 00:00:00",277022
"2021-10-17 00:00:00",279199.04
"2021-10-18 00:00:00",448385.26
"2021-10-19 00:00:00",703282.1
"2021-10-20 00:00:00",365707.62
"2021-10-21 00:00:00",682496.65
"2021-10-22 00:00:00",705044.25
"2021-10-23 00:00:00",239341.57
"2021-10-24 00:00:00",211397.87
"2021-10-25 00:00:00",227972.07
"2021-10-26 00:00:00",125805.92
"2021-10-27 00:00:00",45575.37
"2021-10-28 00:00:00",56511.3
"2021-10-29 00:00:00",76608.49
"2021-10-30 00:00:00",94767.06
"2021-10-31 00:00:00",64289.51
"2021-11-01 00:00:00",77608.87
"2021-11-02 00:00:00",50953.58
"2021-11-03 00:00:00",57874.05
"2021-11-04 00:00:00",30120.73
"2021-11-05 00:00:00",18298.86
"2021-11-06 00:00:00",15859.1
"2021-11-07 00:00:00",20081.93
"2021-11-08 00:00:00",4135.44
"2021-11-09 00:00:00",3158.16
"2021-11-10 00:00:00",5101.31
"2021-11-11 00:00:00",2932.96
"2021-11-12 00:00:00",9109.1
"2021-11-13 00:00:00",5644.04
"2021-11-14 00:00:00",1446.71
"2021-11-15 00:00:00",838.07
"2021-11-16 00:00:00",262.74
"2021-11-17 00:00:00",92.44
"2021-11-18 00:00:00",1202.27
"2021-11-19 00:00:00",3.26
"2021-11-20 00:00:00",15.44
"2021-11-21 00:00:00",2.19
"2021-11-24 00:00:00",0.43
"2021-11-25 00:00:00",161.19
"2021-11-26 00:00:00",0.81
"2021-11-27 00:00:00",8.16
"2021-11-29 00:00:00",0
"2021-11-30 00:00:00",0
"2022-01-01 00:00:00",0
"2022-01-02 00:00:00",0
"2022-01-04 00:00:00",49.85
"2022-01-05 00:00:00",0
"2022-01-06 00:00:00",14.03
"2022-01-08 00:00:00",0
"2022-01-09 00:00:00",0
"2022-01-10 00:00:00",27.68
"2022-01-11 00:00:00",31.01
"2022-01-12 00:00:00",67.43
"2022-01-15 00:00:00",0
"2022-01-16 00:00:00",0.03
"2022-01-17 00:00:00",16.74
"2022-01-18 00:00:00",3.16
"2022-01-19 00:00:00",15.61
"2022-01-20 00:00:00",0
"2022-01-21 00:00:00",0
"2022-01-23 00:00:00",0
"2022-01-24 00:00:00",0.02
"2022-01-25 00:00:00",19.15
"2022-01-26 00:00:00",123.64
"2022-01-28 00:00:00",0
"2022-01-30 00:00:00",0.79
"2022-01-31 00:00:00",5.06
