"DateTime","Sales (USD)"
"2021-11-20 00:00:00",2466474.59
"2021-11-21 00:00:00",4612529.86
"2021-11-22 00:00:00",9574499.3
"2021-11-23 00:00:00",3130742.4
"2021-11-24 00:00:00",1610306.77
"2021-11-25 00:00:00",899718.64
"2021-11-26 00:00:00",634214.85
"2021-11-27 00:00:00",648665.89
"2021-11-28 00:00:00",636262.12
"2021-11-29 00:00:00",806890.07
"2021-11-30 00:00:00",450134.09
"2021-12-01 00:00:00",575145.96
"2021-12-02 00:00:00",417833.8
"2021-12-03 00:00:00",278144.32
"2021-12-04 00:00:00",213433.69
"2021-12-05 00:00:00",278301.42
"2021-12-06 00:00:00",242667.99
"2021-12-07 00:00:00",132900.34
"2021-12-08 00:00:00",156928.35
"2021-12-09 00:00:00",193366.25
"2021-12-10 00:00:00",203403.56
"2021-12-11 00:00:00",392831.17
"2021-12-12 00:00:00",281428.28
"2021-12-13 00:00:00",291030.86
"2021-12-14 00:00:00",203863.38
"2021-12-15 00:00:00",133614.14
"2021-12-16 00:00:00",168039.04
"2021-12-17 00:00:00",203550.99
"2021-12-18 00:00:00",260797.69
"2021-12-19 00:00:00",82833.13
"2021-12-20 00:00:00",112645.01
"2021-12-21 00:00:00",139963.31
"2021-12-22 00:00:00",88069.29
"2021-12-23 00:00:00",254761.08
"2021-12-24 00:00:00",194404.89
"2021-12-25 00:00:00",140021.59
"2021-12-26 00:00:00",333611.05
"2021-12-27 00:00:00",212866.81
"2021-12-28 00:00:00",159419.3
"2021-12-29 00:00:00",200524.58
"2021-12-30 00:00:00",225342.63
"2021-12-31 00:00:00",143599.42
"2022-01-01 00:00:00",132394.53
"2022-01-02 00:00:00",318008.94
"2022-01-03 00:00:00",290219.54
"2022-01-04 00:00:00",455227.24
"2022-01-05 00:00:00",249833.3
"2022-01-06 00:00:00",171942.98
"2022-01-07 00:00:00",217343.92
"2022-01-08 00:00:00",142488.8
"2022-01-09 00:00:00",106911.76
"2022-01-10 00:00:00",143845.98
"2022-01-11 00:00:00",234176.27
"2022-01-12 00:00:00",215865.84
"2022-01-13 00:00:00",243526.76
"2022-01-14 00:00:00",777905.47
"2022-01-15 00:00:00",343791.93
"2022-01-16 00:00:00",172065.17
"2022-01-17 00:00:00",330692.47
"2022-01-18 00:00:00",303395.61
"2022-01-19 00:00:00",237231.04
"2022-01-20 00:00:00",194246.81
"2022-01-21 00:00:00",240570.31
"2022-01-22 00:00:00",137356.56
"2022-01-23 00:00:00",591470.18
"2022-01-24 00:00:00",295299.21
"2022-01-25 00:00:00",411645.14
"2022-01-26 00:00:00",289413.38
"2022-01-27 00:00:00",279487.14
"2022-01-28 00:00:00",395109.15
"2022-01-29 00:00:00",279117.79
"2022-01-30 00:00:00",911533.77
"2022-01-31 00:00:00",284285.08
"2022-02-01 00:00:00",447121.04
"2022-02-02 00:00:00",233262.84
"2022-02-03 00:00:00",157589.14
"2022-02-04 00:00:00",311712.92
"2022-02-05 00:00:00",205376.42
"2022-02-06 00:00:00",148790.67
"2022-02-07 00:00:00",325060.29
"2022-02-08 00:00:00",206309.08
"2022-02-09 00:00:00",263644.2
"2022-02-10 00:00:00",119675.63
"2022-02-11 00:00:00",150031.61
"2022-02-12 00:00:00",139438.99
"2022-02-13 00:00:00",65415.33
"2022-02-14 00:00:00",110692.15
"2022-02-15 00:00:00",128833.6
"2022-02-16 00:00:00",253887.7
"2022-02-17 00:00:00",58661.02
"2022-02-18 00:00:00",77515.73
"2022-02-19 00:00:00",71052.73
"2022-02-20 00:00:00",40212.03
"2022-02-21 00:00:00",112491.18
"2022-02-22 00:00:00",199783.41
"2022-02-23 00:00:00",91631.01
"2022-02-24 00:00:00",194811.68
"2022-02-25 00:00:00",83987.21
"2022-02-26 00:00:00",110712.88
"2022-02-27 00:00:00",148329.87
"2022-02-28 00:00:00",58549.23
"2022-03-01 00:00:00",93729.71
"2022-03-02 00:00:00",112820.82
