"DateTime","Sales (USD)"
"2021-08-09 00:00:00",858767.22
"2021-08-10 00:00:00",375105.59
"2021-08-11 00:00:00",2295225.67
"2021-08-12 00:00:00",873071.42
"2021-08-13 00:00:00",398379.21
"2021-08-14 00:00:00",206973.65
"2021-08-15 00:00:00",153110.39
"2021-08-16 00:00:00",112230.73
"2021-08-17 00:00:00",51103.44
"2021-08-18 00:00:00",48410
"2021-08-19 00:00:00",34129.5
"2021-08-20 00:00:00",34571.42
"2021-08-21 00:00:00",34656.97
"2021-08-22 00:00:00",52610.12
"2021-08-23 00:00:00",49572.5
"2021-08-24 00:00:00",45441.15
"2021-08-25 00:00:00",49581.2
"2021-08-26 00:00:00",52658.55
"2021-08-27 00:00:00",47556.71
"2021-08-28 00:00:00",79922.28
"2021-08-29 00:00:00",90778.44
"2021-08-30 00:00:00",57716.5
"2021-08-31 00:00:00",42035.19
"2021-09-01 00:00:00",51154.17
"2021-09-02 00:00:00",36254.28
"2021-09-03 00:00:00",19253.14
"2021-09-04 00:00:00",20154.93
"2021-09-05 00:00:00",17029.78
"2021-09-06 00:00:00",19671.19
"2021-09-07 00:00:00",15524.18
"2021-09-08 00:00:00",13098.86
"2021-09-09 00:00:00",17178.39
"2021-09-10 00:00:00",7861.54
"2021-09-11 00:00:00",29764.44
"2021-09-12 00:00:00",10844.43
"2021-09-13 00:00:00",4768
"2021-09-14 00:00:00",3246.11
"2021-09-15 00:00:00",15560.37
"2021-09-16 00:00:00",8486.33
"2021-09-17 00:00:00",11470.03
"2021-09-18 00:00:00",13968.86
"2021-09-19 00:00:00",16934.18
"2021-09-20 00:00:00",14213.41
"2021-09-21 00:00:00",2921.38
"2021-09-22 00:00:00",4055.01
"2021-09-23 00:00:00",7603.36
"2021-09-24 00:00:00",6414.41
"2021-09-25 00:00:00",17784.65
"2021-09-26 00:00:00",10541.1
"2021-09-27 00:00:00",11467.74
"2021-09-28 00:00:00",19988.34
"2021-09-29 00:00:00",11599.23
"2021-09-30 00:00:00",4400.48
"2021-10-01 00:00:00",9405.22
"2021-10-02 00:00:00",4841.17
"2021-10-03 00:00:00",15519.89
"2021-10-04 00:00:00",10255.24
"2021-10-05 00:00:00",5656.19
"2021-10-06 00:00:00",13190.99
"2021-10-07 00:00:00",6977.71
"2021-10-08 00:00:00",11478.63
"2021-10-09 00:00:00",7945.12
"2021-10-10 00:00:00",5365.68
"2021-10-11 00:00:00",20580.02
"2021-10-12 00:00:00",3593.64
"2021-10-13 00:00:00",6756.52
"2021-10-14 00:00:00",5117.69
"2021-10-15 00:00:00",7213.67
"2021-10-16 00:00:00",4999.85
"2021-10-17 00:00:00",3939.89
"2021-10-18 00:00:00",2929.21
"2021-10-19 00:00:00",6124.4
"2021-10-20 00:00:00",11088.92
"2021-10-21 00:00:00",4150.56
"2021-10-22 00:00:00",1556.97
"2021-10-23 00:00:00",3231.48
"2021-10-24 00:00:00",7731.74
"2021-10-25 00:00:00",3876.24
"2021-10-26 00:00:00",4574.44
"2021-10-27 00:00:00",5580.76
"2021-10-28 00:00:00",2661.73
"2021-10-29 00:00:00",557.37
"2021-10-30 00:00:00",2221.85
"2021-10-31 00:00:00",697.39
"2021-11-01 00:00:00",997.52
"2021-11-02 00:00:00",3830.83
"2021-11-03 00:00:00",2124.97
"2021-11-04 00:00:00",2803.02
"2021-11-05 00:00:00",2662.41
"2021-11-06 00:00:00",2216.39
"2021-11-07 00:00:00",2677.39
"2021-11-08 00:00:00",846.3
"2021-11-09 00:00:00",494.9
"2021-11-10 00:00:00",1767.53
"2021-11-11 00:00:00",1417.06
"2021-11-12 00:00:00",1324.1
"2021-11-13 00:00:00",2819.28
"2021-11-14 00:00:00",1975.96
"2021-11-15 00:00:00",3556.39
"2021-11-16 00:00:00",2156.02
"2021-11-17 00:00:00",1791.42
"2021-11-18 00:00:00",1014.77
"2021-11-19 00:00:00",5515.76
"2021-11-20 00:00:00",4162.84
"2021-11-21 00:00:00",300.25
"2021-11-22 00:00:00",607.99
"2021-11-23 00:00:00",727.35
"2021-11-24 00:00:00",1703.63
"2021-11-25 00:00:00",2184.41
"2021-11-26 00:00:00",1924.68
"2021-11-27 00:00:00",1896.2
"2021-11-28 00:00:00",2184.62
"2021-11-29 00:00:00",2992.03
"2021-11-30 00:00:00",1087.64
"2021-12-01 00:00:00",1609.04
"2021-12-02 00:00:00",4812.97
"2021-12-03 00:00:00",1209.73
"2021-12-04 00:00:00",795.17
"2021-12-05 00:00:00",8627.71
"2021-12-06 00:00:00",3962.96
"2021-12-07 00:00:00",1743.48
"2021-12-08 00:00:00",261.24
"2021-12-09 00:00:00",2169.42
"2021-12-10 00:00:00",799.33
"2021-12-11 00:00:00",370.95
"2021-12-12 00:00:00",3426.48
"2021-12-13 00:00:00",1816.23
"2021-12-14 00:00:00",1293.23
"2021-12-15 00:00:00",2871.46
"2021-12-16 00:00:00",3356.55
"2021-12-17 00:00:00",3173.17
"2021-12-18 00:00:00",1859.97
"2021-12-19 00:00:00",4829.19
"2021-12-20 00:00:00",1775.76
"2021-12-21 00:00:00",784.61
"2021-12-22 00:00:00",2062.92
"2021-12-23 00:00:00",600.12
"2021-12-24 00:00:00",2116.66
"2021-12-25 00:00:00",1768.15
"2021-12-26 00:00:00",1868.78
"2021-12-27 00:00:00",1120.57
"2021-12-28 00:00:00",593.98
"2021-12-29 00:00:00",2675.3
"2021-12-30 00:00:00",1652.9
"2021-12-31 00:00:00",3001.51
"2022-01-01 00:00:00",2957.47
"2022-01-02 00:00:00",4878.78
"2022-01-03 00:00:00",1193.19
"2022-01-04 00:00:00",725.96
"2022-01-05 00:00:00",1004.99
"2022-01-06 00:00:00",1435.7
"2022-01-07 00:00:00",1585.53
"2022-01-08 00:00:00",4140.97
"2022-01-09 00:00:00",1415.43
"2022-01-10 00:00:00",829.15
"2022-01-11 00:00:00",331.76
"2022-01-12 00:00:00",2702.76
"2022-01-13 00:00:00",818.89
"2022-01-14 00:00:00",2123.02
"2022-01-15 00:00:00",3436.81
"2022-01-16 00:00:00",765.59
"2022-01-17 00:00:00",2179.92
"2022-01-18 00:00:00",437.6
"2022-01-19 00:00:00",1372.81
"2022-01-20 00:00:00",156.46
"2022-01-21 00:00:00",2845.36
"2022-01-22 00:00:00",1641.67
"2022-01-23 00:00:00",552.18
"2022-01-24 00:00:00",1306.24
"2022-01-25 00:00:00",605.52
"2022-01-26 00:00:00",2147.34
"2022-01-27 00:00:00",1723.46
"2022-01-28 00:00:00",1318.4
"2022-01-29 00:00:00",2218.43
"2022-01-30 00:00:00",1859.74
"2022-01-31 00:00:00",2101.21
"2022-02-01 00:00:00",2793.71
"2022-02-02 00:00:00",807.43
"2022-02-03 00:00:00",682.79
"2022-02-04 00:00:00",1801.14
"2022-02-05 00:00:00",2154.88
"2022-02-06 00:00:00",1385.83
"2022-02-07 00:00:00",4555.82
"2022-02-08 00:00:00",1266.82
"2022-02-09 00:00:00",1674.85
"2022-02-10 00:00:00",799.06
"2022-02-11 00:00:00",1125.47
"2022-02-12 00:00:00",1123
"2022-02-13 00:00:00",1638.21
"2022-02-14 00:00:00",501.98
"2022-02-15 00:00:00",517.95
"2022-02-16 00:00:00",2196.35
"2022-02-17 00:00:00",3872
"2022-02-18 00:00:00",751.43
"2022-02-19 00:00:00",878.67
"2022-02-20 00:00:00",1145.08
"2022-02-21 00:00:00",1005.3
"2022-02-22 00:00:00",377.76
"2022-02-24 00:00:00",262.96
"2022-02-25 00:00:00",1090.16
"2022-02-26 00:00:00",1110.19
"2022-02-27 00:00:00",1198.3
"2022-02-28 00:00:00",549.29
"2022-03-01 00:00:00",1258.61
