"DateTime","Sales (USD)"
"2021-10-14 00:00:00",14992963.65
"2021-10-15 00:00:00",8823421.02
"2021-10-16 00:00:00",2751963.71
"2021-10-17 00:00:00",2890795.3
"2021-10-18 00:00:00",3402650.69
"2021-10-19 00:00:00",2494215.43
"2021-10-20 00:00:00",1807056.11
"2021-10-21 00:00:00",1534760.78
"2021-10-22 00:00:00",1253290.33
"2021-10-23 00:00:00",3618042.89
"2021-10-24 00:00:00",1529031.52
"2021-10-25 00:00:00",1032639.98
"2021-10-26 00:00:00",611068.97
"2021-10-27 00:00:00",615760.18
"2021-10-28 00:00:00",639381.27
"2021-10-29 00:00:00",641448.27
"2021-10-30 00:00:00",353120.15
"2021-10-31 00:00:00",245001.37
"2021-11-01 00:00:00",264267.87
"2021-11-02 00:00:00",601245.09
"2021-11-03 00:00:00",390438.38
"2021-11-04 00:00:00",481843.66
"2021-11-05 00:00:00",292524.77
"2021-11-06 00:00:00",119447.2
"2021-11-07 00:00:00",259368.56
"2021-11-08 00:00:00",228078.41
"2021-11-09 00:00:00",300717.91
"2021-11-10 00:00:00",148821.74
"2021-11-11 00:00:00",326019.11
"2021-11-12 00:00:00",204870.28
"2021-11-13 00:00:00",212819.34
"2021-11-14 00:00:00",845611.32
"2021-11-15 00:00:00",110533.39
"2021-11-16 00:00:00",356155.24
"2021-11-17 00:00:00",416435.47
"2021-11-18 00:00:00",227131.31
"2021-11-19 00:00:00",163869.97
"2021-11-20 00:00:00",135783.24
"2021-11-21 00:00:00",199700.84
"2021-11-22 00:00:00",106904.2
"2021-11-23 00:00:00",121726.71
"2021-11-24 00:00:00",128936.63
"2021-11-25 00:00:00",174805.06
"2021-11-26 00:00:00",121849.85
"2021-11-27 00:00:00",144622.69
"2021-11-28 00:00:00",330582.12
"2021-11-29 00:00:00",171972.32
"2021-11-30 00:00:00",73186.29
"2021-12-01 00:00:00",171294.91
"2021-12-02 00:00:00",168788.99
"2021-12-03 00:00:00",157248.62
"2021-12-04 00:00:00",192123.5
"2021-12-05 00:00:00",91710.17
"2021-12-06 00:00:00",121610.98
"2021-12-07 00:00:00",124257.9
"2021-12-08 00:00:00",127289.37
"2021-12-09 00:00:00",87611.24
"2021-12-10 00:00:00",102847.07
"2021-12-11 00:00:00",82478.4
"2021-12-12 00:00:00",38360.62
"2021-12-13 00:00:00",84474.99
"2021-12-14 00:00:00",91392.2
"2021-12-15 00:00:00",81890.51
"2021-12-16 00:00:00",211388.61
"2021-12-17 00:00:00",85143.33
"2021-12-18 00:00:00",177574.2
"2021-12-19 00:00:00",58384.37
"2021-12-20 00:00:00",68242.87
"2021-12-21 00:00:00",73457.2
"2021-12-22 00:00:00",131964.14
"2021-12-23 00:00:00",65435
"2021-12-24 00:00:00",88323.51
"2021-12-25 00:00:00",151035.82
"2021-12-26 00:00:00",626811.41
"2021-12-27 00:00:00",580134.09
"2021-12-28 00:00:00",154628.06
"2021-12-29 00:00:00",120394.91
"2021-12-30 00:00:00",241276.8
"2021-12-31 00:00:00",177340.12
"2022-01-01 00:00:00",641504.83
"2022-01-02 00:00:00",2574673.22
"2022-01-03 00:00:00",326009.45
"2022-01-04 00:00:00",354339.26
"2022-01-05 00:00:00",296392.52
"2022-01-06 00:00:00",169330.97
"2022-01-07 00:00:00",161573.81
"2022-01-08 00:00:00",259094.86
"2022-01-09 00:00:00",1908471.03
"2022-01-10 00:00:00",247605.29
"2022-01-11 00:00:00",189488
"2022-01-12 00:00:00",226944.87
"2022-01-13 00:00:00",213963.37
"2022-01-14 00:00:00",315540.94
"2022-01-15 00:00:00",229575.57
"2022-01-16 00:00:00",153769.99
"2022-01-17 00:00:00",165219.98
"2022-01-18 00:00:00",81007.06
"2022-01-19 00:00:00",194762.64
"2022-01-20 00:00:00",423177.83
"2022-01-21 00:00:00",204605.83
"2022-01-22 00:00:00",167944.59
"2022-01-23 00:00:00",295838.57
"2022-01-24 00:00:00",256522.22
"2022-01-25 00:00:00",769207.28
"2022-01-26 00:00:00",650971.86
"2022-01-27 00:00:00",558502.38
"2022-01-28 00:00:00",689870.67
"2022-01-29 00:00:00",797135.38
"2022-01-30 00:00:00",442825.72
"2022-01-31 00:00:00",381864.08
"2022-02-01 00:00:00",428568.04
"2022-02-02 00:00:00",290870.89
"2022-02-03 00:00:00",181271.76
"2022-02-04 00:00:00",154238.41
"2022-02-05 00:00:00",179170.56
"2022-02-06 00:00:00",138012.65
"2022-02-07 00:00:00",234722.37
"2022-02-08 00:00:00",1030770.29
"2022-02-09 00:00:00",251678.84
"2022-02-10 00:00:00",182771.27
"2022-02-11 00:00:00",110810.6
"2022-02-12 00:00:00",120118.88
"2022-02-13 00:00:00",141896.27
"2022-02-14 00:00:00",296861.85
"2022-02-15 00:00:00",388873.38
"2022-02-16 00:00:00",220102.17
"2022-02-17 00:00:00",345093.83
"2022-02-18 00:00:00",394919.22
"2022-02-19 00:00:00",228708.32
"2022-02-20 00:00:00",210439.19
"2022-02-21 00:00:00",190916.63
"2022-02-22 00:00:00",209669.19
"2022-02-23 00:00:00",167389.86
"2022-02-24 00:00:00",368129.83
"2022-02-25 00:00:00",316469.95
"2022-02-26 00:00:00",152564.26
"2022-02-27 00:00:00",267134.3
"2022-02-28 00:00:00",98978.85
"2022-03-01 00:00:00",134895.43
"2022-03-02 00:00:00",144429.83
