"DateTime","Sales (USD)"
"2022-02-04 00:00:00",14212617.17
"2022-02-05 00:00:00",17044824.9
"2022-02-06 00:00:00",5189132.08
"2022-02-07 00:00:00",4449536.57
"2022-02-08 00:00:00",3961641.72
"2022-02-09 00:00:00",3192599.57
"2022-02-10 00:00:00",18786291.75
"2022-02-11 00:00:00",19264350.52
"2022-02-12 00:00:00",3487162.09
"2022-02-13 00:00:00",2064864.62
"2022-02-14 00:00:00",2401026.4
"2022-02-15 00:00:00",1624588.17
"2022-02-16 00:00:00",1812866.85
"2022-02-17 00:00:00",1101899.73
"2022-02-18 00:00:00",1074135
"2022-02-19 00:00:00",2442115.26
"2022-02-20 00:00:00",713732.96
"2022-02-21 00:00:00",597659.16
"2022-02-22 00:00:00",368705.94
"2022-02-23 00:00:00",474782.16
"2022-02-24 00:00:00",564315.78
"2022-02-25 00:00:00",1213806.38
"2022-02-26 00:00:00",879968.86
"2022-02-27 00:00:00",1827983.52
"2022-02-28 00:00:00",545372.98
"2022-03-01 00:00:00",285417.15
"2022-03-02 00:00:00",300437.98
