"DateTime","Sales (USD)"
"2021-08-21 00:00:00",1822.57
"2021-08-22 00:00:00",13752.75
"2021-08-23 00:00:00",191856.05
"2021-08-24 00:00:00",2886228.57
"2021-08-25 00:00:00",11392143.19
"2021-08-26 00:00:00",6482028.11
"2021-08-27 00:00:00",4308954.52
"2021-08-28 00:00:00",2627252.93
"2021-08-29 00:00:00",1849938.44
"2021-08-30 00:00:00",1179033.66
"2021-08-31 00:00:00",718954.24
"2021-09-01 00:00:00",679152.43
"2021-09-02 00:00:00",473262.83
"2021-09-03 00:00:00",348619.16
"2021-09-04 00:00:00",338988.06
"2021-09-05 00:00:00",181639.39
"2021-09-06 00:00:00",274813.45
"2021-09-07 00:00:00",178105.04
"2021-09-08 00:00:00",126448.26
"2021-09-09 00:00:00",114301.19
"2021-09-10 00:00:00",100016.43
"2021-09-11 00:00:00",102445.04
"2021-09-12 00:00:00",99388.63
"2021-09-13 00:00:00",111778.25
"2021-09-14 00:00:00",129674.03
"2021-09-15 00:00:00",85227.63
"2021-09-16 00:00:00",163138.75
"2021-09-17 00:00:00",225533.35
"2021-09-18 00:00:00",161343.72
"2021-09-19 00:00:00",668254.49
"2021-09-20 00:00:00",225973.97
"2021-09-21 00:00:00",119879.33
"2021-09-22 00:00:00",149632.07
"2021-09-23 00:00:00",237113.23
"2021-09-24 00:00:00",147083.69
"2021-09-25 00:00:00",168625.2
"2021-09-26 00:00:00",299896.18
"2021-09-27 00:00:00",585031.84
"2021-09-28 00:00:00",256510.81
"2021-09-29 00:00:00",129574.85
"2021-09-30 00:00:00",124879.88
"2021-10-01 00:00:00",120791.35
"2021-10-02 00:00:00",82898.36
"2021-10-03 00:00:00",87565.23
"2021-10-04 00:00:00",79891.51
"2021-10-05 00:00:00",99399.39
"2021-10-06 00:00:00",66136.01
"2021-10-07 00:00:00",53282.88
"2021-10-08 00:00:00",38134.71
"2021-10-09 00:00:00",52513.23
"2021-10-10 00:00:00",46170.3
"2021-10-11 00:00:00",27982.74
"2021-10-12 00:00:00",46797.45
"2021-10-13 00:00:00",51568.83
"2021-10-14 00:00:00",57556.25
"2021-10-15 00:00:00",31656.95
"2021-10-16 00:00:00",40015.5
"2021-10-17 00:00:00",19959.3
"2021-10-18 00:00:00",44694.67
"2021-10-19 00:00:00",20433.58
"2021-10-20 00:00:00",36476
"2021-10-21 00:00:00",50222.02
"2021-10-22 00:00:00",77388.78
"2021-10-23 00:00:00",19288.71
"2021-10-24 00:00:00",14345.39
"2021-10-25 00:00:00",28995.23
"2021-10-26 00:00:00",52617.1
"2021-10-27 00:00:00",11958.09
"2021-10-28 00:00:00",18846.42
"2021-10-29 00:00:00",25307.64
"2021-10-30 00:00:00",13566.78
"2021-10-31 00:00:00",17018.69
"2021-11-01 00:00:00",12287.47
"2021-11-02 00:00:00",10606.51
"2021-11-03 00:00:00",15095.77
"2021-11-04 00:00:00",10191.85
"2021-11-05 00:00:00",17708.89
"2021-11-06 00:00:00",35673.94
"2021-11-07 00:00:00",10941.06
"2021-11-08 00:00:00",5255.29
"2021-11-09 00:00:00",7881.47
"2021-11-10 00:00:00",3750.06
"2021-11-11 00:00:00",15303.28
"2021-11-12 00:00:00",9502.86
"2021-11-13 00:00:00",17160.15
"2021-11-14 00:00:00",9770.78
"2021-11-15 00:00:00",25156.1
"2021-11-16 00:00:00",116118.57
"2021-11-17 00:00:00",82799.53
"2021-11-18 00:00:00",19073.96
"2021-11-19 00:00:00",78705.55
"2021-11-20 00:00:00",20663.57
"2021-11-21 00:00:00",16924.44
"2021-11-22 00:00:00",21317.73
"2021-11-23 00:00:00",8413.85
"2021-11-24 00:00:00",30050.48
"2021-11-25 00:00:00",10383.85
"2021-11-26 00:00:00",14559.75
"2021-11-27 00:00:00",10442.97
"2021-11-28 00:00:00",10890.8
"2021-11-29 00:00:00",10481.53
"2021-11-30 00:00:00",4169.85
"2021-12-01 00:00:00",10206.93
"2021-12-02 00:00:00",10284.72
"2021-12-03 00:00:00",4337.16
"2021-12-04 00:00:00",3701.24
"2021-12-05 00:00:00",3104.21
"2021-12-06 00:00:00",1911.55
"2021-12-07 00:00:00",10565.26
"2021-12-08 00:00:00",6090.62
"2021-12-09 00:00:00",7243.64
"2021-12-10 00:00:00",8181.51
"2021-12-11 00:00:00",8941.26
"2021-12-12 00:00:00",7505.56
"2021-12-13 00:00:00",3470.95
"2021-12-14 00:00:00",9748.15
"2021-12-15 00:00:00",4594.3
"2021-12-16 00:00:00",1782.03
"2021-12-17 00:00:00",5587.41
"2021-12-18 00:00:00",7348.69
"2021-12-19 00:00:00",8854.58
"2021-12-20 00:00:00",7701.88
"2021-12-21 00:00:00",3813.57
"2021-12-22 00:00:00",4272.24
"2021-12-23 00:00:00",5702.73
"2021-12-24 00:00:00",10783.36
"2021-12-25 00:00:00",6115.53
"2021-12-26 00:00:00",6982.6
"2021-12-27 00:00:00",6286.56
"2021-12-28 00:00:00",3278.01
"2021-12-29 00:00:00",7649.35
"2021-12-30 00:00:00",6770.3
"2021-12-31 00:00:00",15806.46
"2022-01-01 00:00:00",8561.22
"2022-01-02 00:00:00",13233.01
"2022-01-03 00:00:00",13995.84
"2022-01-04 00:00:00",450274.32
"2022-01-05 00:00:00",231388.45
"2022-01-06 00:00:00",32404.56
"2022-01-07 00:00:00",47110.71
"2022-01-08 00:00:00",47258.36
"2022-01-09 00:00:00",50387.15
"2022-01-10 00:00:00",20751.18
"2022-01-11 00:00:00",19405.15
"2022-01-12 00:00:00",13519.37
"2022-01-13 00:00:00",13020.65
"2022-01-14 00:00:00",15787.26
"2022-01-15 00:00:00",9389.09
"2022-01-16 00:00:00",20070.91
"2022-01-17 00:00:00",9159.55
"2022-01-18 00:00:00",5414.2
"2022-01-19 00:00:00",4825.86
"2022-01-20 00:00:00",10504.66
"2022-01-21 00:00:00",7172.9
"2022-01-22 00:00:00",8264.69
"2022-01-23 00:00:00",4992.02
"2022-01-24 00:00:00",14138.14
"2022-01-25 00:00:00",10380.92
"2022-01-26 00:00:00",7909.55
"2022-01-27 00:00:00",4354.06
"2022-01-28 00:00:00",6039.45
"2022-01-29 00:00:00",12743.44
"2022-01-30 00:00:00",9423.42
"2022-01-31 00:00:00",8630.03
"2022-02-01 00:00:00",7868.68
"2022-02-02 00:00:00",5231.74
"2022-02-03 00:00:00",16931.99
"2022-02-04 00:00:00",10103.78
"2022-02-05 00:00:00",4451.17
"2022-02-06 00:00:00",8766.84
"2022-02-07 00:00:00",3225.12
"2022-02-08 00:00:00",8297.55
"2022-02-09 00:00:00",1881.24
"2022-02-10 00:00:00",1927.33
"2022-02-11 00:00:00",2320.09
"2022-02-12 00:00:00",2912.42
"2022-02-13 00:00:00",1803.24
"2022-02-14 00:00:00",1758.48
"2022-02-15 00:00:00",12118.38
"2022-02-16 00:00:00",6518.55
"2022-02-17 00:00:00",6992.98
"2022-02-18 00:00:00",1719.1
"2022-02-19 00:00:00",2771.4
"2022-02-20 00:00:00",513.93
"2022-02-21 00:00:00",2484.75
"2022-02-22 00:00:00",2841.78
"2022-02-23 00:00:00",3264.35
"2022-02-24 00:00:00",1629.77
"2022-02-25 00:00:00",7639.56
"2022-02-26 00:00:00",1850.78
"2022-02-27 00:00:00",3979.15
"2022-02-28 00:00:00",2436.79
"2022-03-01 00:00:00",4110.29
