"DateTime","Sales (USD)"
"2021-09-30 00:00:00",2713116.62
"2021-10-02 00:00:00",416206.51
"2021-10-03 00:00:00",309891.35
"2021-10-04 00:00:00",265228.27
"2021-10-05 00:00:00",318008.64
"2021-10-06 00:00:00",248259.89
"2021-10-07 00:00:00",108691.75
"2021-10-08 00:00:00",294863.68
"2021-10-09 00:00:00",417010.07
"2021-10-10 00:00:00",154766.39
"2021-10-11 00:00:00",22849.3
"2021-10-12 00:00:00",32827.38
"2021-10-13 00:00:00",124243.87
"2021-10-14 00:00:00",99834.44
"2021-10-15 00:00:00",140538.6
"2021-10-16 00:00:00",29273.15
"2021-10-17 00:00:00",85946.02
"2021-10-18 00:00:00",75746.27
"2021-10-19 00:00:00",165080.92
"2021-10-20 00:00:00",82783.52
"2021-10-21 00:00:00",30719.14
"2021-10-22 00:00:00",51227.71
"2021-10-23 00:00:00",12416.51
"2021-10-24 00:00:00",10972.02
"2021-10-25 00:00:00",34564.74
"2021-10-26 00:00:00",47699.19
"2021-10-27 00:00:00",31853.82
"2021-10-28 00:00:00",32667.78
"2021-10-29 00:00:00",30173.1
"2021-10-30 00:00:00",196072.23
"2021-10-31 00:00:00",347686.43
"2021-11-01 00:00:00",18893.34
"2021-11-02 00:00:00",18967.64
"2021-11-03 00:00:00",40500.03
"2021-11-04 00:00:00",26875.6
"2021-11-05 00:00:00",23818.68
"2021-11-06 00:00:00",24514.9
"2021-11-07 00:00:00",14910.75
"2021-11-08 00:00:00",18712.11
"2021-11-09 00:00:00",44765.76
"2021-11-10 00:00:00",50444.75
"2021-11-11 00:00:00",17075.95
"2021-11-12 00:00:00",19030.23
"2021-11-13 00:00:00",67298.45
"2021-11-14 00:00:00",53701.93
"2021-11-15 00:00:00",32397.46
"2021-11-16 00:00:00",90363.46
"2021-11-17 00:00:00",36378.04
"2021-11-18 00:00:00",114742.28
"2021-11-19 00:00:00",49648.84
"2021-11-20 00:00:00",42720.89
"2021-11-21 00:00:00",88627.77
"2021-11-22 00:00:00",91681.23
"2021-11-23 00:00:00",40449.33
"2021-11-24 00:00:00",42901.41
"2021-11-25 00:00:00",125019.63
"2021-11-26 00:00:00",158184.54
"2021-11-27 00:00:00",55036.99
"2021-11-28 00:00:00",147307.3
"2021-11-29 00:00:00",172817.69
"2021-11-30 00:00:00",60168.57
"2021-12-01 00:00:00",107961.89
"2021-12-02 00:00:00",695851.76
"2021-12-03 00:00:00",275932.24
"2021-12-04 00:00:00",82826.57
"2021-12-05 00:00:00",79990.05
"2021-12-06 00:00:00",154917.96
"2021-12-07 00:00:00",117494.16
"2021-12-08 00:00:00",301370.6
"2021-12-09 00:00:00",217288.44
"2021-12-10 00:00:00",297287.23
"2021-12-11 00:00:00",175594.7
"2021-12-12 00:00:00",81669.95
"2021-12-13 00:00:00",81702.26
"2021-12-14 00:00:00",64161.38
"2021-12-15 00:00:00",104369.54
"2021-12-16 00:00:00",104675.09
"2021-12-17 00:00:00",157550.34
"2021-12-18 00:00:00",149967.04
"2021-12-19 00:00:00",315217.77
"2021-12-20 00:00:00",267277.65
