"DateTime","Sales (USD)"
"2021-10-12 00:00:00",177975.17
"2021-10-13 00:00:00",7536563.84
"2021-10-14 00:00:00",2244342.9
"2021-10-15 00:00:00",4190722.09
"2021-10-16 00:00:00",1659779.02
"2021-10-17 00:00:00",4928340.12
"2021-10-18 00:00:00",794249.02
"2021-10-19 00:00:00",492517.28
"2021-10-20 00:00:00",424672.94
"2021-10-21 00:00:00",316241.31
"2021-10-22 00:00:00",959052.36
"2021-10-23 00:00:00",1072392
"2021-10-24 00:00:00",320735.71
"2021-10-25 00:00:00",232818.89
"2021-10-26 00:00:00",248189.55
"2021-10-27 00:00:00",186323.26
"2021-10-28 00:00:00",292198.29
"2021-10-29 00:00:00",384632.36
"2021-10-30 00:00:00",343281.51
"2021-10-31 00:00:00",145789.08
"2021-11-01 00:00:00",111993.85
"2021-11-02 00:00:00",146320.07
"2021-11-03 00:00:00",104097.8
"2021-11-04 00:00:00",115452.01
"2021-11-05 00:00:00",77361.51
"2021-11-06 00:00:00",74058.41
"2021-11-07 00:00:00",78372.17
"2021-11-08 00:00:00",57674.84
"2021-11-09 00:00:00",66211.96
"2021-11-10 00:00:00",83050.06
"2021-11-11 00:00:00",55471.8
"2021-11-12 00:00:00",42071.07
"2021-11-13 00:00:00",53534.5
"2021-11-14 00:00:00",46744.93
"2021-11-15 00:00:00",125128.75
"2021-11-16 00:00:00",69117.5
"2021-11-17 00:00:00",81631.42
"2021-11-18 00:00:00",64845.79
"2021-11-19 00:00:00",58770.46
"2021-11-20 00:00:00",77613.89
"2021-11-21 00:00:00",64343.79
"2021-11-22 00:00:00",116063.46
"2021-11-23 00:00:00",58804.61
"2021-11-24 00:00:00",111953.23
"2021-11-25 00:00:00",38124.51
"2021-11-26 00:00:00",44680.11
"2021-11-27 00:00:00",26346.63
"2021-11-28 00:00:00",61979.89
"2021-11-29 00:00:00",48011.93
"2021-11-30 00:00:00",32572.44
"2021-12-01 00:00:00",47384.97
"2021-12-02 00:00:00",47493.36
"2021-12-03 00:00:00",17545.69
"2021-12-04 00:00:00",30320.44
"2021-12-05 00:00:00",27050.28
"2021-12-06 00:00:00",33937.63
"2021-12-07 00:00:00",20496.62
"2021-12-08 00:00:00",22857.67
"2021-12-09 00:00:00",32927.29
"2021-12-10 00:00:00",24909.96
"2021-12-11 00:00:00",23357.79
"2021-12-12 00:00:00",32316.99
"2021-12-13 00:00:00",48967.36
"2021-12-14 00:00:00",47482.58
"2021-12-15 00:00:00",54863.19
"2021-12-16 00:00:00",34374.88
"2021-12-17 00:00:00",28124.16
"2021-12-18 00:00:00",18108.21
"2021-12-19 00:00:00",22774.53
"2021-12-20 00:00:00",11650.58
"2021-12-21 00:00:00",16251.46
"2021-12-22 00:00:00",8804.68
"2021-12-23 00:00:00",23364.7
"2021-12-24 00:00:00",16316.4
"2021-12-25 00:00:00",47576.21
"2021-12-26 00:00:00",23388.58
"2021-12-27 00:00:00",11829.65
"2021-12-28 00:00:00",3046.88
"2021-12-29 00:00:00",8908.56
"2021-12-30 00:00:00",9966.75
"2021-12-31 00:00:00",6726.19
"2022-01-01 00:00:00",14172.68
"2022-01-02 00:00:00",11948.59
"2022-01-03 00:00:00",8405.3
"2022-01-04 00:00:00",7087.98
"2022-01-05 00:00:00",4663.42
"2022-01-06 00:00:00",4522.53
"2022-01-07 00:00:00",10884.5
"2022-01-08 00:00:00",11763.37
"2022-01-09 00:00:00",11635.51
"2022-01-10 00:00:00",10913.82
"2022-01-11 00:00:00",9410.98
"2022-01-12 00:00:00",10540.22
"2022-01-13 00:00:00",3061001.92
"2022-01-14 00:00:00",103340.63
"2022-01-15 00:00:00",2415.38
"2022-01-16 00:00:00",22581.59
"2022-01-17 00:00:00",21109.66
"2022-01-18 00:00:00",27502.92
"2022-01-19 00:00:00",4101.01
"2022-01-20 00:00:00",9804.61
"2022-01-21 00:00:00",11264.63
"2022-01-22 00:00:00",7671.09
"2022-01-23 00:00:00",6476.33
"2022-01-24 00:00:00",6692.84
"2022-01-25 00:00:00",530391.19
"2022-01-26 00:00:00",109498.65
"2022-01-27 00:00:00",45262.41
"2022-01-28 00:00:00",44529.42
"2022-01-29 00:00:00",14806.09
"2022-01-30 00:00:00",142371.86
"2022-01-31 00:00:00",13026.67
"2022-02-01 00:00:00",14659.12
"2022-02-02 00:00:00",18491.09
"2022-02-03 00:00:00",8672.69
"2022-02-04 00:00:00",3711.32
"2022-02-05 00:00:00",9126.16
"2022-02-06 00:00:00",9748.75
"2022-02-07 00:00:00",5100.21
"2022-02-08 00:00:00",5463.02
"2022-02-09 00:00:00",8032.63
"2022-02-10 00:00:00",3661.21
"2022-02-11 00:00:00",5654.46
"2022-02-12 00:00:00",4199.98
"2022-02-13 00:00:00",4555.27
"2022-02-14 00:00:00",3776.47
"2022-02-15 00:00:00",5466.68
"2022-02-16 00:00:00",2893.51
"2022-02-17 00:00:00",5585.6
"2022-02-18 00:00:00",2128.44
"2022-02-19 00:00:00",4263.09
"2022-02-20 00:00:00",2010.11
"2022-02-21 00:00:00",3205.18
"2022-02-22 00:00:00",1759.29
"2022-02-23 00:00:00",2321.38
"2022-02-24 00:00:00",3294.45
"2022-02-25 00:00:00",1094.46
"2022-02-26 00:00:00",5467.36
"2022-02-27 00:00:00",2657.39
"2022-02-28 00:00:00",3184.06
"2022-03-01 00:00:00",3701.73
