"DateTime","Sales (USD)"
"2022-01-18 00:00:00",3029402.77
"2022-01-19 00:00:00",6018280.93
"2022-01-20 00:00:00",1421932.15
"2022-01-21 00:00:00",3655163.13
"2022-01-22 00:00:00",3938377.82
"2022-01-23 00:00:00",1541106.08
"2022-01-24 00:00:00",3582872.92
"2022-01-25 00:00:00",2658561.19
"2022-01-26 00:00:00",1403709.14
"2022-01-27 00:00:00",1423518.5
"2022-01-28 00:00:00",1203332.98
"2022-01-29 00:00:00",766785.33
"2022-01-30 00:00:00",669797.84
"2022-01-31 00:00:00",920474.17
"2022-02-01 00:00:00",839445.63
"2022-02-02 00:00:00",646448.78
"2022-02-03 00:00:00",541269.52
"2022-02-04 00:00:00",459042.75
"2022-02-05 00:00:00",357488.01
"2022-02-06 00:00:00",273896.32
"2022-02-07 00:00:00",324359.27
"2022-02-08 00:00:00",321722.58
"2022-02-09 00:00:00",218338.42
"2022-02-10 00:00:00",243459.05
"2022-02-11 00:00:00",290354.03
"2022-02-12 00:00:00",340239.16
"2022-02-13 00:00:00",203672.78
"2022-02-14 00:00:00",273350.62
"2022-02-15 00:00:00",303912.54
"2022-02-16 00:00:00",491857.26
"2022-02-17 00:00:00",759562.66
"2022-02-18 00:00:00",1637865.65
"2022-02-19 00:00:00",433348.14
"2022-02-20 00:00:00",292778.19
"2022-02-21 00:00:00",597195.94
"2022-02-22 00:00:00",1022852.14
"2022-02-23 00:00:00",1065537.69
"2022-02-24 00:00:00",580935.77
"2022-02-25 00:00:00",237719.29
"2022-02-26 00:00:00",196107.9
"2022-02-27 00:00:00",338624.83
"2022-02-28 00:00:00",454808.13
"2022-03-01 00:00:00",1358901.33
"2022-03-02 00:00:00",524804.03
