"DateTime","Sales (USD)"
"2021-07-23 00:00:00",74104.41
"2021-07-24 00:00:00",237530.01
"2021-07-25 00:00:00",89696.18
"2021-07-26 00:00:00",25070.63
"2021-07-27 00:00:00",47035.44
"2021-07-28 00:00:00",293887.02
"2021-07-29 00:00:00",175396.53
"2021-07-30 00:00:00",38505.32
"2021-07-31 00:00:00",1015729.23
"2021-08-01 00:00:00",97714.18
"2021-08-02 00:00:00",54993.39
"2021-08-03 00:00:00",66923.52
"2021-08-04 00:00:00",72493.87
"2021-08-05 00:00:00",58395.82
"2021-08-06 00:00:00",11150.27
"2021-08-07 00:00:00",27223.74
"2021-08-08 00:00:00",63640.86
"2021-08-09 00:00:00",91065.29
"2021-08-10 00:00:00",51698.61
"2021-08-11 00:00:00",76276.81
"2021-08-12 00:00:00",87977.67
"2021-08-13 00:00:00",151980.09
"2021-08-14 00:00:00",48891.39
"2021-08-15 00:00:00",23652.34
"2021-08-16 00:00:00",20498.76
"2021-08-17 00:00:00",25822.83
"2021-08-18 00:00:00",20870.48
"2021-08-19 00:00:00",139542.89
"2021-08-20 00:00:00",79889.53
"2021-08-21 00:00:00",228298.78
"2021-08-22 00:00:00",275208.68
"2021-08-23 00:00:00",178390.92
"2021-08-24 00:00:00",745929.2
"2021-08-25 00:00:00",65884.06
"2021-08-26 00:00:00",66080.82
"2021-08-27 00:00:00",155331.38
"2021-08-28 00:00:00",307715.79
"2021-08-29 00:00:00",159697.21
"2021-08-30 00:00:00",386029.39
"2021-08-31 00:00:00",127048.11
"2021-09-01 00:00:00",95096.72
"2021-09-02 00:00:00",271813.99
"2021-09-03 00:00:00",67581.54
"2021-09-04 00:00:00",51604.12
"2021-09-05 00:00:00",693858.8
"2021-09-06 00:00:00",255929.5
"2021-09-10 00:00:00",22492.31
"2021-09-11 00:00:00",36364.7
"2021-09-12 00:00:00",135837.6
"2021-09-13 00:00:00",72227.45
"2021-09-14 00:00:00",145594.3
"2021-09-15 00:00:00",277666.64
"2021-09-16 00:00:00",469435.7
"2021-09-18 00:00:00",68306
"2021-09-19 00:00:00",66894.82
"2021-09-22 00:00:00",67165.26
"2021-09-24 00:00:00",43342.58
"2021-09-28 00:00:00",43584.05
"2021-10-04 00:00:00",104889.75
"2021-10-06 00:00:00",105874.93
"2021-10-07 00:00:00",180906.7
"2021-10-08 00:00:00",50471.33
"2021-10-09 00:00:00",60241.05
"2021-10-10 00:00:00",34604.79
"2021-10-12 00:00:00",105052.34
"2021-10-21 00:00:00",47147.87
"2021-10-26 00:00:00",41646.25
"2021-10-30 00:00:00",38811.08
"2021-11-01 00:00:00",38676.43
"2021-11-02 00:00:00",60886.55
"2021-11-14 00:00:00",20689.36
"2021-11-16 00:00:00",19898.37
"2021-11-18 00:00:00",17426.59
"2021-11-22 00:00:00",52133.08
"2021-11-26 00:00:00",20500.4
"2022-01-09 00:00:00",8736.83
"2022-01-10 00:00:00",13710.6
"2022-01-11 00:00:00",29773.82
"2022-01-15 00:00:00",15118.98
"2022-01-17 00:00:00",28569.15
"2022-01-22 00:00:00",10995.3
"2022-01-29 00:00:00",11099.51
"2022-01-31 00:00:00",52150.82
"2022-02-01 00:00:00",24669.34
"2022-02-02 00:00:00",38683.61
"2022-02-09 00:00:00",21630.08
"2022-02-27 00:00:00",8347.02
