"DateTime","Sales (USD)"
"2021-10-04 00:00:00",3883077.08
"2021-10-05 00:00:00",6631394.66
"2021-10-06 00:00:00",2578468.77
"2021-10-07 00:00:00",1232816.96
"2021-10-08 00:00:00",1428537.55
"2021-10-09 00:00:00",2898991.69
"2021-10-10 00:00:00",2494834.62
"2021-10-11 00:00:00",6692276.04
"2021-10-12 00:00:00",3544859.02
"2021-10-13 00:00:00",3248308.61
"2021-10-14 00:00:00",2233613.28
"2021-10-15 00:00:00",1635448.67
"2021-10-16 00:00:00",1624680.7
"2021-10-17 00:00:00",1259256.04
"2021-10-18 00:00:00",1007781.65
"2021-10-19 00:00:00",965820.02
"2021-10-20 00:00:00",770672.65
"2021-10-21 00:00:00",1232796.32
"2021-10-22 00:00:00",806992
"2021-10-23 00:00:00",466526.99
"2021-10-24 00:00:00",525938.48
"2021-10-25 00:00:00",538144.08
"2021-10-26 00:00:00",643574.32
"2021-10-27 00:00:00",479928.04
"2021-10-28 00:00:00",675997.21
"2021-10-29 00:00:00",518296.43
"2021-10-30 00:00:00",380794.67
"2021-10-31 00:00:00",554543.09
"2021-11-01 00:00:00",262378.84
"2021-11-02 00:00:00",297647.79
"2021-11-03 00:00:00",287198.12
"2021-11-04 00:00:00",217480.84
"2021-11-05 00:00:00",153397.63
"2021-11-06 00:00:00",161223.57
"2021-11-07 00:00:00",200507.43
"2021-11-08 00:00:00",165172.3
"2021-11-09 00:00:00",143709.2
"2021-11-10 00:00:00",352386.12
"2021-11-11 00:00:00",266017.98
"2021-11-12 00:00:00",144093.1
"2021-11-13 00:00:00",357219.3
"2021-11-14 00:00:00",200465.15
"2021-11-15 00:00:00",171067.72
"2021-11-16 00:00:00",177405.08
"2021-11-17 00:00:00",257058.83
"2021-11-18 00:00:00",363963.59
"2021-11-19 00:00:00",93575.96
"2021-11-20 00:00:00",101573.98
"2021-11-21 00:00:00",97140.64
"2021-11-22 00:00:00",170941.96
"2021-11-23 00:00:00",68243.69
"2021-11-24 00:00:00",102399.6
"2021-11-25 00:00:00",81774
"2021-11-26 00:00:00",69692.57
"2021-11-27 00:00:00",88630.72
"2021-11-28 00:00:00",65097.55
"2021-11-29 00:00:00",57666.86
"2021-11-30 00:00:00",178786.31
"2021-12-01 00:00:00",56449.31
"2021-12-02 00:00:00",54192.33
"2021-12-03 00:00:00",48249.57
"2021-12-04 00:00:00",69723.11
"2021-12-05 00:00:00",20104.93
"2021-12-06 00:00:00",51203.08
"2021-12-07 00:00:00",53630.45
"2021-12-08 00:00:00",71295.73
"2021-12-09 00:00:00",30863.31
"2021-12-10 00:00:00",34816.97
"2021-12-11 00:00:00",43585.58
"2021-12-12 00:00:00",59129.06
"2021-12-13 00:00:00",41108.56
"2021-12-14 00:00:00",59374.85
"2021-12-15 00:00:00",33089.97
"2021-12-16 00:00:00",49592.09
"2021-12-17 00:00:00",32395.04
"2021-12-18 00:00:00",20590.78
"2021-12-19 00:00:00",39636.38
"2021-12-20 00:00:00",23107.01
"2021-12-21 00:00:00",23977.08
"2021-12-22 00:00:00",24034.77
"2021-12-23 00:00:00",16124.07
"2021-12-24 00:00:00",24311.29
"2021-12-25 00:00:00",38000.59
"2021-12-26 00:00:00",84627.55
"2021-12-27 00:00:00",32088.04
"2021-12-28 00:00:00",30009.93
"2021-12-29 00:00:00",25934.74
"2021-12-30 00:00:00",47659.39
"2021-12-31 00:00:00",35776.28
"2022-01-01 00:00:00",59465.06
"2022-01-02 00:00:00",49040.06
"2022-01-03 00:00:00",18035.27
"2022-01-04 00:00:00",29296.08
"2022-01-05 00:00:00",419303.19
"2022-01-06 00:00:00",130505.01
"2022-01-07 00:00:00",40809.71
"2022-01-08 00:00:00",29482.83
"2022-01-09 00:00:00",28723.88
"2022-01-10 00:00:00",33326.67
"2022-01-11 00:00:00",29193.64
"2022-01-12 00:00:00",17917.62
"2022-01-13 00:00:00",16319.71
"2022-01-14 00:00:00",20797.63
"2022-01-15 00:00:00",29541.8
"2022-01-16 00:00:00",19375.14
"2022-01-17 00:00:00",22486.31
"2022-01-18 00:00:00",17612.12
"2022-01-19 00:00:00",6793.19
"2022-01-20 00:00:00",16593.39
"2022-01-21 00:00:00",11652.77
"2022-01-22 00:00:00",5394.46
"2022-01-23 00:00:00",12492.97
"2022-01-24 00:00:00",9470.62
"2022-01-25 00:00:00",11456.34
"2022-01-26 00:00:00",8771.4
"2022-01-27 00:00:00",4787.96
"2022-01-28 00:00:00",9186.42
"2022-01-29 00:00:00",7772.29
"2022-01-30 00:00:00",13447.76
"2022-01-31 00:00:00",10630.21
"2022-02-01 00:00:00",17632.02
"2022-02-02 00:00:00",19204.15
"2022-02-03 00:00:00",97903.19
"2022-02-04 00:00:00",55413.41
"2022-02-05 00:00:00",11707.07
"2022-02-06 00:00:00",12313.57
"2022-02-07 00:00:00",17292.52
"2022-02-08 00:00:00",5258.81
"2022-02-09 00:00:00",13894.97
"2022-02-10 00:00:00",9948.62
"2022-02-11 00:00:00",19022.08
"2022-02-12 00:00:00",34566.66
"2022-02-13 00:00:00",36136.11
"2022-02-14 00:00:00",13753.88
"2022-02-15 00:00:00",36151.27
"2022-02-16 00:00:00",302658.68
"2022-02-17 00:00:00",34880.18
"2022-02-18 00:00:00",16455.87
"2022-02-19 00:00:00",29928.07
"2022-02-20 00:00:00",8737.85
"2022-02-21 00:00:00",12864.58
"2022-02-22 00:00:00",19237.59
"2022-02-23 00:00:00",4895.02
"2022-02-24 00:00:00",10041.35
"2022-02-25 00:00:00",8535.46
"2022-02-26 00:00:00",4877.84
"2022-02-27 00:00:00",7646.49
"2022-02-28 00:00:00",8586.22
"2022-03-01 00:00:00",9679.05
