"DateTime","Sales (USD)"
"2020-07-27 00:00:00",3
"2020-07-28 00:00:00",633
"2020-07-29 00:00:00",1541
"2020-07-30 00:00:00",3167
"2020-07-31 00:00:00",3008
"2020-08-01 00:00:00",2287
"2020-08-02 00:00:00",882
"2020-08-03 00:00:00",133
"2020-08-04 00:00:00",8740
"2020-08-05 00:00:00",11996
"2020-08-06 00:00:00",5570
"2020-08-07 00:00:00",4515
"2020-08-08 00:00:00",3241
"2020-08-09 00:00:00",7046
"2020-08-10 00:00:00",7025
"2020-08-11 00:00:00",10111
"2020-08-12 00:00:00",7774
"2020-08-13 00:00:00",11838
"2020-08-14 00:00:00",4214
"2020-08-15 00:00:00",5477
"2020-08-16 00:00:00",2887
"2020-08-17 00:00:00",2424
"2020-08-18 00:00:00",2827
"2020-08-19 00:00:00",3412
"2020-08-20 00:00:00",7966
"2020-08-21 00:00:00",2493
"2020-08-22 00:00:00",2183
"2020-08-23 00:00:00",4681
"2020-08-24 00:00:00",7180
"2020-08-25 00:00:00",5066
"2020-08-26 00:00:00",1368
"2020-08-27 00:00:00",4104
"2020-08-28 00:00:00",2876
"2020-08-29 00:00:00",2156
"2020-08-30 00:00:00",5581
"2020-08-31 00:00:00",6631
"2020-09-01 00:00:00",2566
"2020-09-02 00:00:00",7691
"2020-09-03 00:00:00",6653
"2020-09-04 00:00:00",3670
"2020-09-05 00:00:00",3477
"2020-09-06 00:00:00",2930
"2020-09-07 00:00:00",2563
"2020-09-08 00:00:00",14371
"2020-09-09 00:00:00",5776
"2020-09-10 00:00:00",5165
"2020-09-11 00:00:00",7415
"2020-09-12 00:00:00",6621
"2020-09-13 00:00:00",2927
"2020-09-14 00:00:00",3433
"2020-09-15 00:00:00",3377
"2020-09-16 00:00:00",6703
"2020-09-17 00:00:00",15509
"2020-09-18 00:00:00",7132
"2020-09-19 00:00:00",3795
"2020-09-20 00:00:00",6306
"2020-09-21 00:00:00",2863
"2020-09-22 00:00:00",6641
"2020-09-23 00:00:00",7900
"2020-09-24 00:00:00",9690
