"DateTime","Sales (USD)"
"2021-02-01 00:00:00",21211.17
"2021-02-02 00:00:00",72355.07
"2021-02-03 00:00:00",75123.84
"2021-02-04 00:00:00",10226.58
"2021-02-05 00:00:00",10975.47
"2021-02-06 00:00:00",12063.61
"2021-02-07 00:00:00",10389.37
"2021-02-09 00:00:00",7614.58
"2021-02-10 00:00:00",6450.9
"2021-02-11 00:00:00",2080.2
"2021-02-13 00:00:00",5894.9
"2021-02-14 00:00:00",5501.73
"2021-02-15 00:00:00",3549.55
"2021-02-16 00:00:00",10364.01
"2021-02-17 00:00:00",3195.96
"2021-02-18 00:00:00",9971.24
"2021-02-19 00:00:00",2157.13
"2021-02-20 00:00:00",1185.94
"2021-02-21 00:00:00",8199.67
"2021-02-24 00:00:00",3233.13
"2021-02-25 00:00:00",4101.53
"2021-02-26 00:00:00",7651.25
"2021-02-27 00:00:00",5496.24
"2021-03-01 00:00:00",1328.75
"2021-03-02 00:00:00",1489.88
"2021-03-04 00:00:00",1845.63
"2021-03-05 00:00:00",829.92
"2021-03-09 00:00:00",2793.04
"2021-03-11 00:00:00",712.81
"2021-03-16 00:00:00",628.93
"2021-03-17 00:00:00",1546.04
"2021-03-18 00:00:00",1692.56
"2021-03-23 00:00:00",4179.38
"2021-03-27 00:00:00",859.06
"2021-03-31 00:00:00",2875.32
"2021-04-01 00:00:00",10175.55
"2021-04-10 00:00:00",1874.57
"2021-04-11 00:00:00",1072.19
"2021-04-30 00:00:00",4692.86
"2021-05-01 00:00:00",3543.2
"2021-05-02 00:00:00",4541.95
"2021-05-16 00:00:00",1395.59
"2021-05-23 00:00:00",696.25
"2021-06-10 00:00:00",2266.9
"2021-06-12 00:00:00",1172.52
"2021-06-26 00:00:00",7497.94
"2021-06-27 00:00:00",1794.81
"2021-06-29 00:00:00",0.22
"2021-07-06 00:00:00",666.36
"2021-07-09 00:00:00",1815.03
"2021-07-22 00:00:00",2341
"2021-07-28 00:00:00",37543.94
"2021-07-29 00:00:00",24349.84
"2021-07-30 00:00:00",7489.76
"2021-07-31 00:00:00",71745.36
"2021-08-01 00:00:00",15294.53
"2021-08-02 00:00:00",36264.7
"2021-08-03 00:00:00",170175.14
"2021-08-04 00:00:00",15108.55
"2021-08-05 00:00:00",13136.09
"2021-08-06 00:00:00",181643.71
"2021-08-07 00:00:00",28733.86
"2021-08-08 00:00:00",18207.19
"2021-08-09 00:00:00",51084.4
"2021-08-10 00:00:00",7710.4
"2021-08-13 00:00:00",7782.54
"2021-08-14 00:00:00",41967.6
"2021-08-15 00:00:00",19132.44
"2021-08-18 00:00:00",7884.21
"2021-08-19 00:00:00",7101.54
"2021-08-20 00:00:00",14228.74
"2021-08-21 00:00:00",113974.5
"2021-08-22 00:00:00",171347.35
"2021-08-23 00:00:00",223831.62
"2021-08-24 00:00:00",123568.78
"2021-08-28 00:00:00",32072.05
"2021-08-29 00:00:00",35161.45
"2021-08-30 00:00:00",64215.35
"2021-09-01 00:00:00",14784.86
"2021-09-02 00:00:00",17741.83
"2021-09-05 00:00:00",21640.86
"2021-09-13 00:00:00",30255.76
"2021-09-17 00:00:00",44792.22
"2021-09-20 00:00:00",14288.73
"2021-09-21 00:00:00",29861.79
"2021-09-24 00:00:00",22531.61
"2021-09-25 00:00:00",9497.76
"2021-09-26 00:00:00",39063.89
"2021-09-27 00:00:00",47950.78
"2021-09-30 00:00:00",10565.54
"2021-10-01 00:00:00",10357.41
"2021-10-03 00:00:00",129272.3
"2021-10-04 00:00:00",112587.13
"2021-10-05 00:00:00",114199.49
"2021-10-06 00:00:00",488910.6
"2021-10-07 00:00:00",79093.72
"2021-10-08 00:00:00",44722.37
"2021-10-09 00:00:00",228243.14
"2021-10-10 00:00:00",1073090.44
"2021-10-11 00:00:00",92125.66
"2021-10-12 00:00:00",42928.13
"2021-10-14 00:00:00",110324.88
"2021-10-20 00:00:00",50747.57
"2021-10-21 00:00:00",65553.71
"2021-10-27 00:00:00",30157.78
"2021-10-30 00:00:00",26247.28
"2021-10-31 00:00:00",129191.7
"2021-11-02 00:00:00",49344.1
"2021-11-06 00:00:00",70373.89
"2021-11-07 00:00:00",31731.75
"2021-11-08 00:00:00",79440.21
"2021-11-10 00:00:00",107763.76
"2021-11-12 00:00:00",39791.57
"2021-11-19 00:00:00",33333.48
"2021-11-20 00:00:00",40719.67
"2021-11-21 00:00:00",52297.19
"2021-11-24 00:00:00",33206.32
"2021-11-26 00:00:00",26101.07
"2022-01-01 00:00:00",32587.62
"2022-01-02 00:00:00",36697.77
"2022-01-03 00:00:00",70636.7
"2022-01-04 00:00:00",61951.72
"2022-01-06 00:00:00",102629.26
"2022-01-07 00:00:00",44255.68
"2022-01-08 00:00:00",77280.33
"2022-01-10 00:00:00",47794.12
"2022-01-12 00:00:00",84410.11
"2022-01-14 00:00:00",49189.21
"2022-01-15 00:00:00",40131.7
"2022-01-16 00:00:00",39602.79
"2022-01-18 00:00:00",37849.57
"2022-01-19 00:00:00",24873.97
"2022-01-20 00:00:00",38622.54
"2022-01-21 00:00:00",32934.7
"2022-01-22 00:00:00",19218.27
"2022-01-24 00:00:00",28984.03
"2022-01-26 00:00:00",31279.66
"2022-01-27 00:00:00",74839.43
"2022-01-28 00:00:00",51549.52
"2022-01-29 00:00:00",129176
"2022-01-30 00:00:00",151922.32
"2022-01-31 00:00:00",293758.95
